,DSP-1001660005648-A-C05.dcc,DSP-1001660005648-A-C06.dcc,DSP-1001660005648-A-C12.dcc,DSP-1001660005648-A-D05.dcc,DSP-1001660005648-A-D06.dcc,DSP-1001660005648-A-D09.dcc,DSP-1001660005648-A-E06.dcc,DSP-1001660005649-B-B12.dcc,DSP-1001660005649-B-E09.dcc,DSP-1001660005649-B-G03.dcc,DSP-1001660005649-B-H09.dcc,DSP-1001660012099-C-E07.dcc,DSP-1001660012099-C-F03.dcc,DSP-1001660012099-C-F11.dcc,DSP-1001660012099-C-G09.dcc,DSP-1001660005648-A-D01.dcc,DSP-1001660005648-A-D10.dcc,DSP-1001660005649-B-C01.dcc,DSP-1001660005649-B-C02.dcc,DSP-1001660005649-B-C05.dcc,DSP-1001660005649-B-C08.dcc,DSP-1001660005649-B-C09.dcc,DSP-1001660005649-B-C12.dcc,DSP-1001660005649-B-D03.dcc,DSP-1001660005649-B-D04.dcc,DSP-1001660005649-B-F05.dcc,DSP-1001660005649-B-F09.dcc,DSP-1001660005649-B-G08.dcc,DSP-1001660005649-B-G11.dcc,DSP-1001660005649-B-H01.dcc,DSP-1001660012098-D-A06.dcc,DSP-1001660012099-C-E02.dcc,DSP-1001660012099-C-E06.dcc,DSP-1001660012099-C-E08.dcc,DSP-1001660012099-C-F02.dcc,DSP-1001660012099-C-G01.dcc,DSP-1001660012099-C-G05.dcc,DSP-1001660012099-C-G06.dcc,DSP-1001660005649-B-B11.dcc,DSP-1001660005649-B-C06.dcc,DSP-1001660005649-B-F01.dcc,DSP-1001660005649-B-F11.dcc,DSP-1001660005649-B-F12.dcc,DSP-1001660005649-B-G01.dcc,DSP-1001660005649-B-G07.dcc,DSP-1001660005649-B-H02.dcc,DSP-1001660005649-B-H05.dcc,DSP-1001660005649-B-H06.dcc,DSP-1001660005649-B-H08.dcc,DSP-1001660012098-D-A02.dcc,DSP-1001660012098-D-A09.dcc,DSP-1001660012098-D-B02.dcc,DSP-1001660012098-D-B03.dcc,DSP-1001660012099-C-E04.dcc,DSP-1001660012099-C-E05.dcc,DSP-1001660012099-C-E10.dcc,DSP-1001660012099-C-G02.dcc,DSP-1001660012099-C-G04.dcc,DSP-1001660005649-B-E12.dcc,DSP-1001660005649-B-G06.dcc,DSP-1001660005649-B-H12.dcc,DSP-1001660012099-C-F10.dcc
ACTR3B,-2.04057306597054,0.0,0.81305903880921,0.0,0.14813138744190013,-0.6860957482295198,-0.41948967935867,0.81305903880921,-0.8734491804018998,-0.6860957482295198,-1.01339797195664,-0.3335819286155599,-1.1223854907334518,0.0,-0.30264109641843984,-1.66505928125045,-1.66505928125045,0.70010660758532,-0.043975894638580204,-0.5725838568070201,0.6462654407902797,-0.54883864070177,-1.66505928125045,-0.4116510607792401,0.70010660758532,-0.043975894638580204,0.78085246709715,-1.66505928125045,-0.31058196350943,0.13869320616782987,-0.16333116090409017,0.3755137847200898,-0.6378841872365502,-0.20883666696917014,-0.8343802222233231,0.3755137847200898,0.3755137847200898,0.7570996576001401,1.3150208615328407,1.048414792661991,1.048414792661991,2.059103363756741,0.861061360489611,1.048414792661991,-0.3060625250790291,1.048414792661991,2.547569579700721,1.431869444473071,2.197574660493581,-0.3060625250790291,-0.3060625250790291,0.612125050158059,1.1687522318229209,-0.3060625250790291,1.3150208615328407,2.139849223268571,2.547569579700721,1.734510540891511,-1.2903793923949611,-1.2903793923949611,-1.2903793923949611,1.290379392394959
ANLN,0.5293355797224035,-0.48135299137234644,-0.21474692250149663,-0.48135299137234644,0.03964282207950354,0.6678068764592435,-0.21474692250149663,0.5293355797224035,1.0178017956663834,0.20474275685717336,1.0178017956663834,-0.12883917175838655,0.48720216195939337,0.3528741442990735,-1.8358303091133665,0.30874680712675184,-0.015846015738478325,-0.14258976679555824,-1.0292439876951183,0.2549056403317116,0.08016219726524199,-0.7019417639679981,-0.015846015738478325,-0.14258976679555824,-2.056419081709018,-0.14258976679555824,-2.056419081709018,-2.056419081709018,-1.0292439876951183,0.08942075945392158,-0.7545659040234882,-0.015846015738478325,0.44721810386359184,0.18752626964655184,-0.015846015738478325,0.23418563919411195,-0.4353356950971483,-0.015846015738478325,1.7230473140384885,-1.1305847907412614,-1.1305847907412614,1.9166408893105384,1.1133605606143087,0.2238925269997587,-1.1305847907412614,0.2238925269997587,1.3730523948313487,1.1600199301618688,0.6073471788108387,1.7230473140384885,-0.03810936629783135,2.176464452219369,0.7448883404516087,-1.1305847907412614,1.4993892587900588,1.0581196626711786,0.4904985958706085,1.9166408893105384,0.6772386588705102,-0.6772386588705099,0.6772386588705102,1.90352012591941
BAG1,-0.25438974458100017,0.62816405437974,-0.25438974458100017,0.16509993477766982,-0.957285555955782,-0.52099581345185,-1.87547313119287,-1.87547313119287,0.3684722201627,-0.52099581345185,0.4896927576429,-0.1684819938378901,0.0,0.0,0.4151315897102601,1.4633555160338236,0.6502964772246136,-0.6315301232441943,1.239697460785394,-0.7430099483287043,0.3167145486090537,-0.9159587725776184,-1.3902765887459263,0.9748893000898438,0.2308067978659436,-0.13686836827471627,1.2738509018127537,-0.03579927100490621,1.5633971324281335,0.27868776012536367,0.5845858121820338,-1.3902765887459263,0.6502964772246136,0.06594602553535367,-0.03579927100490621,-0.5595975297187993,0.2308067978659436,0.1299965451963938,-0.6493679125527636,-2.2704512991646335,0.23318588640797655,-1.2432762051507336,-0.4666988117463535,-0.22987823319409362,-2.2704512991646335,-0.22987823319409362,0.23318588640797655,0.23318588640797655,-0.9159739814236134,-2.2704512991646335,0.0408734228760963,0.17546044918296655,-0.08174684575219349,-0.9159739814236134,-0.6493679125527636,-0.39497816797176344,0.09471458967113655,0.09471458967113655,-2.7012104164237045,-2.7012104164237045,0.15242168835604541,-0.45726506506813447
BIRC5,-0.41245455589681423,-0.012741940097213966,0.8858554374887762,-0.3481146216323041,0.4418487838032261,1.0137770989267656,0.036289469291376,0.2172772208814857,0.6288371086541362,-0.012741940097213966,-0.8736952123736943,0.0007963712560759006,1.7210784237808054,0.4727111680913261,0.9765773015630961,-0.055090168238540294,-2.1527152155749802,0.8738741934430596,0.5589648677270596,-0.11830811326576018,1.6832826705985298,0.6852440209844097,-4.19328828154552,-0.055090168238540294,0.8589068044587798,-0.6848219450168402,-0.6477056900990101,-0.4430723318560901,-0.28510932921723997,-0.6980415645125699,-1.0137779452526603,-1.3396561767657702,0.027545084119269703,0.4165819338086303,-0.8228076571009102,-0.7181009313932303,-0.4430723318560901,0.05931790743524967,0.8677257494524335,0.24105672996171368,-0.5685699560172268,0.5045954867882729,1.2752077010521132,1.2932474551098432,-0.1888346307724067,-0.4638632303095469,0.24105672996171368,0.7565376076695332,-0.6814748811516269,0.5318640821222829,0.08662912917770349,0.8523568196096631,0.543394669511823,-0.030871628133556595,0.359940151540723,-0.1888346307724067,0.01815978125503337,0.359940151540723,0.0,1.7953535464299497,0.0,1.6514709766101001
BLVRA,0.029622896541205535,-0.23698317232964428,-1.5914604900706644,1.5436184077773858,0.2840126411222057,-1.5914604900706644,1.2621716147090856,-1.5914604900706644,0.6524848612849057,0.9121766955019457,0.7737053987651057,0.34625683034984567,0.5972439633417757,1.0726670004880157,0.4491125758998755,1.2077365089740297,0.8434806429955897,-0.09632214687070029,-0.38906807517229036,1.2367081353804399,-0.9176760373407302,0.030421604186379625,0.8434806429955897,-0.09632214687070029,-0.9829763677702603,0.3550144270516098,0.4357602865634398,0.030421604186379625,0.7359814383140599,0.6438146227880797,-0.035289060856200205,0.4934857237884498,0.030421604186379625,0.5706073230057598,0.6790707662290698,0.4934857237884498,-0.38906807517229036,-1.3116503983054923,-0.3109621643138225,-0.6355549871790527,-0.1724908675769825,0.6943525712950174,-1.5090041675809525,-0.6355549871790527,-1.0550446665377227,0.5814476461606173,-0.1724908675769825,-0.6355549871790527,-0.1724908675769825,-0.4321827017940225,0.48201059787345724,-0.8006549219567225,0.6309211898110374,0.4589508446984576,-0.3109621643138225,0.34498173515396724,-0.6355549871790527,-0.3109621643138225,0.0,0.0,0.6314417122754401,-0.98336405163029
CCNB1,1.1393287894215092,0.3262697506122991,-0.09321992874637086,-0.35982599761722067,1.7169368465297794,0.7893338702143693,-1.7143033153582408,-1.7143033153582408,-1.7143033153582408,-0.35982599761722067,-0.6871282213443408,0.7528676998586594,0.47440113805419926,0.7316084329893593,0.3262697506122991,-1.8505128358094791,-1.8505128358094791,0.06331647910398086,1.1967128442423207,-0.14352169845449914,0.08720448461103092,0.7488989709779807,0.19006023016106077,-1.8505128358094791,0.19006023016106077,-0.5971046153382691,0.02496029538339095,-1.8505128358094791,-0.496035518068459,-0.496035518068459,-0.780748606671249,-0.496035518068459,0.5146530530262909,0.6047916075255211,-1.019833776782352,-0.496035518068459,-0.22942944919760921,-0.683388950240839,-1.0271750940139,1.47646209155871,0.32730222372712015,1.6027989555174202,1.82645701076585,1.01339797195664,0.59390829259797,-1.0271750940139,0.32730222372712015,1.82645701076585,0.32730222372712015,0.77657739340438,0.0653003304295301,1.4187366543337,0.8482980371789701,-1.0271750940139,0.0,-0.1089875187768119,0.0,0.59390829259797,2.220446049250313e-16,-1.3544773177410199,0.68609574822952,0.68609574822952
CDC20,1.7525413836000576,-1.4653465871581324,0.15573679945373753,-1.4653465871581324,0.0094681697438177,-0.11086926941711228,-1.4653465871581324,0.15573679945373753,-1.4653465871581324,-1.4653465871581324,-0.4381714931442324,-0.033138594103362395,0.7233578662543076,0.4101265440347377,0.2725853823939677,0.34759215699866486,-2.017573731837105,-0.3964903452252353,0.8360583729426447,-0.3105825944821252,1.229285865327495,0.02299933413343469,-2.017573731837105,-0.3964903452252353,0.34759215699866486,-0.10374441692364522,-0.5427589749351551,-0.6630964140960851,-0.6630964140960851,-0.09055709395937517,-0.5158456114907453,-2.017573731837105,0.48606345373550486,-0.021356524552475165,-2.017573731837105,-0.6630964140960851,0.02299933413343469,-0.21382124441882522,1.1752768843391401,0.3622178455299301,-1.6783552204406098,0.3622178455299301,0.5655901309149602,1.1752768843391401,-0.057271833828739904,-1.6783552204406098,0.8252819651320003,1.1752768843391401,-0.3238779026995897,1.1752768843391401,0.028635916914370174,0.9857722701180702,0.7675565279069902,1.1752768843391401,-0.057271833828739904,1.1752768843391401,0.6868106683951603,0.9516188290907104,1.36333440710003,-0.6772386588705099,0.6772386588705102,0.8430344750718102
CDC6,2.1153119703309775,2.6037781862749574,5.635956270932457,-0.24985391850479277,0.6683336567322953,5.503416752816257,3.500362031184637,1.3712294681070771,-0.24985391850479277,1.1046233992362273,0.7773211755091072,1.4571372188501872,1.4391541738681473,0.28108565831789223,-0.24985391850479277,-1.8762882646551724,-1.8762882646551724,1.2300965719937278,-0.8491131706412725,-0.4440802716004024,0.2602930143190878,0.1642848013153675,-1.8762882646551724,-0.2552048780433025,0.1642848013153675,-0.6228800441839624,-0.4014735077532223,0.1642848013153675,-0.03026667166429231,-0.07253577723689242,-1.0832440085405555,-0.5218109469141523,-0.5218109469141523,0.026903708146037708,-1.0456092056280455,0.1642848013153675,-1.8762882646551724,-1.1777872011765043,0.501489279307104,0.920978958665774,-1.119594107304766,-0.09241901329086599,1.124351244050804,2.4532121634884243,0.501489279307104,0.23488321043625415,0.23488321043625415,0.920978958665774,-0.2889150482776389,0.04752977826387417,0.587397030050214,-1.119594107304766,0.7558790238881041,-1.119594107304766,0.501489279307104,0.35522064959718413,1.5103799422265543,0.920978958665774,0.0,0.6860957482295198,0.0,0.4492751696772599
CDH3,0.7765866421594378,1.7819013777682777,0.03250413993553769,-0.23410192893531212,0.6001252067361078,-1.5885792466763322,-1.5885792466763322,0.7765866421594378,0.6553661046792378,-1.5885792466763322,-0.5614041526624323,-0.9413126062591102,-0.11376448977438214,-1.0576396698536472,0.14935272287576784,-1.9243916303862538,-1.9243916303862538,0.23268413093429618,0.11618143558428606,0.6834197475308361,0.5427793848306464,-1.0937125713591267,0.11618143558428606,-0.6709834099150438,-0.8972165363723539,-0.6709834099150438,-0.04891849919338376,-0.5699143126452337,-0.5699143126452337,-0.4041184964439337,-1.1313473742716367,-0.5699143126452337,-0.5699143126452337,-1.6034713107995968,-1.0937125713591267,-0.18645966083415377,0.11618143558428606,-0.7572677448176137,2.6105932382689043,2.4726075261848344,-0.8978730982597756,-0.8978730982597756,-0.8978730982597756,0.4566042194812445,0.7232102883520943,0.4566042194812445,-0.8978730982597756,-0.06719403923264855,0.4566042194812445,0.9058793891585044,0.5343348947949944,0.02031447697731248,0.9776000329330945,-0.8978730982597756,0.7232102883520943,0.5769416586421745,1.7321009512715446,0.7232102883520943,1.35447731774102,0.0,0.0,1.52027313394232
CENPF,-1.2815351121761198,0.07294220556490028,0.3395482744357501,-1.2815351121761198,0.19327964472583026,0.7590379537944201,0.3395482744357501,0.3395482744357501,-0.11441122660747971,0.07294220556490028,0.3395482744357501,-0.18905968773268977,-0.058353764451919865,0.19327964472583026,-1.2815351121761198,0.0,-1.62108338661187,0.0,-1.62108338661187,-0.5286079621684399,-0.18887539355709992,-0.06217624131874988,-1.62108338661187,0.0,0.41948967935867,-0.36767516614065987,-1.62108338661187,-0.2666060688708498,-1.017947400663029,-0.9225823231332019,-1.1707421162986609,-1.62108338661187,-0.59390829259797,0.7671505965437,-1.62108338661187,6.565718307200079,0.0,0.41948967935867,1.62108338661187,2.04057306597054,0.0,3.50846633652868,2.24394535135557,2.04057306597054,0.0,0.830679059027127,0.0,1.35447731774102,1.7379319695521,0.0,0.647266640417222,1.87547313119287,1.47481475690195,1.35447731774102,0.0,0.918187575237088,1.0271750940139,2.04057306597054,0.0,0.0,0.0,0.698501063478668
