,Log2FC,Std.Error,df,t value,Pr(>|t|),FDR,diffexpressed,delabel
FARP1,-1.706658415,0.262511801,38.36493495,-6.501263601,1.12E-07,8.67E-05,DOWN,FARP1
DDX5,-1.300418545,0.228525459,44.83394206,-5.690475577,9.07E-07,0.000327023,DOWN,DDX5
DDR1,-1.902810982,0.301685363,25.9371754,-6.307269803,1.13E-06,0.000382494,DOWN,DDR1
EPB41L4A,-1.257350688,0.233136105,57,-5.393204477,1.38E-06,0.00041559,DOWN,EPB41L4A
EPS8,-1.285455472,0.240192992,57,-5.351760935,1.61E-06,0.000435641,DOWN,EPS8
PON2,-1.15005807,0.213705033,44.99851538,-5.381520754,2.56E-06,0.000601288,DOWN,PON2
KIF13A,-1.238091536,0.240446505,57,-5.149135079,3.38E-06,0.000652658,DOWN,KIF13A
TLE2,-1.428212896,0.278274136,53.52157859,-5.132395412,4.08E-06,0.000759988,DOWN,TLE2
PTK2,-1.308441338,0.258611928,57,-5.059477909,4.68E-06,0.000843088,DOWN,PTK2
PPP1CB,-1.010193944,0.204553581,56.73844829,-4.938529743,7.29E-06,0.001159282,DOWN,PPP1CB
CDC42EP4,-1.270003079,0.259458713,57,-4.894817624,8.46E-06,0.001218994,DOWN,CDC42EP4
ADNP,-1.159357453,0.240580111,55.58795392,-4.819007897,1.16E-05,0.001601079,DOWN,ADNP
AKT1,-1.118153132,0.233841918,56.42582191,-4.781662498,1.29E-05,0.001738381,DOWN,AKT1
TPD52L1,-1.564804119,0.330750634,50.51759307,-4.731069138,1.84E-05,0.002208318,DOWN,TPD52L1
NR2F6,-1.404444558,0.30086134,56.43779636,-4.668079176,1.92E-05,0.002240076,DOWN,NR2F6
EHF,-1.610768297,0.350565447,55.15054855,-4.594771985,2.56E-05,0.002811554,DOWN,EHF
KIAA1522,-1.486610424,0.307240169,31.45871762,-4.838593946,3.30E-05,0.003128416,DOWN,KIAA1522
MAL2,-1.996448228,0.441028837,52.61782413,-4.526797479,3.46E-05,0.003224245,DOWN,MAL2
SORT1,-1.36010754,0.296841607,42.52656892,-4.581930253,4.00E-05,0.00346825,DOWN,SORT1
PKP4,-1.078802054,0.235130482,38.03156008,-4.588099537,4.76E-05,0.003838007,DOWN,PKP4
IGFBP2,-1.623033715,0.366329942,48.53876784,-4.430524312,5.35E-05,0.004130432,DOWN,IGFBP2
ITSN1,-1.179491326,0.268197528,50.06360911,-4.397845631,5.71E-05,0.004230301,DOWN,ITSN1
ESRP1,-1.42513814,0.308200478,32.75052683,-4.62406207,5.64E-05,0.004230301,DOWN,ESRP1
MGST1,-1.534374832,0.353856508,57,-4.336149817,5.97E-05,0.004364408,DOWN,MGST1
