"","DSP-1001660005648-A-C05.dcc","DSP-1001660005648-A-C06.dcc","DSP-1001660005648-A-C12.dcc","DSP-1001660005648-A-D01.dcc","DSP-1001660005648-A-D05.dcc","DSP-1001660005648-A-D06.dcc","DSP-1001660005648-A-D09.dcc","DSP-1001660005648-A-D10.dcc","DSP-1001660005648-A-E06.dcc","DSP-1001660005649-B-B11.dcc","DSP-1001660005649-B-B12.dcc","DSP-1001660005649-B-C01.dcc","DSP-1001660005649-B-C02.dcc","DSP-1001660005649-B-C05.dcc","DSP-1001660005649-B-C06.dcc","DSP-1001660005649-B-C08.dcc","DSP-1001660005649-B-C09.dcc","DSP-1001660005649-B-C12.dcc","DSP-1001660005649-B-D03.dcc","DSP-1001660005649-B-D04.dcc","DSP-1001660005649-B-E09.dcc","DSP-1001660005649-B-E12.dcc","DSP-1001660005649-B-F01.dcc","DSP-1001660005649-B-F05.dcc","DSP-1001660005649-B-F09.dcc","DSP-1001660005649-B-F11.dcc","DSP-1001660005649-B-F12.dcc","DSP-1001660005649-B-G01.dcc","DSP-1001660005649-B-G03.dcc","DSP-1001660005649-B-G06.dcc","DSP-1001660005649-B-G07.dcc","DSP-1001660005649-B-G08.dcc","DSP-1001660005649-B-G11.dcc","DSP-1001660005649-B-H01.dcc","DSP-1001660005649-B-H02.dcc","DSP-1001660005649-B-H05.dcc","DSP-1001660005649-B-H06.dcc","DSP-1001660005649-B-H08.dcc","DSP-1001660005649-B-H09.dcc","DSP-1001660005649-B-H12.dcc","DSP-1001660012098-D-A02.dcc","DSP-1001660012098-D-A06.dcc","DSP-1001660012098-D-A09.dcc","DSP-1001660012098-D-B02.dcc","DSP-1001660012098-D-B03.dcc","DSP-1001660012099-C-E02.dcc","DSP-1001660012099-C-E04.dcc","DSP-1001660012099-C-E05.dcc","DSP-1001660012099-C-E06.dcc","DSP-1001660012099-C-E07.dcc","DSP-1001660012099-C-E08.dcc","DSP-1001660012099-C-E10.dcc","DSP-1001660012099-C-F02.dcc","DSP-1001660012099-C-F03.dcc","DSP-1001660012099-C-F10.dcc","DSP-1001660012099-C-F11.dcc","DSP-1001660012099-C-G01.dcc","DSP-1001660012099-C-G02.dcc","DSP-1001660012099-C-G04.dcc","DSP-1001660012099-C-G05.dcc","DSP-1001660012099-C-G06.dcc","DSP-1001660012099-C-G09.dcc"
"A2M",8,10,2,6,17,0,2,10,10,5,6,19,10,33,9,21,25,8,12,10,8,24,9,66,26,41,35,9,20,25,3,18,51,46,57,26,7,47,32,14,50,23,87,77,23,17,14,38,52,126,12,18,54,30,65,38,62,10,4,21,45,73
"ACADM",1,3,2,2,0,5,0,1,0,1,2,8,3,6,1,7,5,0,5,2,3,1,1,3,3,1,4,8,2,3,1,0,5,13,3,2,8,4,2,4,3,8,2,6,4,1,1,3,4,6,14,2,9,8,5,5,7,5,0,2,2,3
"APOE",35,36,9,2,5,2,2,13,4,1,8,19,0,53,3,28,7,13,9,15,4,16,20,87,9,17,4,15,8,16,6,1,62,44,92,1,5,34,9,12,16,34,221,1,27,15,28,11,145,58,12,13,85,46,75,71,149,10,161,12,55,25
"ASS1",1,3,1,5,24,14,1,2,2,1,3,3,3,9,6,8,6,2,3,4,4,5,7,8,5,2,6,0,2,6,1,2,6,30,1,3,4,6,6,5,2,8,5,8,3,5,5,1,7,8,43,7,8,28,9,28,3,7,1,8,11,7
"SERPING1",3,6,2,2,2,6,0,5,1,7,4,14,3,18,3,8,10,9,2,8,2,11,24,26,13,7,7,7,13,11,9,7,26,32,46,9,13,11,11,12,24,6,93,9,27,3,15,15,15,21,8,14,24,9,34,4,22,13,5,8,21,11
"C3",6,3,0,15,3,0,1,3,3,1,4,24,1,3,4,12,2,0,2,38,38,1,38,33,4,14,2,11,40,2,17,14,29,43,36,6,12,11,76,1,22,17,49,5,19,5,5,3,92,19,45,22,46,13,14,21,78,31,4,3,23,24
"CDK4",6,3,3,3,0,12,14,0,8,6,1,11,4,20,4,17,19,1,7,8,6,6,4,7,4,6,6,9,4,2,2,4,12,18,4,4,15,8,11,4,7,11,13,7,8,2,4,6,7,15,26,8,8,19,15,25,12,8,16,1,12,7
"LYST",1,2,1,2,0,2,0,0,0,2,6,2,1,5,0,4,3,1,0,0,5,4,4,7,4,4,4,5,3,3,4,0,8,10,6,0,2,1,7,2,3,7,3,9,8,2,3,2,7,8,8,5,1,3,1,12,9,7,1,6,4,2
"CLN3",0,3,0,4,0,6,1,2,3,5,4,8,4,4,3,9,11,1,6,4,2,4,1,4,8,5,4,1,2,5,2,4,7,18,4,3,4,6,4,3,3,7,7,1,4,5,0,2,7,7,50,2,5,20,9,17,3,7,3,5,10,9
"COL1A1",64,5,15,46,22,107,13,62,62,10,26,87,25,96,7,50,27,29,34,39,38,56,313,26,35,22,30,130,33,56,124,272,11,65,125,40,164,48,54,68,162,17,280,29,208,172,126,42,98,93,16,269,109,79,342,71,170,207,175,42,87,450
