"","Log2FC","Std.Error","df","t value","Pr(>|t|)","FDR","diffexpressed","delabel"
"A2M",0.931572437454288,0.358706089912825,112.524893467723,2.59703546622441,0.0106590464549786,0.0550954267872895,"NO",NA
"ACADM",-0.0422578030082053,0.230099788750852,116.88887352236,-0.183649899192047,0.854606314052052,0.927873480543834,"NO",NA
"PSEN1",-0.405919870323795,0.16649655128934,117.999999997334,-2.4380076775187,0.0162593778864256,0.0739139667045457,"NO",NA
"AGL",0.440013613643329,0.302119698884909,113.882686727476,1.45642146231236,0.148027696029532,0.326803901158786,"NO",NA
"APOE",0.122109476745457,0.309042377811503,117.188850341683,0.395122111116866,0.693471055729522,0.830594065719294,"NO",NA
"ASL",-0.491234524428565,0.182000242154637,86.0169362830651,-2.69908720237408,0.00836928074808018,0.0461302062086125,"NO",NA
"ASS1",0.720443756309095,0.23447268007019,115.849350605368,3.0726127926436,0.00264550402138778,0.0206131785438363,"NO",NA
"C3",0.393036112052344,0.316580711099464,102.005278653983,1.24150366169611,0.217267003395862,0.417540388239142,"NO",NA
"CDK4",0.364039435466955,0.177119080366386,117.391121963462,2.05533720429165,0.042064911518348,0.141664552401077,"NO",NA
"LYST",-0.108175795720182,0.265497016863582,112.443146285213,-0.407446369824054,0.684454839626366,0.826234036555048,"NO",NA
"CLN3",-0.548653438893883,0.178428286996076,117.734545675511,-3.07492409488833,0.00261780552373096,0.0204558196468025,"NO",NA
"COL1A1",1.78097056578116,0.358175449339189,114.481096081751,4.9723412619903,2.3446552747723e-06,0.000102899399417366,"UP","COL1A1"
"COL1A2",1.65859084454892,0.276038449112574,116.079847108714,6.00855007656021,2.20779764631265e-08,2.44539872634439e-06,"UP","COL1A2"
"COL5A1",0.441666505738867,0.330160179504427,117.736916337074,1.33773402474463,0.183561420771578,0.375101555663961,"NO",NA
"CP",-0.702206634965035,0.33744676735943,103.513239222232,-2.08094047087753,0.0399074424542833,0.136440045784414,"NO",NA
"CST3",0.16104423412334,0.272062772140038,97.4433118042552,0.591937782801267,0.555263188345132,0.737462224642621,"NO",NA
"CSTB",0.687778036442418,0.152049193259944,98.7433499882831,4.52339155306526,1.69682467978558e-05,0.000495416009018567,"NO",NA
"DLD",0.618050595290627,0.185306989317158,94.8747326908504,3.33527946014393,0.00121720890521581,0.0112201898818968,"NO",NA
"SLC26A2",-0.585405260656897,0.369601309936951,108.243225278593,-1.5838830786524,0.116137746844918,0.279974827327871,"NO",NA
"TOR1A",0.220837866876043,0.209835811982144,108.459187365113,1.05243173121867,0.294940612278603,0.508046307696888,"NO",NA
"EMD",0.188917858658873,0.14352031944324,116.56785518603,1.31631436852806,0.190650990233736,0.384128931187513,"NO",NA
"EPHX1",0.172104339433033,0.229316803900346,106.120973136413,0.750509062161115,0.454609029689493,0.658965893056352,"NO",NA
"ERCC5",-0.387552148311531,0.182923013284799,110.929551389155,-2.11866260757546,0.0363508753574417,0.127836052608073,"NO",NA
"ESR1",-0.103469288422158,0.287409300067845,96.9340832189954,-0.360006751339408,0.71962527860404,0.849238152223743,"NO",NA
"FAH",-0.594325928999114,0.238931671836845,109.809882746236,-2.48743050442032,0.0143704132978189,0.0679842332150377,"NO",NA
"FH",0.618774584117662,0.169016390606236,117.930761411138,3.66103300335673,0.000377280654569904,0.00473500792731796,"NO",NA
"GLI3",-0.790886598775321,0.320886692923845,116.510298185887,-2.46469117048434,0.0151719792400076,0.0706271321793016,"NO",NA
"GPI",0.397636062699232,0.213062153832278,108.977402371719,1.8662913874993,0.0646891504735074,0.190223721872792,"NO",NA
"GSN",0.670143663158689,0.252989986444488,114.27243276167,2.64889402373929,0.00921813774660995,0.0494801270737263,"NO",NA
"GSS",-0.209043455213365,0.240693733184947,117.93641143485,-0.868503938375238,0.386882453055037,0.595689708168148,"NO",NA
"MSH6",0.55188049727866,0.224858949969229,58.0772836090054,2.45434080944602,0.0171327858075492,0.0764402681362394,"NO",NA
"GUSB",0.117851875416501,0.260521613525436,104.384426623415,0.452368898770829,0.651941963794986,0.805790560235592,"NO",NA
"HADHA",0.319543588383332,0.209968078216574,110.757866801506,1.52186747193892,0.130892239547606,0.301939189277089,"NO",NA
"HADHB",0.331440513234752,0.155356871566851,115.864467123105,2.13341392557671,0.0350000830768314,0.124480417793134,"NO",NA
"HK1",0.272729467245013,0.205360023431529,116.477638358707,1.32805529862995,0.186756374396569,0.379053513827591,"NO",NA
"HK2",-0.0722753155648685,0.307691733600632,117.259737703213,-0.23489521385283,0.81469976045684,0.906918696122524,"NO",NA
"HPRT1",0.62633550386526,0.187368827654611,91.4362048393998,3.34279459238452,0.00120313362498949,0.0111641840893306,"NO",NA
"HPS1",-0.0226703814187727,0.218666789381531,116.761801187935,-0.103675466598713,0.917604761685738,0.959280227311848,"NO",NA
"HSD17B3",-0.496703645368038,0.180354727791658,77.3980215668727,-2.75403728779331,0.00733321961042691,0.0425010020278729,"NO",NA
"IDS",-0.017523795695366,0.186267508335709,116.8720149339,-0.0940786498511753,0.925207779213965,0.962878431522006,"NO",NA
"IDUA",-0.383782377274191,0.23265050231527,110.251788771795,-1.64960906361646,0.10186927472389,0.256999533619621,"NO",NA
"INSR",-0.283687592415869,0.245248932566966,117.691458170582,-1.15673324016775,0.2497238566555,0.457248247636336,"NO",NA
"ITGA6",-0.0803004027231096,0.375396737210266,116.594347561367,-0.213908099787591,0.830992350596443,0.916964521384986,"NO",NA
"KRT12",-0.314061925556555,0.190153780240998,96.6916312689027,-1.65162073117094,0.101856048430545,0.256999533619621,"NO",NA
"KRT18",0.71312677787274,0.14487404801497,93.3236866300705,4.92239146792565,3.67337564897612e-06,0.000146473230163173,"NO",NA
"SGCB",0.735059114361641,0.260506643513019,117.879438626124,2.82165208706052,0.00560860732255056,0.0353859510820595,"NO",NA
"LYZ",1.41251264576979,0.255672525429445,112.773057801747,5.52469469841251,2.14765336222497e-07,1.42726906301008e-05,"UP","LYZ"
"MLH1",0.522378790442403,0.227073634175261,116.780830446389,2.30048192226148,0.0231958902501637,0.0936153395984052,"NO",NA
"MSH2",-0.0293486814172381,0.204561174830967,116.941306071135,-0.143471416027452,0.886164818156364,0.945224411662352,"NO",NA
"MTR",0.0136048569146884,0.206813267575345,106.883277185378,0.0657832888295328,0.947673247992943,0.97477357377576,"NO",NA
"NF1",-0.0799296427986402,0.207761639351125,115.480427609525,-0.384718002073308,0.701153950967412,0.835676749911884,"NO",NA
"PNP",-0.151872879413665,0.241015459124022,111.70736203279,-0.630137502240111,0.529891513358373,0.718256212162922,"NO",NA
"OAT",0.454476883783621,0.219507814964704,107.659742431814,2.07043600637499,0.0408036818759848,0.138688793049499,"NO",NA
"OCRL",0.293874753342649,0.207424980623781,116.866174267173,1.41677609157244,0.159208603803678,0.342570964336128,"NO",NA
"PCBD1",0.145256039550148,0.240131204649792,112.935881676496,0.604902806205423,0.546457066878813,0.730271158854093,"NO",NA
"PCCA",-0.367620889875272,0.260874569167839,115.504057772837,-1.40918638044306,0.161466659929665,0.345405994172041,"NO",NA
"PDHA1",-0.0755297255117938,0.189400876153035,117.932598352014,-0.398782344865005,0.690774718776239,0.828787136798589,"NO",NA
"PGK1",0.169323337942161,0.21518031250127,116.544005624154,0.786890473268377,0.432943225062475,0.637965827054635,"NO",NA
"PHKB",-0.410784331922208,0.240074669525581,113.547983860909,-1.71106903003958,0.0897988824603308,0.235836131655321,"NO",NA
"PHKG2",-0.432987405351094,0.191803436921698,85.3423069073286,-2.25745384076646,0.0265326314290862,0.10251644635225,"NO",NA
"SERPINA1",0.227492046467408,0.233869859553852,117.675869549784,0.972729221719248,0.332683159078048,0.543922934406425,"NO",NA
"PLOD1",0.410400521999572,0.227854538431916,116.966047499777,1.80115140485649,0.0742554866120579,0.208933381281831,"NO",NA
"PMM2",-0.650547846257776,0.191268164266738,110.675031985272,-3.4012343285239,0.000934171088352151,0.00923156736350398,"NO",NA
"PMP22",0.930276423894137,0.29944736230587,117.674343854699,3.10664424201509,0.00237201870009577,0.019003382880905,"NO",NA
"PON2",-0.0642217512986292,0.232157530851243,117.5941083659,-0.276630058319236,0.782549813034914,0.889503859320033,"NO",NA
"PRNP",0.676071574764672,0.333843877972821,114.116942238238,2.02511299254592,0.0451896466178313,0.1480438282156,"NO",NA
"PTS",0.4962624938526,0.1958813533022,116.448154134954,2.53348511987755,0.012622615147055,0.061767607641059,"NO",NA
"PEX2",-0.614372033889934,0.167767809537687,107.633683156756,-3.6620376434725,0.000389775947049085,0.00486557523883456,"NO",NA
"QDPR",-0.34792723751664,0.217382965766678,112.761490216648,-1.60052668473609,0.112279831253266,0.273660028810789,"NO",NA
"ATXN1",-0.187645973261742,0.198443904846589,115.342545486192,-0.945586982914925,0.346335967674799,0.557879127985861,"NO",NA
"SMN1",-0.43411407272604,0.157747830387561,108.904164652684,-2.75194956190201,0.00694105278173205,0.0408881953231222,"NO",NA
"TIMP3",1.88442079907558,0.361000495947709,111.487818618806,5.21999504219112,8.37030609662287e-07,4.23246347407496e-05,"UP","TIMP3"
"TPI1",0.357263525316247,0.143303808620017,104.957549648286,2.49304975741128,0.014227693946686,0.0673547139484228,"NO",NA
"TPM1",0.844094602213056,0.205000444020361,103.681953148745,4.11752572657462,7.71048774506829e-05,0.00145084950201276,"NO",NA
"TPMT",0.0927712479189814,0.219857275770129,104.577688647176,0.421961236415837,0.673919489627038,0.819136962029518,"NO",NA
"UROS",0.43278475436803,0.238184559869243,115.464395970841,1.81701431279013,0.0718085499384812,0.203821014667469,"NO",NA
"CDKN1A",-0.0724004851627436,0.290008438117587,111.358347447638,-0.249649581345588,0.803318286144601,0.899794864572944,"NO",NA
"TPP1",0.157161776469354,0.196124412550267,77.3216329470884,0.801337143223175,0.425392191648113,0.631168767450677,"NO",NA
"COL5A2",0.15224556814412,0.285507425949899,117.960829733232,0.533245563184881,0.594866869557408,0.764734896052247,"NO",NA
"CYB5R3",0.284081572729768,0.184733001105746,116.621456894643,1.53779547254338,0.12680745884004,0.296688829955134,"NO",NA
"G6PD",-0.0311870413678022,0.216677234479286,117.882550442256,-0.143933170657038,0.885799010297216,0.944978672046167,"NO",NA
"GM2A",0.245266001635481,0.262650936599701,115.717654687653,0.933809735501855,0.352346494848497,0.563141091797326,"NO",NA
