"","Log2FC","Std.Error","df","t value","Pr(>|t|)","FDR","diffexpressed","delabel"
"A2M",0.289979758841122,0.430629409489842,56.7148210369375,0.673385868337824,0.503436823116271,0.762988389611202,"NO",NA
"ACADM",-0.0781767643710329,0.270652697968863,45.8596577297119,-0.288845317108299,0.774001435503445,0.911778181428828,"NO",NA
"APOE",-0.0904084864548945,0.546132263775733,56.1056472942696,-0.165543207115887,0.86911151305952,0.949431353827025,"NO",NA
"ASS1",-0.688434841107685,0.299044283233953,54.9631715053174,-2.30211670881231,0.0251418293510266,0.174369725334525,"NO",NA
"SERPING1",0.870345609018219,0.367092901902444,52.5228259753096,2.37091375100877,0.021446507373385,0.15857680688094,"NO",NA
"C3",2.64449520172553,0.41447536493428,50.5492112129163,6.38034350279139,5.35949860478826e-08,7.34117321390872e-05,"UP","C3"
"CDK4",0.133535543812419,0.283688165371154,26.2317415692801,0.470712423402338,0.641736828814207,0.847930980073216,"NO",NA
"LYST",0.371662203782149,0.337941953241776,43.4467600438279,1.09978119087289,0.277484129336524,0.599265094455978,"NO",NA
"CLN3",-0.334116077882001,0.29091666542571,16.097301887317,-1.14849411391773,0.267545631957538,0.591061830010009,"NO",NA
"COL1A1",1.97517578940014,0.4879058084346,54.582145918725,4.04827275112241,0.000164085294942335,0.00764696010918004,"UP","COL1A1"
"COL1A2",1.76158132335351,0.436645708236589,56.5347988108061,4.03434933659997,0.000166086558312178,0.00764696010918004,"UP","COL1A2"
"COL5A1",1.03835899717368,0.360646310857241,44.6914690694137,2.87916156609379,0.0060986160227873,0.0720136146311458,"NO",NA
"CP",-0.309694330046703,0.379783637458479,52.70919829874,-0.815449375647631,0.418484776763204,0.706969865578698,"NO",NA
"CST3",0.193784418490247,0.328078310320044,56.8085010502859,0.590665132057064,0.557087504626516,0.796814985279376,"NO",NA
"CSTB",-0.140632464034447,0.2336104473906,49.9192853510532,-0.601995611092287,0.549901680512846,0.792662801244378,"NO",NA
"CYP1B1",0.0404133896158289,0.366989957045347,53.3411531251544,0.11012124130371,0.912726497738815,0.967277947560136,"NO",NA
"SLC26A2",-0.927040891618552,0.387294250648973,35.7287357469564,-2.3936345299863,0.0220599400252252,0.161220870837803,"NO",NA
