"","DSP-1001660005648-A-C05.dcc","DSP-1001660005648-A-C06.dcc","DSP-1001660005648-A-C07.dcc","DSP-1001660005648-A-C08.dcc","DSP-1001660005648-A-C10.dcc","DSP-1001660005648-A-C12.dcc","DSP-1001660005648-A-D01.dcc","DSP-1001660005648-A-D02.dcc","DSP-1001660005648-A-D03.dcc","DSP-1001660005648-A-D04.dcc","DSP-1001660005648-A-D05.dcc","DSP-1001660005648-A-D06.dcc","DSP-1001660005648-A-D07.dcc","DSP-1001660005648-A-D08.dcc","DSP-1001660005648-A-D09.dcc","DSP-1001660005648-A-D10.dcc","DSP-1001660005648-A-E01.dcc","DSP-1001660005648-A-E02.dcc","DSP-1001660005648-A-E03.dcc","DSP-1001660005648-A-E04.dcc","DSP-1001660005648-A-E06.dcc","DSP-1001660005648-A-E07.dcc","DSP-1001660005649-B-B11.dcc","DSP-1001660005649-B-B12.dcc","DSP-1001660005649-B-C01.dcc","DSP-1001660005649-B-C02.dcc","DSP-1001660005649-B-C05.dcc","DSP-1001660005649-B-C06.dcc","DSP-1001660005649-B-C07.dcc","DSP-1001660005649-B-C08.dcc","DSP-1001660005649-B-C09.dcc","DSP-1001660005649-B-C12.dcc","DSP-1001660005649-B-D01.dcc","DSP-1001660005649-B-D02.dcc","DSP-1001660005649-B-D03.dcc","DSP-1001660005649-B-D04.dcc","DSP-1001660005649-B-D05.dcc","DSP-1001660005649-B-D07.dcc","DSP-1001660005649-B-E09.dcc","DSP-1001660005649-B-E12.dcc","DSP-1001660005649-B-F01.dcc","DSP-1001660005649-B-F02.dcc","DSP-1001660005649-B-F05.dcc","DSP-1001660005649-B-F07.dcc","DSP-1001660005649-B-F09.dcc","DSP-1001660005649-B-F11.dcc","DSP-1001660005649-B-F12.dcc","DSP-1001660005649-B-G01.dcc","DSP-1001660005649-B-G03.dcc","DSP-1001660005649-B-G06.dcc","DSP-1001660005649-B-G07.dcc","DSP-1001660005649-B-G08.dcc","DSP-1001660005649-B-G11.dcc","DSP-1001660005649-B-H01.dcc","DSP-1001660005649-B-H02.dcc","DSP-1001660005649-B-H05.dcc","DSP-1001660005649-B-H06.dcc","DSP-1001660005649-B-H08.dcc","DSP-1001660005649-B-H09.dcc","DSP-1001660005649-B-H12.dcc","DSP-1001660012098-D-A02.dcc","DSP-1001660012098-D-A03.dcc","DSP-1001660012098-D-A06.dcc","DSP-1001660012098-D-A09.dcc","DSP-1001660012098-D-B02.dcc","DSP-1001660012098-D-B03.dcc","DSP-1001660012099-C-E02.dcc","DSP-1001660012099-C-E03.dcc","DSP-1001660012099-C-E04.dcc","DSP-1001660012099-C-E05.dcc","DSP-1001660012099-C-E06.dcc","DSP-1001660012099-C-E07.dcc","DSP-1001660012099-C-E08.dcc","DSP-1001660012099-C-E09.dcc","DSP-1001660012099-C-E10.dcc","DSP-1001660012099-C-E11.dcc","DSP-1001660012099-C-F02.dcc","DSP-1001660012099-C-F03.dcc","DSP-1001660012099-C-F06.dcc","DSP-1001660012099-C-F07.dcc","DSP-1001660012099-C-F08.dcc","DSP-1001660012099-C-F09.dcc","DSP-1001660012099-C-F10.dcc","DSP-1001660012099-C-F11.dcc","DSP-1001660012099-C-G01.dcc","DSP-1001660012099-C-G02.dcc","DSP-1001660012099-C-G03.dcc","DSP-1001660012099-C-G04.dcc","DSP-1001660012099-C-G05.dcc","DSP-1001660012099-C-G06.dcc","DSP-1001660012099-C-G09.dcc","DSP-1001660012099-C-G12.dcc","DSP-1001660012099-C-H07.dcc"
"A2M",8,10,2,5,5,2,6,8,22,7,17,0,4,3,2,10,2,9,5,4,10,3,5,6,19,10,33,9,33,21,25,8,3,21,12,10,0,9,8,24,9,5,66,11,26,41,35,9,20,25,3,18,51,46,57,26,7,47,32,14,50,16,23,87,77,23,17,10,14,38,52,126,12,17,18,21,54,30,18,14,53,35,65,38,62,10,25,4,21,45,73,35,3
"APOE",35,36,0,8,13,9,2,9,12,15,5,2,10,6,2,13,4,3,0,7,4,8,1,8,19,0,53,3,16,28,7,13,0,10,9,15,0,6,4,16,20,6,87,3,9,17,4,15,8,16,6,1,62,44,92,1,5,34,9,12,16,2,34,221,1,27,15,5,28,11,145,58,12,15,13,11,85,46,11,7,83,14,75,71,149,10,12,161,12,55,25,98,6
"ASS1",1,3,0,2,3,1,5,2,3,1,24,14,0,3,1,2,0,1,0,2,2,3,1,3,3,3,9,6,1,8,6,2,0,1,3,4,2,1,4,5,7,3,8,6,5,2,6,0,2,6,1,2,6,30,1,3,4,6,6,5,2,2,8,5,8,3,5,1,5,1,7,8,43,0,7,2,8,28,9,7,8,7,9,28,3,7,5,1,8,11,7,5,1
"SERPING1",3,6,1,3,3,2,2,3,5,1,2,6,3,11,0,5,1,4,1,4,1,1,7,4,14,3,18,3,11,8,10,9,1,6,2,8,1,3,2,11,24,9,26,4,13,7,7,7,13,11,9,7,26,32,46,9,13,11,11,12,24,6,6,93,9,27,3,4,15,15,15,21,8,8,14,5,24,9,4,5,38,22,34,4,22,13,3,5,8,21,11,39,120
"C3",6,3,2,1,5,0,15,4,5,0,3,0,2,2,1,3,0,1,0,5,3,6,1,4,24,1,3,4,16,12,2,0,1,4,2,38,0,0,38,1,38,30,33,4,4,14,2,11,40,2,17,14,29,43,36,6,12,11,76,1,22,35,17,49,5,19,5,3,5,3,92,19,45,7,22,7,46,13,8,3,6,4,14,21,78,31,14,4,3,23,24,5,5
"CDK4",6,3,1,0,2,3,3,0,4,1,0,12,0,0,14,0,2,0,2,3,8,1,6,1,11,4,20,4,0,17,19,1,3,5,7,8,0,2,6,6,4,2,7,2,4,6,6,9,4,2,2,4,12,18,4,4,15,8,11,4,7,3,11,13,7,8,2,5,4,6,7,15,26,6,8,3,8,19,1,6,3,9,15,25,12,8,7,16,1,12,7,5,6
"LYST",1,2,2,4,1,1,2,0,4,1,0,2,0,1,0,0,0,2,0,0,0,0,2,6,2,1,5,0,6,4,3,1,0,2,0,0,1,1,5,4,4,1,7,0,4,4,4,5,3,3,4,0,8,10,6,0,2,1,7,2,3,5,7,3,9,8,2,2,3,2,7,8,8,2,5,2,1,3,1,2,4,4,1,12,9,7,3,1,6,4,2,3,2
"CLN3",0,3,2,2,1,0,4,0,4,0,0,6,0,1,1,2,1,2,1,1,3,1,5,4,8,4,4,3,4,9,11,1,0,2,6,4,1,2,2,4,1,0,4,7,8,5,4,1,2,5,2,4,7,18,4,3,4,6,4,3,3,3,7,7,1,4,5,5,0,2,7,7,50,1,2,4,5,20,2,8,7,7,9,17,3,7,5,3,5,10,9,14,1
"COL1A1",64,5,129,37,40,15,46,18,8,64,22,107,31,147,13,62,38,11,9,12,62,26,10,26,87,25,96,7,95,50,27,29,0,105,34,39,20,18,38,56,313,263,26,8,35,22,30,130,33,56,124,272,11,65,125,40,164,48,54,68,162,154,17,280,29,208,172,138,126,42,98,93,16,98,269,176,109,79,77,21,111,47,342,71,170,207,71,175,42,87,450,105,211
"COL1A2",38,4,50,17,15,8,21,14,11,27,15,44,13,80,7,58,13,14,2,4,25,19,6,13,60,27,72,5,45,22,27,16,2,42,33,41,7,9,51,75,188,95,76,4,59,17,23,50,52,99,64,119,56,148,70,49,98,26,95,106,67,89,31,222,27,134,115,34,133,56,55,99,21,67,143,59,78,72,73,14,98,60,156,35,64,83,46,40,55,66,250,117,56
