,Log2FC,Std.Error,df,t value,Pr(>|t|),FDR,diffexpressed,delabel
AKAP1,-1.530000387,0.174042401,105.6982528,-8.79096344,2.98E-14,4.12E-11,DOWN,AKAP1
PILRB,-1.251289786,0.144191819,99.79959924,-8.67795272,7.85E-14,9.29E-11,DOWN,PILRB
RGL2,-1.278190464,0.164158582,105.0649632,-7.786315232,5.11E-12,3.03E-09,DOWN,RGL2
CSF3R,-2.161058108,0.280108699,107.4944026,-7.715069599,6.55E-12,3.62E-09,DOWN,CSF3R
TRAF4,-1.43703132,0.190924909,96.14977196,-7.526683275,2.79E-11,1.36E-08,DOWN,TRAF4
CSAD,-1.75611309,0.239544233,117.9681093,-7.331059775,3.11E-11,1.43E-08,DOWN,CSAD
CDK5RAP3,-1.263473428,0.171249127,104.2371217,-7.377984657,4.04E-11,1.75E-08,DOWN,CDK5RAP3
RBM6,-1.173200401,0.161360336,104.8569124,-7.270686389,6.69E-11,2.52E-08,DOWN,RBM6
SPDEF,-1.407929502,0.192820299,95.56758579,-7.301770152,8.43E-11,2.91E-08,DOWN,SPDEF
ZG16B,-1.913258657,0.283728291,113.9559484,-6.743277706,6.72E-10,1.64E-07,DOWN,ZG16B
SMIM12,-1.292923465,0.200333867,118,-6.453843683,2.52E-09,4.83E-07,DOWN,SMIM12
YPEL3,-1.129564745,0.178679704,114.0289667,-6.321729449,5.20E-09,8.79E-07,DOWN,YPEL3
INO80B,-1.145199811,0.188676527,113.4174431,-6.069646457,1.74E-08,2.34E-06,DOWN,INO80B
TUBGCP6,-1.364789312,0.230083023,116.6343789,-5.931725398,3.14E-08,3.82E-06,DOWN,TUBGCP6
PPP6R2,-1.351699189,0.230626379,117.4357137,-5.860991259,4.30E-08,4.95E-06,DOWN,PPP6R2
SLC25A29,-1.247298575,0.216828397,114.0570835,-5.752468736,7.50E-08,7.58E-06,DOWN,SLC25A29
ZNF687,-1.082109294,0.188417276,100.5585762,-5.743153275,9.93E-08,9.46E-06,DOWN,ZNF687
OBSL1,-1.136677109,0.200049767,104.1592915,-5.681971672,1.22E-07,1.07E-05,DOWN,OBSL1
GNPTG,-1.198403666,0.210560509,84.75595404,-5.691493015,1.76E-07,1.39E-05,DOWN,GNPTG
CPT1B,-1.270047398,0.23026744,117.1938634,-5.515531843,2.11E-07,1.63E-05,DOWN,CPT1B
FNBP4,-1.047707502,0.192003853,115.4210026,-5.456700413,2.81E-07,2.04E-05,DOWN,FNBP4
COMTD1,-1.154337485,0.214455038,117.8494321,-5.382655025,3.79E-07,2.70E-05,DOWN,COMTD1
ITPRID2,-1.014020964,0.189693532,112.7080911,-5.345574797,4.76E-07,3.13E-05,DOWN,ITPRID2
NAA30,-1.165907666,0.224833184,115.2708363,-5.185656529,9.30E-07,5.51E-05,DOWN,NAA30
NECAB3,-1.181580907,0.230594863,114.1260226,-5.124055638,1.23E-06,6.89E-05,DOWN,NECAB3
EHF,-1.672077911,0.325581631,107.5247003,-5.13566416,1.26E-06,7.02E-05,DOWN,EHF
TP53I11,-1.394906177,0.271836526,106.1416974,-5.13141555,1.31E-06,7.22E-05,DOWN,TP53I11
MPP3,-1.302292157,0.260827101,105.4942567,-4.992932682,2.36E-06,0.000117979,DOWN,MPP3
ZSWIM8,-1.102754118,0.222260015,117.3962575,-4.961549739,2.39E-06,0.000118501,DOWN,ZSWIM8
NOL3,-1.027881127,0.210124891,117.8213287,-4.891762808,3.20E-06,0.000154064,DOWN,NOL3
HOXB2,-1.186162813,0.240456341,92.70433137,-4.932965408,3.55E-06,0.000166176,DOWN,HOXB2
TRAF5,-1.122920361,0.233065236,117.8681218,-4.818051713,4.36E-06,0.000196238,DOWN,TRAF5
RNF43,-1.214419148,0.255307883,117.7655064,-4.756684885,5.63E-06,0.000240565,DOWN,RNF43
RAB24,-1.19970284,0.254300379,112.0189673,-4.717660443,6.93E-06,0.000284483,DOWN,RAB24
MOAP1,-1.010503452,0.212678255,96.07340093,-4.751324733,7.07E-06,0.000288808,DOWN,MOAP1
PRPF40B,-1.24283044,0.264553628,97.6606764,-4.697839328,8.61E-06,0.00033338,DOWN,PRPF40B
ZBTB42,-1.023225305,0.220197612,106.6915456,-4.646850146,9.68E-06,0.000364614,DOWN,ZBTB42
CFAP44,-1.097425227,0.242005523,112.8834842,-4.534711485,1.45E-05,0.000501141,DOWN,CFAP44
RBCK1,-1.073753686,0.238141506,117.999333,-4.508889284,1.55E-05,0.000519069,DOWN,RBCK1
HOXC10,-1.321327452,0.291066221,102.1962346,-4.539611121,1.54E-05,0.000519069,DOWN,HOXC10
PRSS22,-1.104687881,0.241783779,88.74005127,-4.568908153,1.58E-05,0.000524386,DOWN,PRSS22
TBC1D8,-1.105626186,0.248306996,117.2572824,-4.452658212,1.95E-05,0.00060878,DOWN,TBC1D8
FGFR4,-1.45980201,0.330700645,117.3825042,-4.414270231,2.27E-05,0.000677804,DOWN,FGFR4
ARHGEF38,-1.217038205,0.276463762,117.9383921,-4.402161769,2.37E-05,0.000698578,DOWN,ARHGEF38
KCNS3,-1.308329095,0.296227563,105.9253274,-4.416635247,2.43E-05,0.000705624,DOWN,KCNS3
NPDC1,-1.138480828,0.258789016,103.0544719,-4.399262554,2.65E-05,0.000760163,DOWN,NPDC1
ARHGAP39,-1.104027953,0.25371591,116.3828646,-4.351433669,2.92E-05,0.00080282,DOWN,ARHGAP39
NEDD4L,-1.149634338,0.264717529,116.7630895,-4.342871979,3.01E-05,0.000820551,DOWN,NEDD4L
IFT27,-1.189730369,0.27449405,112.8886541,-4.334266517,3.19E-05,0.000851827,DOWN,IFT27
PLPPR2,-1.027527045,0.22704053,51.78124165,-4.525742815,3.55E-05,0.000937462,DOWN,PLPPR2
