Immune Brain,Immune Breast,Immune Lung,Tumor Brain,Tumor Breast,Tumor Lung
A2M,A2M,A2M,A2M,A2M,A2M
APOE,ACAT1,ACADM,ACADM,ACADM,ACADM
ASS1,ADA,ACAT1,PSEN1,ACADS,ACAT1
SERPING1,APOE,APOE,AGL,ACAT1,APOE
C3,ASS1,ASL,APOE,PSEN1,ASL
CDK4,ATM,ASS1,ASL,AGL,ASS1
CLN3,BTK,BTD,ASS1,ABCD1,BTD
COL1A1,SERPING1,CBS,C3,APC,CBS
COL1A2,C3,CDK4,CDK4,APOE,CDK4
COL5A1,CD40LG,ERCC8,LYST,ASS1,ERCC8
CP,CDK4,CLN3,CLN3,ATP7B,CLN3
CST3,LYST,COL1A1,COL1A1,BLM,COL1A1
CSTB,COL1A1,COL1A2,COL1A2,BRCA2,COL1A2
CYP1B1,COL1A2,COL5A1,COL5A1,SERPING1,COL5A1
SLC26A2,COL5A1,CST3,CP,C3,CST3
EMD,COMP,CSTB,CST3,CA2,CSTB
EPHX1,CST3,DLD,CSTB,CBS,DLD
F13A1,CSTB,TOR1A,DLD,CDK4,TOR1A
FAH,CYP1B1,EMD,SLC26A2,CDKN1C,EMD
FH,DLD,EPHX1,TOR1A,LYST,EPHX1
GPI,EMD,EXT1,EMD,CLN3,EXT1
GSN,ERCC5,FAH,EPHX1,COL1A1,FAH
GSS,F13A1,FH,ERCC5,COL1A2,FH
GUSB,FH,GALC,ESR1,COL5A1,GALC
HADHA,FUCA1,GALK1,FAH,CP,GALK1
HADHB,GALK1,GALT,FH,CST3,GALT
HK1,GALT,GCH1,GALK1,CSTB,GCH1
HPS1,GCH1,GK,GLI3,CYP1B1,GK
IDS,GJA1,GPI,GPI,DLD,GPI
IL2RG,GPI,GSS,GSN,SLC26A2,GSS
INSR,GSN,MSH6,GSS,TOR1A,MSH6
ITGA6,GUSB,GUSB,MSH6,EMD,GUSB
ITGB2,HADHA,HADHA,GUSB,EPHX1,HADHA
KRT18,HADHB,HADHB,HADHA,ERCC5,HADHB
LIPA,HK1,HGD,HADHB,EXT1,HGD
LYZ,HK2,HK1,HK1,FANCA,HK1
NF1,HPS1,HK2,HK2,FAH,HK2
PNP,HSD17B3,HPRT1,HPRT1,FGFR2,HPRT1
OAT,ICAM1,HSD17B3,HPS1,FH,HSD17B3
PCBD1,IDS,IDS,HSD17B3,GALK1,IDS
PGK1,IL2RG,INSR,IDS,GBE1,INSR
SERPINA1,INSR,ITGB2,IDUA,GK,ITGB2
PLOD1,ITGA6,KRT12,INSR,GLI3,KRT12
PMP22,ITGB2,KRT18,ITGA6,GPI,KRT18
PON2,JAG1,SGCB,KRT12,GSN,SGCB
PRNP,JAK3,LIPA,KRT18,GSS,LIPA
PROS1,KRT12,LYZ,SGCB,MSH6,LYZ
QDPR,KRT18,MLH1,LIG1,GUSB,MLH1
ATXN1,LIPA,MSH2,MLH1,HADHA,MSH2
SMN1,LYZ,MTR,MSH2,HADHB,MTR
TCN2,MLH1,MMUT,MTR,HK1,MMUT
TIMP3,MTR,NF1,NF1,HK2,NF1
TPI1,MYO5A,PNP,PNP,HPRT1,PNP
TPM1,PTCH1,OAT,OAT,HPS1,OAT
CDKN1A,NCF1,OCA2,OCRL,HSD17B3,OCA2
TPP1,NF1,OCRL,PCBD1,ICAM1,OCRL
COL5A2,PNP,PCBD1,PCCA,IDS,PCBD1
CYBB,PGK1,PDHA1,PDHA1,INSR,PDHA1
CYB5R3,PHKA2,PEX6,PGK1,ITGA6,PEX6
G6PD,SERPINA1,PEX7,PHKA2,JAG1,PEX7
GM2A,PLOD1,PFKM,PHKB,KRT12,PFKM
HSD17B4,PMM2,PGK1,PHKG2,KRT18,PGK1
IFNGR1,PMP22,PHKB,SERPINA1,SGCB,PHKB
IL2RA,PRNP,PHKG2,PLOD1,LIG1,PHKG2
LAMA2,PEX2,SERPINA1,PMM2,LYZ,SERPINA1
LTBP2,RB1,PKD2,PON2,MLH1,PKD2
PAFAH1B1,ATXN1,PLOD1,PRNP,MSH2,PLOD1
NEU1,SMN1,PMM2,PTS,MTR,PMM2
NOTCH3,TCN2,PON2,PEX2,MMUT,PON2
PLEC,TIMP3,PTS,QDPR,NAGA,PTS
RFX5,TPI1,PEX2,ATXN1,NF1,PEX2
STK11,TPM1,QDPR,SMN1,PNP,QDPR
AK1,TPMT,ATXN1,TIMP3,NPC1,ATXN1
APP,UROS,SLC3A1,TPI1,OAT,SLC3A1
APRT,WAS,SMN1,TPM1,OCRL,SMN1
ATRX,CDKN1A,TCOF1,TPMT,PAX6,TCOF1
C1QB,TPP1,TIMP3,UROS,PCBD1,TIMP3
FBP1,COL5A2,TPI1,CDKN1A,PCCA,TPI1
HEXA,CSF2RB,TPM1,TPP1,PDE6B,TPM1
HEXB,CTSK,TPMT,CYB5R3,PDHA1,TPMT
LDLR,CYBB,TSC1,G6PD,PEPD,TSC1
TSC2,CYB5R3,UROS,GM2A,PEX6,UROS
VHL,EGR2,XPA,HLCS,PGK1,XPA
VWF,G6PD,CDKN1A,HSD17B4,PHKB,CDKN1A
FCGR3A,GM2A,TPP1,IFNGR1,PHKG2,TPP1
CD55,HSD17B4,COL5A2,PAFAH1B1,SERPINA1,COL5A2
GPX1,IFNGR1,CTSK,NEU1,PKD2,CTSK
C7,IL2RA,CYBB,NOTCH3,PKP1,CYBB
CD14,LTBP2,ERCC2,OXCT1,PLOD1,ERCC2
TAP1,PAFAH1B1,G6PD,PLEC,PMM2,G6PD
IGFBP2,NEU1,GM2A,PSEN2,PMP22,GM2A
IGFBP3,NOTCH3,HLCS,RFX5,PON2,HLCS
SERPINE1,PLEC,HSD17B4,STK11,PRNP,HSD17B4
ORM2,RFX5,IFNGR1,UBE3A,PROS1,IFNGR1
CD59,STK11,PAFAH1B1,BARD1,PTS,PAFAH1B1
IGF2,AK1,NEU1,AK1,PEX2,NEU1
CD4,APP,NOTCH3,APP,QDPR,NOTCH3
SLC11A2,APRT,OXCT1,APRT,RB1,OXCT1
IFNAR1,ATRX,PAFAH2,ATRX,PITX2,PAFAH2
RFX2,C1QB,PLEC,C1QB,RLBP1,PLEC
SOD2,HEXA,PSEN2,COL4A5,ATXN1,PSEN2
GSR,HEXB,RFX5,F12,SGCD,RFX5
TGFB1,LDLR,STK11,FBP1,SLC5A1,STK11
RPL9,VHL,UBE3A,GALNS,SMN1,UBE3A
ADH5,VWF,BARD1,HEXA,TCOF1,BARD1
ALDH2,FCGR1A,AK1,HEXB,TIMP3,AK1
ALDH3B2,FCGR3A,APP,LDLR,TPI1,APP
ALDH9A1,CD55,APRT,PCCB,TPM1,APRT
ANXA1,CCR5,ATRX,PMS1,TPMT,ATRX
ATP1A1,GPX1,C1QB,TSC2,UROS,C1QB
ATP1A2,CD14,F12,VHL,VDR,F12
BLVRA,TAP1,HEXA,FCGR3A,WAS,HEXA
TSPO,IGFBP2,HEXB,CD55,CDKN1A,HEXB
CACNB3,IGFBP3,LDLR,GPX1,TPP1,LDLR
CSF3R,SERPINE1,PCCB,TAP1,COL5A2,PCCB
DCK,ORM2,PMS1,IGFBP2,CTSK,PMS1
