Gene,Contrast,Estimate,Pr(>|t|),FDR
CXCR4,Brain - Breast,-1.649786553,1.64E-10,1.17E-06
PRMT8,Brain - Breast,-1.170301786,4.58E-10,1.64E-06
RPL26,Brain - Breast,-1.151525046,2.92E-09,6.97E-06
NACA,Brain - Breast,-1.113133216,8.15E-09,1.46E-05
RPL14,Brain - Breast,-0.885030889,1.17E-08,1.68E-05
RPL21,Brain - Breast,-0.911872117,1.93E-08,2.31E-05
RPS26,Brain - Breast,-1.220994426,2.70E-08,2.76E-05
RPL4,Brain - Breast,-1.215850016,3.11E-08,2.78E-05
IGFBP2,Brain - Breast,3.954208708,3.69E-08,2.93E-05
RPL34,Brain - Breast,-0.940085031,4.32E-08,3.09E-05
RPS29,Brain - Breast,-0.966962665,7.32E-08,4.08E-05
B2M,Brain - Breast,-1.554983904,7.41E-08,4.08E-05
RPS15A,Brain - Breast,-1.046550545,6.67E-08,4.08E-05
RPL32,Brain - Breast,-0.918244395,1.03E-07,5.27E-05
RPS23,Brain - Breast,-0.857289495,1.89E-07,9.03E-05
RPL39,Brain - Breast,-0.949063431,2.39E-07,0.000106823
RPL17,Brain - Breast,-0.809498939,3.29E-07,0.000138401
RPLP1,Brain - Breast,-0.952427102,5.71E-07,0.000227075
RPS9,Brain - Breast,-1.016532454,7.17E-07,0.000256595
RPS14,Brain - Breast,-1.019182017,6.82E-07,0.000256595
ZFP36L1,Brain - Breast,-1.170116444,9.70E-07,0.000325592
DUX4,Brain - Breast,-0.707574146,1.00E-06,0.000325592
HLA-DPA1,Brain - Breast,-1.966350024,1.30E-06,0.000405685
RPLP2,Brain - Breast,-0.761859965,1.70E-06,0.000508229
RPL19,Brain - Breast,-0.896625781,1.92E-06,0.000550906
RPL18A,Brain - Breast,-0.968882657,2.91E-06,0.000770201
RPS24,Brain - Breast,-0.840525759,2.87E-06,0.000770201
RPS4X,Brain - Breast,-0.856215232,3.48E-06,0.00088993
RPS25,Brain - Breast,-1.00327938,4.15E-06,0.001023044
RPL30,Brain - Breast,-0.80773091,4.58E-06,0.001091995
ZFP36,Brain - Breast,-1.47339641,5.24E-06,0.001209376
RPL7A,Brain - Breast,-0.797273173,5.66E-06,0.001264537
HLA-DRB1,Brain - Breast,-1.483896915,6.01E-06,0.001302645
RPS3A,Brain - Breast,-0.839485871,6.34E-06,0.001310735
RPS27,Brain - Breast,-0.842594892,6.41E-06,0.001310735
RPL12,Brain - Breast,-0.86630805,7.99E-06,0.001503834
RPL36,Brain - Breast,-0.731402394,7.86E-06,0.001503834
HLA-B,Brain - Breast,-1.146813638,7.76E-06,0.001503834
RPL27A,Brain - Breast,-0.802835176,8.73E-06,0.001601688
COL6A1,Brain - Breast,-1.772024852,9.67E-06,0.00173017
HLA-A,Brain - Breast,-1.31723078,9.99E-06,0.001744241
MGP,Brain - Breast,1.876708717,1.03E-05,0.001752142
RPL24,Brain - Breast,-0.752890983,1.31E-05,0.00212942
RPL15,Brain - Breast,-0.673291488,1.28E-05,0.00212942
DHRS1,Brain - Breast,-0.739290204,1.46E-05,0.002310516
RPL13,Brain - Breast,-0.685817042,1.49E-05,0.002310516
DUSP1,Brain - Breast,-1.711384365,1.68E-05,0.002550568
RPS28,Brain - Breast,-0.739452278,1.80E-05,0.002681468
LAMC3,Brain - Breast,8.11477703,1.93E-05,0.002822474
TMA7,Brain - Breast,-0.524748074,2.33E-05,0.003328908
LDHA,Brain - Breast,-0.785542187,2.70E-05,0.0037862
CXCL9,Brain - Breast,-8.499811026,2.95E-05,0.003947617
TMSB4X,Brain - Breast,-1.028737358,2.98E-05,0.003947617
USP17L3,Brain - Breast,-6.211521712,2.95E-05,0.003947617
HLA-E,Brain - Breast,-1.08126778,3.19E-05,0.004145156
RPL37,Brain - Breast,-0.70660372,3.27E-05,0.004182104
RPS11,Brain - Breast,-0.637437484,3.53E-05,0.004430294
NAP1L1,Brain - Breast,-0.853661206,3.85E-05,0.004744191
RPL29,Brain - Breast,-0.728259242,4.25E-05,0.005150293
RPL9,Brain - Breast,-0.720088198,4.75E-05,0.005670256
RPL22,Brain - Breast,-0.746289135,5.32E-05,0.006245163
IGHG4,Brain - Breast,-3.328535214,6.09E-05,0.007033311
RPS12,Brain - Breast,-0.773570007,6.63E-05,0.007531653
UBA52,Brain - Breast,-0.829673913,7.41E-05,0.008289043
