"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"RNA Binding (GO:0003723)","723/1411",1.45757560241538e-142,1.45320287560813e-139,0,0,4.34395291034855,1418.69292195145,"RPL4;RPL5;RAMAC;RPL30;POP7;TES;TFRC;RPL32;RPL31;POP4;RPL34;HNRNPU;HNRNPR;ADARB1;ENO1;NOC2L;RPL8;RPL9;RPL6;RPL7;ALKBH5;PSMD4;RAVER1;PSMD2;RPL36;LUC7L;RPL35;RPL38;RPL37;RPL39;DDX17;DDX18;MBNL1;MBNL2;RPL21;SECISBP2;RPL22;FNDC3B;DICER1;FNDC3A;SND1;DDX39A;DDX39B;EWSR1;CLNS1A;ZC3H11A;SARNP;RPL24;RPL27;NUP98;RPL26;RPL29;RPL28;SLBP;PRKDC;PRKRIP1;MEPCE;NOLC1;BAZ2A;MRPL14;SNU13;MRPL10;MRPL11;MTDH;MRPL20;LARP1;S100A16;PRDX1;SERPINH1;LTA4H;BTF3;JUN;PRPF38B;RPL41;PNO1;RDX;MRPL27;EIF2AK2;MRPL28;PRRC2C;UPF3A;PA2G4;LARP4;MAGOHB;MEX3D;H1-0;H1-3;MRPL21;PRRC2B;EIF1;H1-2;MRPL22;PRRC2A;CS;DHFR;H1-5;SETX;HNRNPL;H1-4;HNRNPM;EIF5;HNRNPK;AGO1;FASN;HNRNPF;AGO2;HNRNPD;HNRNPC;CDK13;FARSA;CPEB4;ARF1;SMG1;RPLP0;CLTC;ADK;SMG7;SMG5;WDR43;MECP2;MRPL41;MRPL42;CSRP1;TMSB4X;RACK1;ANXA7;NELFCD;LRRC47;ANXA2;NSUN5;SIRT6;MRPL43;POU5F1;SRP9;ELAPOR1;GNL3;WDR33;HADHB;PSMA6;NSA2;PSMA1;CDC42EP4;TCP1;SF3B4;SF3B5;GRN;SF3B2;STAU1;AHNAK;KARS1;RPL12;SF3B6;SRRT;RPL11;USO1;RPS27L;BCLAF1;RPS15A;SRP72;PPP1R8;RPL14;RPS3;FLNA;RPL13;ZNF106;RPL15;RPS2;RPS27A;RPL18;ZNF346;SRSF10;RPL17;SF3B1;SRSF11;RPL19;SF3A2;YTHDF3;MDH2;UTP3;STAT3;SAMD4B;SRP68;TUBB4B;LRPPRC;ARCN1;KTN1;NUDT21;ZNFX1;APEX1;PSMC1;SERBP1;ZYX;RPL22L1;HSPA1A;CASC3;MSI2;PARK7;RPL10A;BZW1;EDC3;IPO5;YY1;PPP1CC;ZFP36;ZNF207;KPNA2;HMGN2;SLC16A3;EIF2S3B;RARS2;PNISR;RPS9;SUPT16H;KHNYN;RPS7;EIF1AX;RPS8;RPS5;RPS6;PRPF4B;RPSA;ILF2;ATXN2L;EBNA1BP2;ILF3;RBMXL1;NCL;FSCN1;SRSF2;NHP2;SNRPG;SRSF3;S100A4;SRSF4;ERH;SRSF5;SNRPF;SREK1;SNRNP200;SRSF6;FKBP4;SRSF7;FKBP3;KPNB1;SNRPA;SRSF9;SNRPB;ANKRD17;KHDRBS1;LRRC59;KMT2C;IREB2;MAZ;ISG20L2;UBFD1;HSP90B1;RCC1L;STIP1;ATXN2;HNRNPDL;G3BP1;TPR;G3BP2;BRIX1;KHDC4;TIA1;CHTOP;RBPMS;API5;FUS;GOT2;LSM1;PYM1;LSM4;QKI;LSM3;LSM2;CNOT4;LSM7;GNL3L;SON;CNOT1;RCAN3;EIF4G3;NOP10;EIF4G2;EIF4G1;DIDO1;HSP90AB1;CELF1;CCDC47;PTEN;H1-10;MRPL4;MRPL3;NGRN;PTBP1;RPL7A;SART1;SART3;SUMO1;SNRNP70;SUMO2;UBTF;ZNF768;DGCR8;MRPL9;TNPO1;DSP;EIF5A;HSP90AA1;RPL13A;EDF1;RANGAP1;SMC1A;TSN;PTBP3;SARS1;PKM;NEMF;SYF2;ESRP2;ZNF638;ESRP1;RPL37A;ETF1;SNRPA1;TOP1;SLC25A5;EIF4E2;NSRP1;SLC25A11;TRIM56;HDAC2;LRP1;NUFIP2;SRF;SRSF1;U2AF1;HSD17B10;REPIN1;GANAB;POLR2A;PUF60;U2AF2;EIF4H;SAP18;ASCC3;HNRNPA1;EIF4E;EIF4B;DCAF13;HNRNPA0;NOP56;DUT;HNRNPA3;NOP58;SSB;CNBP;CCDC59;RPL35A;RPL23A;HNRNPAB;TPD52L2;ASS1;SNRNP40;EIF3L;EIF3I;EIF3G;EIF3H;EIF3E;P4HB;EIF3C;EIF3D;NOP53;SHFL;PPIL4;TNRC6A;EIF3B;METAP2;EIF4A2;EIF4A1;RTCA;FCF1;NUDT5;IFIT1;CRKL;UBE2L3;RPS15;TIAL1;LGALS3;PNN;RPS14;RPS17;LGALS1;RPS16;SNRPD2;TRIM28;RPL18A;RPS19;SNRPD1;RPL36AL;RPS18;PEG10;MAGOH;LONP1;ARL6IP4;CPNE3;DENR;UBAP2L;SNRPD3;RPS11;RPS10;RPS13;SEC63;AGFG1;TNS1;SRRM2;SCAF11;ACTN1;METTL3;CIRBP;ACTN4;CSNK1E;HLA-A;SRRM1;DHX40;XRN1;SUB1;XRN2;FLYWCH2;EZR;PFN1;EIF1B;MACF1;AARS1;ANP32A;DHX9;CSTF3;TXN;HNRNPLL;GSPT1;FXR1;C7ORF50;PCBP1;DHX36;ERI3;HLTF;PCBP2;CSTF1;MAP4;RBM12;SPTBN1;SRPK2;XRCC6;H4C9;ZRANB2;XRCC5;RCC2;KNOP1;PUM1;PARP12;MANF;PUM2;SRPK1;AIMP1;BST2;CCT6A;RPS26;RPS25;RPS28;SNW1;RPS27;EPRS1;FUBP3;RPL27A;FUBP1;GOLGB1;SPATS2L;GRB2;RNPS1;RPS20;CALR;ALDH18A1;RPS21;SUGP2;RPS24;RPS23;TOP2A;MRPS15;DAZAP1;HNRNPCL3;PPP1R10;CCDC124;GDI2;SYNCRIP;PCF11;C1QBP;DHX15;SEC61B;CCT3;MRPS26;MRPS24;PARP1;PRMT1;PABPC4;STRBP;ZFR;MRPS21;PRPF40A;MRPS5;UCHL5;NME1;HNRNPH1;CSDE1;CANX;RBM12B;STRAP;ARHGEF1;FAM32A;PABPC1;HNRNPH3;ALDOA;MAPRE1;FYTTD1;CSTB;IGHMBP2;NOL7;MRPS30;AKAP1;PURB;EXOSC6;ATP5F1A;RBM15B;CTNNA1;EXOSC3;EXOSC1;CCT4;RTRAF;TSNAX;DYNC1H1;NQO1;NPM1;HUWE1;ATP5F1C;APTX;RSL1D1;KRT18;XPOT;HNRNPA2B1;HDGF;FAU;TARDBP;OTUD4;KDM1A;BCCIP;HDLBP;PEBP1;NUCKS1;SRP14;FBL;KHSRP;CHCHD1;CAST;PDIA3;PCID2;ANXA11;WBP11;PDIA4;TUFM;PRPF6;HNRNPUL1;DKC1;HNRNPUL2;PSPC1;PRPF3;RPL7L1;SBDS;MATR3;PPIB;PPIA;DAP3;DDX6;DDX5;VCP;DDX4;RBM8A;RPS19BP1;YTHDC1;DDX1;YTHDC2;SUPT6H;RTN4;ZFP36L2;ZFP36L1;DNAJC21;TASOR;LLPH;NDUFV3;ZC3H13;ZC3H14;MARK2;ZC3H15;HSPA9;FDPS;HSPA8;CPSF7;UBE2I;CPSF6;CCDC137;ALYREF;NONO;CPSF2;HMGA1;MSN;HELZ;CWC15;TBCA;SUPT5H;EIF2S2;EIF2S1;ANKHD1;EIF2S3;CAPRIN1;MKRN1;UBE2N;SRPRA;UBA1;LSM14B;GRSF1;LSM14A;ZCCHC3;YWHAE;RBM25;DDX3X;RBM26;DDX46;DDX47;DDX42;HMGB2;PSIP1;HSPB1;ADAR;CHD3;HMGB1;YBX1;CHD2;ELAVL1;YBX3;RBM3;RPS4X;RBM4;ZC3H7A;ZC3H7B;BUD23;LRRFIP1;YWHAG;ZNF385A;RBM5;RBM6;TSFM;RBM14;NCBP1;NCBP2;DDX54;RPS3A;SAFB;DDX50;UTP18;YWHAZ;DARS1;CKAP4;SFPQ;THRAP3;OAS3;LUC7L3;MYH9;RBMS1;LUC7L2;RBMS2;PLEC;RBM47;DDX27;POLDIP3;USP10;PARN;DDX21;RRBP1;SLC3A2;ADD1;HSPD1;SELENOH;TBRG4;NXF1;PABPN1;TRA2B;TRA2A;FAM120A;RALY;RBM38;PTCD3;RBM39;TAF15;NIFK;PDAP1;NAP1L1;SSRP1;DEK;HSPE1;U2SURP;NAP1L4;TNIP1;ACIN1;RBM42;FAM98A;NAA15;SLIRP;VIM;SSBP1;RBMX;RAN;FAM50A;R3HDM2"
"Cadherin Binding (GO:0045296)","200/319",7.1775570570661e-57,3.57801219294745e-54,0,0,6.30130430550599,814.609880583801,"TES;RPL34;ENO1;F11R;FNBP1L;RPL6;CRKL;GOLGA2;GOLGA3;PCMT1;MPRIP;BSG;ARFIP2;TMPO;ACVR1;MRTFB;CSNK1D;SCRIB;SND1;SHTN1;RPL24;TAGLN2;EZR;PFN1;RPL29;TLN1;MACF1;PDXDC1;TWF1;IQGAP1;LDHA;SNX1;LARP1;SNX2;PCBP1;PRDX1;H3C1;SNX9;ARGLU1;S100A11;SNX5;SPTBN1;VASP;JUP;RDX;PARVA;PAICS;PRDX6;EHD1;RPS26;EHD4;EIF5;HNRNPK;FASN;GIPC1;FXYD5;LAD1;ARHGAP1;OLA1;PTPRJ;CLINT1;RACK1;TNKS1BP1;CLIC1;EMD;SPTAN1;LYPLA2;NUDC;ANXA1;DBNL;ANXA2;GPRC5A;CTTN;CDC42EP1;EXOC3;PLIN3;ALDOA;CD46;MAPRE1;AHNAK;USO1;CAPG;PSMB6;LIMA1;EPCAM;CTNNA1;RPL14;FLNA;CCT8;RPL15;RPS2;EPS15;PAK2;YKT6;PAK4;RANBP1;SEPTIN2;STAT1;SEPTIN9;SEPTIN7;KTN1;PPP1CA;RAB11B;TJP1;RSL1D1;KRT18;CAPZA1;SERBP1;CTNNB1;ESYT2;HSPA1A;CTNND2;CTNND1;HDLBP;PARK7;BZW2;BZW1;CDH1;KIF5B;SH3GL1;CAST;SH3GLB1;SH3GLB2;IST1;TMOD3;ATXN2L;FSCN1;CHMP4A;PKP4;VCL;DDX6;LRRC59;NOTCH3;UBFD1;NDRG1;RTN4;CNN3;CNN2;SLC9A3R2;KLC2;CALD1;COBLL1;PACSIN2;MARK2;ZC3H15;HSPA8;NIBAN2;HSPA5;EIF2S1;DLG1;EIF2S3;STK24;CHMP2B;PI4KA;EIF4G2;PICALM;ITGB1;YWHAE;BMPR2;DDX3X;HSP90AB1;DOCK9;YWHAB;H1-10;RPL7A;LASP1;CAPZB;LRRFIP1;RANGAP1;YWHAZ;EEF1G;PKM;EEF1D;MYH9;ITGA6;CHMP5;PLEC;RAB1A;SLC3A2;ADD1;PDLIM1;DNAJB1;PUF60;EIF4H;EPS8L2;PDLIM5;WASF2;NOP56;PTPN11;RPL23A;RAB10;CCS;MYO1B;FMNL2;P2RX4;VAPA;GLOD4;EIF3E;S100P;RAN"
"mRNA Binding (GO:0003729)","150/282",2.61815506037028e-31,8.70100198396391e-29,0,0,4.2062253435644,296.192579728023,"EIF4A1;RPL5;HDLBP;HNRNPU;HNRNPR;ADARB1;MSI2;PARK7;RPL7;EDC3;TIAL1;RPS14;ZFP36;PEG10;KHSRP;LUC7L;RPL35;DENR;RPS13;DDX17;SRRM2;KHNYN;RPS7;SECISBP2;RPS5;METTL3;CIRBP;RNF40;ATXN2L;NCL;RPL24;NUP98;RPL26;SRSF7;SLBP;DDX6;KHDRBS1;DDX5;RBM8A;DHX9;SHMT2;YTHDC1;CSTF3;IREB2;HNRNPLL;ZFP36L1;FXR1;ATXN2;LARP1;PCBP1;DHX36;PCBP2;G3BP1;TPR;G3BP2;RPL41;CHTOP;CPSF7;TIA1;CPSF6;RBPMS;ALYREF;UPF3A;LARP4;PUM1;EIF2S2;SUPT5H;EIF2S1;QKI;PUM2;DHFR;HNRNPL;RPS26;HNRNPM;HNRNPK;FUBP3;FUBP1;CAPRIN1;AGO2;RNPS1;CALR;HNRNPC;GRSF1;LSM14B;EIF4G3;LSM14A;EIF4G2;CPEB4;EIF4G1;DAZAP1;RBM25;DDX3X;CELF1;ELAVL1;YBX3;SYNCRIP;PTBP1;RBM4;PCF11;SNRNP70;C1QBP;RBM5;ZNF385A;NCBP1;NCBP2;PABPC4;RPL13A;RPS3A;GNL3;PTBP3;PKM;ESRP2;ESRP1;ZNF638;LUC7L3;RBMS1;ETF1;PABPC1;NSRP1;LUC7L2;RBMS2;FYTTD1;RBM47;POLDIP3;SF3B6;SRSF1;PARN;PURB;RBM15B;TRA2B;PPP1R8;RPS3;RPS2;SF3B1;CCT5;SSB;YTHDF3;CNBP;SAMD4B;HNRNPAB;LRPPRC;NUDT21;RSL1D1;HNRNPA2B1;SERBP1;RBM42;TARDBP;EIF3D;RBMX;SHFL"
"Ubiquitin-Like Protein Ligase Binding (GO:0044389)","134/289",6.75643467919189e-21,1.68404134378858e-18,0,0,3.18310321048196,147.835382200712,"RPL5;UBE2D2;UBE2D3;UBE2L6;AUP1;CASC3;CLU;UBE2L3;LAPTM4B;TRIM28;PSMD1;PRKACA;WASHC1;CDK5RAP3;GABARAPL2;DAXX;ARRDC1;RNF40;RBX1;PRKAR1A;HGS;UQCRC1;TXNIP;TRIB1;UBA52;SQSTM1;BLZF1;VCL;VCP;TSG101;CUL3;RHOBTB3;HIF1A;GABARAP;RTN4;UBE2J1;BAG5;UBB;DDRGK1;HLTF;PCBP2;SNX9;HSPA9;SMAD2;HSPA8;JUN;CHKB;HSPA5;UBE2B;XRCC5;UBE2C;NEK6;TNK2;ISG15;PA2G4;UBE2A;PRDX6;SMAD5;SMAD7;NFKBIA;NPLOC4;UBE2T;UBE2N;CALR;UBE2K;YWHAE;DAZAP2;GPI;CDKN1A;CDKN1B;UBXN1;HSP90AB1;ARRB2;SMG5;MAP1LC3B;SUMO1;SUMO3;SUMO2;UBXN7;ELOB;ARIH1;DNM1L;JAK1;CCT2;HSP90AA1;TPI1;DTX3L;PARP9;YWHAZ;POU5F1;PSMA3;TRAF4;TCP1;NDUFS2;SPOPL;TMBIM6;EIF4E2;SLC25A5;ATP6V0C;OTUB1;RNF31;BECN1;RALA;HM13;RPL11;DERL1;CXCR4;NEDD8;RELA;HSPD1;ERBB3;POLR2A;ZNF746;RPS27A;RPL17;H2BC9;USP25;SLF2;STAT1;STAT2;LAPTM5;UBE2G1;LRPPRC;SKI;CUL4A;DNAJA1;ITCH;SYT11;JKAMP;CTNNB1;STUB1;LTBR;HSPA1A;CUL4B"
"Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453)","44/54",1.25593048339386e-20,2.50432538388736e-18,0,0,16.0098604651163,733.633046485025,"NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFA12;NDUFB5;COX4I1;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;UQCR10;COX5B;COX7C;COX5A;NDUFV3;NDUFV2;NDUFV1;COX8A;NDUFA9;CYB5A;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;CYBRD1;NDUFC1;UQCRHL;COX6B1;COX7A2L;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2"
"Ubiquitin Protein Ligase Binding (GO:0031625)","123/271",2.31972560532177e-18,3.85461071417635e-16,0,0,3.05340094892334,123.983598257296,"RPL5;UBE2D2;UBE2D3;UBE2L6;AUP1;CASC3;CLU;UBE2L3;LAPTM4B;TRIM28;PSMD1;PRKACA;WASHC1;GABARAPL2;DAXX;ARRDC1;RNF40;RBX1;PRKAR1A;UQCRC1;TXNIP;TRIB1;UBA52;SQSTM1;BLZF1;VCL;VCP;TSG101;CUL3;RHOBTB3;HIF1A;GABARAP;RTN4;UBE2J1;BAG5;UBB;HLTF;PCBP2;SNX9;HSPA9;SMAD2;HSPA8;JUN;CHKB;HSPA5;UBE2B;XRCC5;NEK6;TNK2;ISG15;PA2G4;UBE2A;PRDX6;SMAD5;SMAD7;NFKBIA;NPLOC4;UBE2T;UBE2N;CALR;UBE2K;YWHAE;DAZAP2;GPI;CDKN1A;CDKN1B;UBXN1;HSP90AB1;ARRB2;SMG5;MAP1LC3B;SUMO1;SUMO2;UBXN7;ELOB;ARIH1;DNM1L;JAK1;CCT2;HSP90AA1;TPI1;YWHAZ;POU5F1;PSMA3;TRAF4;TCP1;NDUFS2;SPOPL;TMBIM6;EIF4E2;SLC25A5;ATP6V0C;OTUB1;RNF31;BECN1;RALA;HM13;RPL11;DERL1;CXCR4;NEDD8;RELA;HSPD1;ERBB3;POLR2A;ZNF746;RPS27A;RPL17;USP25;SLF2;LAPTM5;UBE2G1;LRPPRC;SKI;CUL4A;DNAJA1;SYT11;JKAMP;CTNNB1;STUB1;LTBR;HSPA1A;CUL4B"
"NADH Dehydrogenase (Quinone) Activity (GO:0050136)","30/34",2.14003424076119e-16,3.04802019719843e-14,0,0,27.21140472879,981.802167484501,"NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NQO1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFC1;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2"
"NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137)","29/33",8.74867276652713e-16,1.09030334352844e-13,0,0,26.2982618771727,911.825419406064,"NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFC1;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2"
"Chromatin DNA Binding (GO:0031490)","49/83",1.82440113517225e-13,2.02103103529637e-11,0,0,5.24192289255632,153.757940131233,"SMARCB1;HNRNPU;JMJD1C;CHD4;H1-10;RUVBL2;EP300;H3-3A;KDM6A;SMARCC1;SMARCC2;ACTL6A;ATRX;SIRT6;ACTN4;TOX4;HDAC2;KDM3B;DHX9;WBP2;FOXO3;MACROH2A1;RELA;REPIN1;SBNO1;SBNO2;RBBP4;HSF1;MTA2;H2AZ1;MBD3;SMARCE1;SUZ12;CREBBP;MBD2;STAT3;GRHL2;H1-0;GATAD2B;H1-3;H1-2;SMARCA4;H1-5;H1-4;H1-7;APEX1;POLE3;HNRNPC;EZH2"
"DNA Binding (GO:0003677)","272/846",4.33505289630018e-13,4.32204773761128e-11,0,0,1.75512551083973,49.9629339571256,"APP;SMARCB1;ZNF292;JMJD1C;HNRNPU;RBPJ;RPL6;RPL7;ELK4;RPS15;H2AC12;H2AC13;TRIM28;MYC;SPATA24;LONP1;JUNB;HES7;MEF2A;SECISBP2;ZNF281;TINF2;DNTTIP1;RFX2;ACTN4;XRN1;SUB1;RFX5;HOXB2;ATF5;ATF6;CGGBP1;ATF4;DHX9;EPAS1;PRKDC;RTF2;GATA3;ZBTB4;HIF1A;PCBP1;DHX36;PCBP2;ZBTB7A;ZNF146;EGR1;CREBBP;JUN;XBP1;XRCC6;H4C9;ZNF140;XRCC5;NR2F1;SMARCA5;NFATC2;NR2F2;H1-0;SMARCA2;H1-3;PBX1;H1-2;NR2F6;SMARCA4;H1-5;SETX;H1-4;H1-7;RPS27;FUBP3;TDP2;H2AC20;FUBP1;H2AC21;CALR;EZH2;H2AX;TOP2A;SERPINA3;CSRNP2;FEN1;FBH1;MRPL36;MECP2;ZMYM4;MLX;SREBF1;PARP1;NME2;SIRT6;POU5F1;DDB1;TOX4;H2AJ;RAD51C;DNASE1L1;PCNA;SRRT;IGHMBP2;CENPB;RELA;UNG;PURB;BCLAF1;RXRA;CHRAC1;CUX1;HSF1;RPS3;DEDD;SPDEF;MBD3;H2BC9;TSNAX;SUZ12;H2BC8;CENPX;NFYA;STAT1;NR1H2;NFYC;STAT3;HUWE1;NR1H3;APTX;GRHL2;NFIB;APEX1;RPA3;TARDBP;FOXA1;DCLRE1C;MPG;POGK;PRDM2;NUCKS1;AHR;PARK7;ETS2;YY1;CHCHD2;RUVBL2;EP300;BANF1;NBN;HMGN1;EOMES;PCID2;H2AC8;H2AC6;KDM2B;H2AC7;APLP2;ARID5B;ZBTB33;WBP11;ILF2;ILF3;KAT6A;FSCN1;ERF;NUPR1;SNRPA;GLYR1;KHDRBS1;TSG101;CBFB;MAX;PDS5B;FOXO3;MACROH2A1;SBNO1;SBNO2;CAMTA1;ZNF787;BPTF;TFAP2A;SMAD2;SMAD4;CBX1;HMGA1;DRAP1;CDK9;CAMSAP3;NR4A1;ZCCHC3;CREBZF;KDM5A;KDM5B;CALCOCO1;RNF11;DDX3X;CHD7;HP1BP3;CHD6;HMGB2;CHD4;CHD3;HMGB1;YBX1;CHD2;CHD1;H1-10;PTBP1;ZIC3;H2BC21;SNAPC4;GET1;LRRFIP1;RBM5;KDM6A;RBM6;NCBP2;ATRX;DNMT3A;RAD23A;SMC1A;ARID1A;SAFB;RAD23B;H2BC17;TSN;H2BC13;H2BC14;SFPQ;H2BC15;IRF3;THRAP3;ZNF638;IRF1;H2BC11;IRF7;MCM3;RBMS1;MCM5;DNASE2;TOP1;MCM6;ZMYND11;GTF3C1;GTF3C2;CEBPB;HDAC2;KDM3B;GTF3C6;WBP2;CEBPG;CXXC5;RNF4;NR2C2;BARX2;HSPD1;REPIN1;POLR2A;TDG;HES1;E2F4;POLR2H;HNRNPA1;H2AZ1;H2AZ2;SSB;CNBP;FOXJ3;USF2;KLF2;IMPDH1;ERCC1;POLE3;QRICH1;SSBP1;CUL4B"
