"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Phagocytosis (GO:0006909)","12/69",2.95859235662633e-11,5.76629650306471e-08,0,0,18.3558453656265,445.014019882007,"MSR1;CD93;BIN2;AXL;ITGB2;TREM2;CD302;CD14;GAS6;MERTK;CORO1A;TGM2"
"Regulation Of Angiogenesis (GO:0045765)","17/205",4.23973095792119e-10,4.1316178184942e-07,0,0,8.00900163666121,172.845076409647,"SERPINF1;PTPRM;CXCL13;THBS2;HSPG2;ETS1;DCN;AQP1;CLDN5;CDH5;SFRP2;RGCC;ADAMTS1;STAB1;ITGAX;CYP1B1;EMILIN2"
"Hemopoiesis (GO:0030097)","12/101",2.86151539878386e-09,1.79056000394858e-06,0,0,11.7368996718703,230.887286754738,"CSF1R;PINK1;SFRP2;TGFB1;PTPRC;IFI16;NOTCH4;ZBTB16;PLEK;IL7R;EVI2B;TGFBR2"
"Inflammatory Response (GO:0006954)","17/236",3.67482812508688e-09,1.79056000394858e-06,0,0,6.86441868633649,133.319088655264,"CSF1R;CXCL9;TGFB1;C5AR1;ITGB2;CYBB;CXCL13;ITGAL;HSPG2;CCL5;IL2RA;C3AR1;CCL2;CD14;TNFRSF4;TLR2;APOL2"
"Integrin-Mediated Signaling Pathway (GO:0007229)","11/85",5.28966449333482e-09,2.06191121950191e-06,0,0,12.8924872008572,245.698716852655,"DAB2;FYB1;ITGA4;ADAMTS1;ITGB2;PLEK;ITGA1;ITGAX;THY1;ITGAL;FERMT3"
"Endocytosis (GO:0006897)","15/189",8.46633004930394e-09,2.75014621101556e-06,0,0,7.57229008813979,140.747433391864,"MSR1;CD93;IL10RA;ITGB2;MERTK;HSPG2;CORO1A;DAB2;AXL;DPYSL2;MRC1;STAB1;CD14;CD302;GAS6"
"Positive Regulation Of Phosphorylation (GO:0042327)","16/231",1.86893165835733e-08,4.76852091155256e-06,0,0,6.5525246176409,116.604231635425,"PDGFRB;CSF1R;TGFB1;IGF2;AKR1B1;TREM2;MERTK;DAB2;CD4;PINK1;CCND2;AXL;CCL5;NCKAP1L;GAS6;ENG"
"Positive Regulation Of Intracellular Signal Transduction (GO:1902533)","24/525",1.95732002526529e-08,4.76852091155256e-06,0,0,4.31160109687168,76.5270586049324,"PDGFRB;TGFB1;VWF;UNC5B;IGF2;TREM2;DCN;DAB2;CD4;PINK1;PTPRC;CASP10;AXL;CLEC7A;CCL5;HCLS1;PIM2;GAS6;PIK3AP1;TRIM22;ENG;TLR2;APOL2;TGM2"
"Regulation Of Phagocytosis (GO:0050764)","9/58",2.63789214279545e-08,5.71250198478703e-06,0,0,15.8111576508333,275.915777932039,"PTPRC;CLEC7A;TREM2;DOCK2;GAS6;IL2RG;MERTK;TGM2;TLR2"
"Negative Regulation Of Cytokine Production (GO:0001818)","14/178",3.01410092537747e-08,5.87448270356068e-06,0,0,7.46875,129.339175592153,"SRGN;TREM2;ADCY7;LILRB4;LGALS9C;VSIR;PTPRC;RGCC;AXL;NCKAP1L;VSIG4;XAF1;GAS6;HAVCR2"
"Positive Regulation Of Phagocytosis (GO:0050766)","9/60",3.58715237413734e-08,6.3557817974488e-06,0,0,15.1895710249165,260.399708136021,"PTPRC;CLEC7A;CCL2;TREM2;NCKAP1L;DOCK2;GAS6;IL2RG;MERTK"
"Antigen Receptor-Mediated Signaling Pathway (GO:0050851)","12/134",7.16011046049753e-08,1.16292127395914e-05,0,0,8.54780211809082,140.629768225271,"IGHM;MEF2C;FYB1;PTPRC;THEMIS2;TRBC1;RFTN1;NCKAP1L;FYN;THY1;IGHA1;CD3E"
"Cellular Response To Lipopolysaccharide (GO:0071222)","11/124",2.79151394155379e-07,4.1851235939141e-05,0,0,8.42614323028342,127.163238058009,"MEF2C;CXCL9;TGFB1;AXL;CCL5;LY96;CCL2;CD14;CXCL13;TNFRSF1B;GBP2"
"Positive Regulation Of Cell Population Proliferation (GO:0008284)","21/483",3.60816358986355e-07,5.02307916903147e-05,0,0,4.0427314620863,59.9735036619293,"PDGFRB;CSF1R;MEF2C;TGFB1;C5AR1;IGF2;AKR1B1;LAMB1;CSF2RA;AQP1;TGFBR2;CLDN5;SFRP2;CCND2;PTPRC;CLEC7A;CCL5;ITGAX;HCLS1;GAS6;IL7R"
"Positive Regulation Of Endocytosis (GO:0045807)","9/79",4.10481831327512e-07,5.33352726171547e-05,0,0,11.0560199625702,162.589101739528,"DAB2;CLEC7A;AXL;TREM2;DOCK2;GAS6;IL2RG;MERTK;F3"
