"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Allograft Rejection","27/200",7.98370326637971e-21,3.27331833921568e-19,0,0,14.4893022491302,670.519767836297,"CXCL9;SPI1;ITGB2;WAS;THY1;CD3E;CXCL13;ITGAL;IL2RG;ETS1;CTSS;CCND2;CCL5;STAB1;CCL2;HLA-DOA;GBP2;HLA-DQA1;SRGN;FYB1;TGFB1;CD2;CD4;PTPRC;IL2RA;HCLS1;TLR2"
"KRAS Signaling Up","24/200",2.05667206855984e-17,4.21617774054768e-16,0,0,12.4804587935429,479.534888574834,"ADAMDEC1;PLVAP;CFH;TMEM176B;IL10RA;ITGB2;IGF2;F13A1;LY96;PRDM1;TNFRSF1B;TFPI;IL2RG;ETS1;CSF2RA;CTSS;CCND2;EPB41L3;C3AR1;SPARCL1;CD37;IL7R;DOCK2;ENG"
"Epithelial Mesenchymal Transition","23/200",2.55171920597007e-16,3.48734958149243e-15,0,0,11.8369465247668,425.000761035597,"PDGFRB;POSTN;NNMT;TGFB1;WIPF1;LUM;COL11A1;MMP2;HTRA1;PCOLCE;THY1;THBS2;FSTL1;DCN;ACTA2;SFRP4;GLIPR1;DAB2;CDH11;COL6A3;TGFBI;MXRA5;TGM2"
"Inflammatory Response","19/200",3.51087807749882e-12,3.59865002943629e-11,0,0,9.38568076893968,247.548784547035,"MSR1;CXCL9;CALCRL;IL10RA;C5AR1;CYBB;TNFRSF1B;F3;AXL;RGS1;GPR183;CCL5;STAB1;C3AR1;CCL2;CD48;CD14;IL7R;TLR2"
"Interferon Gamma Response","17/200",2.88573191499213e-10,1.97191680857795e-09,0,0,8.22992854140395,180.779205902975,"CXCL9;MARCHF1;CFH;C1S;C1R;IL10RA;FGL2;IFI44;SAMHD1;IFI44L;IFIT2;CCL5;EPSTI1;SERPING1;CCL2;XAF1;HLA-DQA1"
"Complement","17/200",2.88573191499213e-10,1.97191680857795e-09,0,0,8.22992854140395,180.779205902975,"C1QA;CPM;CFH;C1S;C1R;NOTCH4;PLEK;WAS;LIPA;F3;CTSS;ZEB1;CASP10;CCL5;SERPING1;FYN;CTSC"
"IL-6/JAK/STAT3 Signaling","11/87",6.79994350476419e-09,3.98282405279045e-08,0,0,12.5519360074194,236.056120974268,"CXCL9;TGFB1;ITGA4;IL2RA;CD14;CXCL13;TNFRSF1B;IL2RG;CSF2RA;IL17RA;TLR2"
"Coagulation","12/138",9.92228201034862e-08,5.08516953030367e-07,0,0,8.27475769068689,133.437896903871,"C1QA;CFH;VWF;C1S;C1R;PROS1;MMP2;PLEK;HTRA1;SERPING1;FYN;F3"
"IL-2/STAT5 Signaling","12/199",4.94618452119493e-06,2.13497289407392e-05,0,0,5.55818465761204,67.9037532524929,"CD83;CCND2;IL10RA;IL2RA;FGL2;LRRC8C;CD48;SLC2A3;TNFRSF1B;TNFRSF4;PLPP1;TGM2"
"TNF-alpha Signaling via NF-kB","12/200",5.2072509611559e-06,2.13497289407392e-05,0,0,5.52833741291659,67.2547593048513,"TNFAIP8;EGR3;CD83;GPR183;CCL5;PLEK;CCL2;SLC2A3;IL7R;F3;IFIT2;TLR2"
