"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"DNA Metabolic Process (GO:0006259)","116/288",1.1129803724691e-11,5.36011347381118e-08,0,0,2.34080923270055,59.0384733075451,"MRE11;TRRAP;FMR1;NUDT1;ALKBH3;CHEK1;RUVBL1;PCLAF;SMARCAD1;NUDT15;NFRKB;MEN1;ENDOG;LIG1;KMT5C;HUS1;LIG3;CHD1L;INIP;MSH6;CDC34;MSH2;MSH3;GRWD1;SLX1A;DNA2;EXD2;INO80B;RTEL1;INO80E;INO80D;RNASEH2A;RAD51AP1;ORC6;ZNF827;NTHL1;ORC3;ORC2;BARD1;CTC1;FANCL;FANCA;LTO1;FANCC;FAM111B;FAM111A;POLA1;POLA2;TDP1;CDK2;NABP2;RAD17;MMS19;MNAT1;RAD9A;MCM7;MCM8;HMGB3;TENT4A;EXO1;TOP1MT;POLI;POLL;POLE;POLH;POLG;RFC5;UPF1;RMI2;RFC3;PARP2;RFC2;ACTR5;TOP3A;GLRX2;TERF1;TERF2;REXO4;RAD51B;SUPV3L1;NSMCE4A;RRM2B;MCM4;DNASE1L2;MCM2;PRIM2;PRIM1;DOT1L;TYMS;RECQL4;POLD3;TBRG1;PURA;TFPT;RECQL5;CDC45;CBS;POLD1;RBBP8;MBD4;TCF7L2;RRM1;RPA1;RPA2;LRWD1;GTF2H3;GTF2H4;HINFP;TICRR;RAD52;RAD50;ERCC3;POLE2;PWWP3A;ERCC5;CENPS"
"DNA Repair (GO:0006281)","116/291",2.44152259868985e-11,5.87918641764517e-08,0,0,2.3002300489259,56.2079940062981,"MRE11;TRRAP;FMR1;NUDT1;ALKBH3;ALKBH2;KAT5;EME2;CHEK2;CHEK1;FAAP100;MEN1;PIAS4;LIG1;KMT5C;HUS1;LIG3;WRNIP1;CHD1L;INIP;MSH6;NEIL2;MSH2;FANCD2;MSH3;SLX1A;DNA2;TP53;RHNO1;EXD2;RNASEH2C;RNASEH2A;TEX264;CDCA5;RAD51AP1;VCPIP1;NTHL1;NHEJ1;BARD1;FANCI;FANCL;FANCA;XRCC1;FANCC;FANCE;FANCF;FAM111A;POLA1;PPP5C;TDP1;NABP2;RAD17;MMS19;MNAT1;RAD9A;SETD2;CETN2;TENT4A;EXO1;UIMC1;POLI;POLL;POLE;POLH;PRMT6;RFC5;UPF1;USP47;RMI2;RFC3;PARP2;RFC2;ACTR5;COMMD1;SIRT1;REXO4;RAD51B;RNF169;NSMCE4A;RRM2B;DOT1L;RNF8;FAAP20;PRIMPOL;RECQL4;POLD3;RECQL5;POLD1;RBBP8;PMS2;ASCC2;PMS1;MBD4;MGME1;RRM1;EYA3;RPA1;RPA2;GTF2H3;MLH1;GTF2H4;MLH3;HINFP;TICRR;MAD2L2;RAD52;SMUG1;RAD50;ERCC3;RFWD3;POLE2;ERCC2;PWWP3A;ERCC5;TRIP13;CENPS"
"DNA Damage Response (GO:0006974)","142/384",9.80637217056432e-11,1.57424961244793e-07,0,0,2.03932737869643,46.9971225698024,"MRE11;TRRAP;FMR1;NUDT1;SMC5;SMC6;ALKBH3;KAT5;CHEK2;HMCES;CHEK1;PCLAF;MACROD1;MTREX;FBXO5;MEN1;ARMT1;ENDOG;LIG1;KMT5C;DDX11;HUS1;UBE2E2;VRK1;CHD1L;INIP;MSH6;MSH2;MSH3;DDIT3;NUPR2;SLX1A;TP53;HDGFL2;RTEL1;DCUN1D5;STXBP4;BOD1L1;HTRA2;FBXO45;PSEN1;CDKN2AIP;NPAS2;RAD51AP1;VCPIP1;OARD1;SFN;NAE1;BARD1;MOAP1;FANCL;FANCA;FANCC;FANCF;FBXO31;FAM111A;POLA1;BCL6;TDP1;CDK3;NABP2;RAD17;MMS19;MNAT1;RAD9A;WDR48;MCM7;MCM8;PHF1;ASH2L;TENT4A;RPTOR;ING2;NIPBL;EXO1;MLST8;POLI;IKBKG;POLH;BOK;NKX3-1;VAV3;RFC5;UPF1;USP47;RMI2;SHPRH;RFC3;NCOA6;PARP2;RFC2;SIRT7;ZDHHC16;MASTL;GNL1;SIRT1;SPIDR;TOPORS;REXO4;RAD51B;RNF169;NSMCE4A;RRM2B;CRY1;MAPT;NFAT5;SPINDOC;BRAT1;DOT1L;TAF9;RNF8;FAAP20;TANK;RECQL4;RECQL5;RBBP5;POLD1;E2F1;RBBP8;RBBP6;BID;MBD4;RRM1;RPA1;GTF2H3;USP28;GTF2H4;MTOR;HINFP;TICRR;MAD2L2;ETAA1;RAD50;ERCC3;RFWD3;POLE2;SHLD2;TAOK2;SHLD1;PWWP3A;CENPS;TAF1"
"Mitotic Sister Chromatid Segregation (GO:0000070)","54/111",1.49875251490349e-09,1.67313738694578e-06,0,0,3.26694840433672,66.3799247807639,"AKAP8L;NCAPG2;KIF14;KIF11;SMC3;TENT4A;SMC2;CDC23;CHEK2;NUP62;NUSAP1;KNTC1;KMT5A;DIS3L2;OFD1;KIF23;KIF22;TUBG2;TUBG1;KNSTRN;EML3;WRAP73;PSRC1;KIF2A;KIFC1;ZW10;CHMP4C;KIF2C;SEH1L;DCTN2;CDCA5;VPS4B;VPS4A;NCAPG;NCAPH;NSL1;CCNB1;DSN1;RRS1;PIBF1;MISP;CLASP1;NCAPH2;PLK1;KLHL22;WAPL;TPX2;CENPI;PRC1;CENPK;CHMP2A;PHF13;NCAPD2;NCAPD3"
"Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)","119/319",1.73706124059985e-09,1.67313738694578e-06,0,0,2.06278370403995,41.6085567452698,"UBXN2A;FBXO27;CCNF;LTN1;CDC20;PSMD6;CDC23;KAT5;FBXO3;TRIM25;SKP2;FBXO7;NHLRC3;FBXW7;YOD1;KCTD2;KCTD5;CDC34;SELENOS;DDIT3;KCTD13;ANAPC4;PLAA;NHLRC1;CLOCK;FAM8A1;ANAPC1;RNF121;ANAPC2;PSMD12;ANAPC15;PSMD11;CUL5;CUL2;CUL1;NEDD4L;UBR3;FBXO45;UBR2;UBR1;UBE2J2;ANAPC10;RNF216;TMEM129;ANKZF1;KLHDC10;SMURF1;WFS1;SIAH1;ERLIN1;TRIP4;KLHL22;BFAR;ERLIN2;FBXO31;KLHL20;FBXL8;NSFL1C;UBE2W;RNF103;APPBP2;UBXN10;MDM2;FBXL4;FBXL6;NFE2L2;GSK3B;TRIM72;FAF1;ZFAND2A;FAF2;ZFAND2B;KIF14;ARRB1;TRIM3;APC2;AXIN1;SIRT1;TOPORS;PELI1;MAN1B1;ZNF598;RNF34;DMAC2;DERL2;AMBRA1;RNF5;USP19;PRAMEF6;FBXL20;RMND5B;FOXRED2;ZNRF1;PSMB4;FZR1;RMND5A;HECTD3;TMEM67;SPOP;ZSWIM8;DNAJB9;PRAME;ASCC2;TBL1X;DCAF11;RFFL;UBQLN2;SGTA;TMUB1;FBXL17;PEX10;WWP2;TMUB2;FBXL12;SPSB2;SPSB1;PSMC6;PSMC4;TAF1"
"Regulation Of DNA-templated Transcription (GO:0006355)","535/1922",1.10682384869654e-08,8.8841060922042e-06,0,0,1.36192680692358,24.9493908046974,"ATF1;RB1;EHF;TRRAP;SCX;GPATCH3;ZXDB;GPBP1;MYB;ZXDC;BBX;SUPT20H;PKNOX1;NFRKB;PKNOX2;HES6;ZNF165;ZNF282;SOX13;ZNF12;SOX10;HCFC1;MED7;EID2;RFX7;DDIT3;SPIN2B;ZSCAN26;SPIN2A;CLOCK;ZNF398;ZSCAN29;ZNF397;ZNF276;ZNF395;ZNF274;MYNN;ZNF22;AKAP17A;BCL10;ZNF24;MRPL12;DEDD2;NUP85;HOXC4;HOXC9;ZNF148;ZSCAN16;ZSCAN18;ZBTB7C;HOXC6;HEXIM1;CDK17;FZD1;ZNF143;ZNF263;ZNF142;ZNF141;MTERF3;FZD4;PBX3;IRF2BP1;NFATC3;TRIP4;NR1D1;NFATC4;THAP11;FOSL1;MLLT11;TADA2B;MLLT10;ZNF37A;TMEM98;REL;GTF2IRD1;MMS19;HOXD8;RET;ZNF253;GMEB2;PHF20;PHF1;BHLHE41;TCF20;TFCP2L1;CTCF;MED16;HOXC11;ING1;GLI3;PHF8;PQBP1;IKBKB;ING5;EDRF1;NIPBL;ING2;HEY1;CIC;TEAD1;TEAD3;TEAD4;ZNF362;TCF12;BAZ1A;ASH1L;SIRT7;MED27;MED26;SIRT1;MED23;MED22;TAF6L;GCFC2;KAT2A;MED21;MED20;MTF2;PAX9;RARA;ZNF358;PLCB1;ZNF232;ZNF350;CIPC;ZNF518A;ZNF66;PLAGL2;PCGF1;PRAME;BRD9;ZNF100;ZNF460;UTP4;CDKN2A;PCGF5;ZNF76;ELP3;WWP2;GATAD2A;HINFP;ZNF33A;CENPF;PHF5A;RYBP;MYBBP1A;NFIA;ZNF219;ZNF579;ZNF213;ZNF212;GZF1;ZNF695;ZNF331;ZNF692;CCNT2;CCNT1;ZBTB24;GMNN;NAB2;HR;YEATS4;ZBTB22;DACH1;POFUT1;RUVBL1;ZNF326;ZNF568;KMT5A;PITX2;ZNF322;PITX3;MEN1;KCNH2;PIAS4;MAP2K3;PIAS3;MAP2K1;TLE1;NKX6-2;THOC1;DYRK1B;FOXP4;SAP30;HIC2;KAT6B;DGKQ;ZNF318;ZNF316;ZNF799;ZNF678;AJUBA;ZNF430;ZNF672;INO80B;KMT2D;INO80E;ZNF791;INO80D;KMT2B;FOXO4;NPAS2;GLIS2;NEUROD2;HMBOX1;MED30;NACC2;ZKSCAN8;MBIP;DVL2;SAFB2;ZKSCAN5;E4F1;ZBTB18;ESRRA;ZNF540;BRPF1;BICRAL;BRPF3;ATP8B1;ZBTB10;ELOA2;RFXANK;NFKB1;TFCP2;SP2;BCL6;YEATS2;MAFG;MAFF;TADA3;SP6;MDM2;MAP3K10;MAFK;SP7;MNAT1;SP140L;ZNF410;NFE2L2;RNF14;SUMO4;ARRB1;VPS72;PPP1R13L;SIN3A;HMG20A;ERC1;ZNF644;CEP290;YAF2;NKX3-1;CHUK;ACTR6;ACTR5;MSL2;MSL3;REXO4;ZFP90;DNAJC2;TFDP2;ZNF516;LANCL2;LCOR;TESMIN;LCORL;FOXD4L1;MCM2;HDAC5;NFAT5;SMARCD1;PRKAA1;SMARCD2;HDAC3;SMARCD3;HDAC1;ZBTB46;ZBTB48;LRP5;ZBTB43;TULP3;FOXK2;ZBTB42;FOXK1;MLLT3;HDAC6;PPM1F;LRP6;CCDC85B;ZNF628;ZNF627;ATXN1L;ZNF626;E2F1;RBBP8;ZNF503;E2F3;ASCC2;E2F5;E2F6;ZNF740;TBX1;RNF20;IRX2;CDC5L;TBX6;TBX3;KLF8;KLF7;KLF5;ZNF737;POLR3F;ZNF853;ZNF730;TRIM33;HDAC10;FOXI1;IKZF2;MBD3L2;IKZF3;IKZF4;CCAR2;IKZF5;KAT5;CHEK2;RPS6KA1;KAT8;EPC2;SOX9;ZFPL1;ATXN7L3;SFMBT1;PSG1;OVOL1;THAP1;JMJD6;OVOL2;NIF3L1;SFRP1;ZNF718;THAP7;TFAM;TRIB3;DXO;ZNF711;ZNF710;CCNQ;TP53;L3MBTL1;CASZ1;FOXG1;ZBTB5;HTATSF1;CDKN2AIP;SEC14L2;ZNF708;ZNF827;ZNHIT3;ZNF704;ZNF823;HIVEP1;INPP5K;HIVEP2;PATZ1;SS18L1;KTI12;SMARCA1;ZBTB9;ID4;RBAK;RCOR1;CC2D1A;CSRNP1;SUV39H2;SGF29;LIMD1;UIMC1;HRAS;GABPA;NCOA1;PRMT6;NCOA2;PBRM1;ZHX2;ZHX3;ATMIN;NCOA6;TFE3;RHOH;CBFA2T2;LIME1;ZFX;MLF1;ZFTA;TOX3;SLTM;MDFIC;DEPDC1;NCOA7;ZNF780B;MAPRE3;HMX1;FOXC1;SPINDOC;RELB;CAMKK2;RXRB;HIRA;PURA;MNT;SERTAD3;HSF2;HSF4;PAK6;TBL1X;APBB3;NFYB;GRHL1;MAD2L2;PER2;TFAP4;PRKRA;TCEA2;ZNF354A;MPHOSPH8;PRDM4;WWC1;PRDM5;ZSCAN9;ARID4A;JADE3;CELSR2;ZNF85;WWC3;ARID2;ZGPAT;KCTD1;POU3F4;ZNF92;MYCN;PPIE;NUPR2;LMX1B;MZF1;HOMEZ;PSMD10;PSEN1;TAF5L;DEAF1;TASP1;CAMTA2;OTX1;TFAP2B;TFAP2C;ZFHX3;POU2F1;SMAD3;PHF10;TGFB3;PHF12;EVX1;BMP7;ESR1;GCLC;MRGBP;PHF14;MELTF;TCF3;MXD1;BRWD3;PHF19;PRR7;MIDEAS;CHD8;HMGB3;ILK;SIX4;SFR1;NUP62;MYBL1;KLF11;USP47;TGIF2;KLF13;EED;AXIN1;GLRX2;ETV4;ARID1B;ETV5;ELF2;PSRC1;ELF5;CRY2;IRF2;CRY1;IRF6;RBM23;USP13;KDM3A;RGS14;ZNF195;TAF9;TGFBRAP1;RNF6;LIN9;ACVR1B;RNF2;BICRA;CIART;TFPT;IFNL1;ERBB4;SAP30L;MXI1;TCFL5;SPEN;KDM4A;TCF7L2;TCF7L1;KDM4C;TAF12;ARID3A;ARID3B;USF1;REST;KANSL1;TNIP2;PITHD1;CARM1;KANSL3;NAA16;TAF6;TAF4;SSBP2"
"Organelle Assembly (GO:0070925)","117/322",1.36586566304332e-08,9.39715576173807e-06,0,0,1.97710371386835,35.8031582815561,"DYNC2I1;GALNT11;TRAF3IP1;UBXN2A;FMR1;PTPDC1;CDC14B;TBC1D31;WDR90;AP1S1;CEP250;TRAPPC14;AP1S3;VPS36;GABARAPL1;FBXW8;ATG9A;AP1B1;ARMC9;IFT80;OCRL;ATG12;IFT81;TMEM138;ULK3;CHMP4C;ULK2;CEP20;STAM2;CCNO;UNC119B;ABCB6;INTU;FAM149B1;PLA2G3;KIF3A;ATP6V1D;PIBF1;AP1M1;BBS2;BBS1;HPS3;IFT122;CPLANE1;BBIP1;TMEM231;AHI1;NSFL1C;IFT22;ATG16L1;TMEM237;UBXN10;ATG2A;CHMP2A;CEP83;IFT27;CIBAR1;CEP89;SPAG16;PTPN23;HSPB11;IFT52;MAP1LC3A;TCTN3;AP1G1;RB1CC1;TCTN1;AP3S2;CEP290;OFD1;TTC36;MKKS;IFT140;VPS37C;VPS37D;VPS37A;VPS37B;IFT43;PACS2;RILPL2;TMEM216;PIK3C3;SSX2IP;CILK1;MACIR;VPS4B;DYNLT2B;VPS4A;ASAP1;AMBRA1;HDAC6;AP3M1;IFT74;ABLIM1;ABLIM3;ARL13B;TMEM67;RAB23;KIAA0753;MVB12A;POC1B;EMC6;PCNT;UBQLN2;YTHDF1;YTHDF2;MBD1;GBF1;ATAT1;TTC8;TTLL3;KIAA0586;HYLS1;RAB19;CCDC66;RAB17;CLUAP1"
"Ribosome Biogenesis (GO:0042254)","66/155",2.315950422518e-08,1.34752235282506e-05,0,0,2.55883442400296,44.9865112838039,"DDX49;NVL;SPPL2B;PAK1IP1;WDR3;MRPS12;NAT10;WDR46;NOB1;MTREX;RIOK1;RRP12;METTL17;PELP1;UTP15;NOM1;UTP11;DIMT1;DIS3;NGDN;WDR74;DNTTIP2;WDR75;TSC1;GTPBP4;GRWD1;MRTO4;CINP;NIP7;HEATR1;NOL8;MALSU1;RPF2;SDAD1;MRM2;TMA16;RRP7A;EXOSC7;EMG1;EXOSC10;EXOSC4;C1ORF109;BMS1;EXOSC9;PES1;DHX37;RRS1;SURF6;RRP36;ZNF622;LYAR;EXOSC2;UTP6;NOP16;UTP4;KRR1;WDR18;LTO1;WDR12;WDR55;RCL1;TBL3;MPHOSPH10;ESF1;DHX29;RPL26L1"
"Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)","129/367",2.51821037695712e-08,1.34752235282506e-05,0,0,1.87868746224604,32.8716430069921,"UBE2D4;UBXN2A;CBLC;KEAP1;UBE3B;FBXO22;CCAR1;HERC4;NUB1;PSMD6;CDC23;RNF114;KAT5;TRIM25;FBXO8;SKP2;FBXO7;MYLIP;RNF43;AREL1;NHLRC3;FBXW7;RC3H1;KCTD2;FBXO11;KCTD5;KCTD6;CDC34;DDIT3;KCTD13;CHMP4C;PLAA;NHLRC1;CLOCK;PSMD12;PSMD11;CUL1;NEDD4L;UBR3;FBXO45;RNF216;RNF215;NAE1;NDFIP2;ZRANB1;NDFIP1;SMURF1;SIAH1;KLHL22;BFAR;KLHL20;COPS3;NSFL1C;UBE2W;APPBP2;TOLLIP;CHMP2A;MDM2;MKRN2;FBXL4;NFE2L2;GSK3B;TRIM72;RNF14;FAF1;ZFAND2A;ZFAND2B;KIF14;OTUD7B;ARRB1;PTPN23;TRIM3;UBL7;GET4;APC2;AXIN1;VPS37C;VPS37D;VPS37A;VPS37B;SIRT1;TOPORS;RNF144A;UBE2R2;PELI1;RNF166;RNF34;UHRF1;VPS4B;VPS4A;RNF8;RNF6;AMBRA1;CBL;RCHY1;RNF5;PRAMEF6;RMND5B;ZNRF1;PSMB4;RMND5A;ZNRF4;HECTD3;KCTD21;MVB12B;SPOP;ZSWIM8;MVB12A;PRAME;RBBP6;TBL1X;DCAF11;RFFL;UBL4A;RNF20;ATE1;ANKIB1;RNF25;FBXL17;PEX10;WWP2;USP28;RNF146;SPSB2;SPSB1;PSMC6;PSMC4;LNX1;TAF1"
"Nuclear Transport (GO:0051169)","25/39",3.47385551444693e-08,1.67300881575764e-05,0,0,6.13531746031746,105.376627633288,"NUP205;NUP107;SEH1L;NUP188;RGS14;NUP160;GLE1;NUP42;NUP85;NUP62;NUP43;NUP88;RAE1;NDC1;NUP214;SEC13;NUP133;NUP155;NUP210;NUP153;NUP93;NUP35;NUP54;NUP58;NUP37"
