"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"E2F Targets","82/200",4.21638462154378e-09,2.10819231077189e-07,0,0,2.40193868091876,46.3196768028302,"NUP107;MRE11;MCM7;DSCC1;CCP110;BUB1B;HMGB3;SMC6;CTCF;MKI67;SMC3;LMNB1;CDC20;PTTG1;WDR90;CHEK2;CHEK1;POLE;LBR;TCF19;HELLS;TIPIN;RFC3;LIG1;EED;RFC2;HUS1;CTPS1;KIF22;TUBG1;CIT;MSH2;ZW10;DEPDC1;MCM4;KIF2C;TP53;ASF1B;MCM2;PRIM2;NUP205;DNMT1;RNASEH2A;CDCA3;SHMT1;PPM1D;AURKB;AURKA;RAD51AP1;POLD3;CCNB2;ORC6;RACGAP1;UBR7;POLD1;ORC2;PMS2;LYAR;BARD1;GINS1;CDKN2C;RRM2;CDKN2A;PLK1;RPA1;RPA2;NUP153;MLH1;POLA2;RAD50;WEE1;PHF5A;KIF4A;BRMS1L;TACC3;NCAPD2;RAD1;TRIP13;SPC24;MAD2L1;CDKN3;SPC25"
"G2-M Checkpoint","81/200",1.0183182632446e-08,2.54579565811149e-07,0,0,2.35202595889841,43.2832241272168,"CCNT1;CCNF;ARID4A;HMGB3;KIF11;CTCF;MKI67;TENT4A;SMC2;LMNB1;CDC20;CHAF1A;PTTG1;EXO1;CHEK1;PBK;NUSAP1;NEK2;FBXO5;KMT5A;LBR;POLE;TNPO2;UPF1;HUS1;KIF23;LIG3;KIF22;SAP30;CCNA2;DBF4;RBL1;INCENP;MTF2;KIF2C;MCM2;NOTCH2;PRIM2;DTYMK;CUL5;TROAP;CUL1;TTK;CENPA;SLC7A1;AURKB;AURKA;HIRA;PURA;CCNB2;ORC6;CDC45;RACGAP1;KATNA1;MAP3K20;E2F1;RAD54L;E2F3;BUB1;BARD1;GINS2;STIL;CDKN2C;SMAD3;ODF2;PLK1;RPA2;CDC7;FANCC;CDC6;TPX2;SQLE;UCK2;POLA2;CENPF;PRC1;KIF4A;TACC3;MNAT1;MAD2L1;CDKN3"
"Myc Targets V2","29/58",4.52377246740624e-06,7.53962077901041e-05,0,0,3.43549822064057,42.277805540225,"NIP7;NOP2;PPAN;RABEPK;IPO4;HK2;SRM;TCOF1;PES1;RRP12;SLC19A1;DUSP2;NOP16;PUS1;PRMT3;PLK1;WDR74;TFB2M;PPRC1;SUPV3L1;RCL1;AIMP2;MYBBP1A;LAS1L;GRWD1;NDUFAF4;MRTO4;MCM4;MPHOSPH10"
"DNA Repair","58/150",6.74508708864909e-06,8.43135886081136e-05,0,0,2.17102714593006,25.8497605747575,"ELL;GTF2B;CETN2;PDE4B;REV3L;NELFB;POLL;TK2;POLH;NELFE;RFC5;RFC3;LIG1;RFC2;VPS37D;VPS37B;GTF2F1;NT5C3A;RRM2B;NFX1;POLR1C;HPRT1;UMPS;TP53;CCNO;GTF3C5;PRIM1;USP11;GMPR2;TAF9;AK3;AAAS;TYMS;POLD3;NT5C;POLD1;POLR2D;POLR2G;STX3;RAE1;SAC3D1;SF3A3;BRF2;TAF12;POLR3GL;UPF3B;RPA2;GTF2H3;TARBP2;NUDT9;RAD52;POLA1;POLA2;ERCC3;ERCC2;ERCC5;TAF6;ITPA"
"Glycolysis","71/200",2.21896717497255e-05,0.000221896717497255,0,0,1.89632870723294,20.3208377202937,"XYLT2;PLOD2;PYGL;ENO2;HK2;GMPPB;GYS1;NSDHL;CASP6;GMPPA;PDK3;PGM2;SOX9;SLC37A4;PPFIA4;RARS1;CHPF2;GLCE;PHKA2;SAP30;KIF2A;B3GNT3;DEPDC1;PKP2;CHST1;KDELR3;ALDH7A1;DLD;B4GALT7;MET;DSC2;GNE;SLC25A13;PAXIP1;ABCB6;IDUA;AK3;NOL3;CENPA;CACNA1H;CLN6;AURKA;FUT8;CHST12;MXI1;BPNT1;GPC4;ANKZF1;LHPP;EGLN3;SLC35A3;HOMER1;GOT1;BIK;AGL;IDH1;PMM2;ECD;B3GALT6;EXT1;EFNA3;GCLC;GALE;PC;GNPDA1;PSMC4;P4HA2;POLR3K;GALK2;PFKP;GALK1"
"Mitotic Spindle","70/199",3.55118705954625e-05,0.000295932254962188,0,0,1.86920018444566,19.1511587842756,"CEP57;ITSN1;KIF11;SMC3;PKD2;LMNB1;CNTRL;NUSAP1;CEP250;NEK2;KNTC1;FBXO5;NCK1;MAP1S;KIF23;TSC1;KIF22;SHROOM1;CKAP5;CD2AP;BCR;LATS1;BIN1;INCENP;RASA2;ARHGEF3;GEMIN4;KIF2C;RAPGEF6;NOTCH2;RABGAP1;EPB41;TUBGCP2;TUBD1;NEDD9;KATNB1;TTK;HDAC6;AURKA;CCNB2;FGD6;RACGAP1;KATNA1;CEP72;FLNB;RICTOR;PCNT;ECT2;MYH10;BUB1;SAC3D1;CLASP1;PCGF5;MID1IP1;PLK1;CDC42BPA;ANLN;TPX2;MYO1E;CENPF;NIN;PRC1;KIF4A;ALMS1;TAOK2;ABI1;TUBGCP6;TUBGCP3;RAB3GAP1;BCAR1"
"Estrogen Response Early","64/200",0.00138652921904108,0.00990378013600775,0,0,1.61810198188219,10.6486508576558,"RET;SCARB1;FCMR;NXT1;WWC1;HR;NADSYN1;CELSR1;CELSR2;RAPGEFL1;IGF1R;DEPTOR;MYB;ANXA9;RRP12;MYBL1;MREG;TGIF2;ELOVL2;KAZN;PLAAT3;NAV2;RHOD;OVOL2;AR;RARA;BLVRB;TFF1;MAPT;PTGES;FOXC1;SLC26A2;MINDY1;PEX11A;ASB13;TMEM164;SLC7A2;SEC14L2;SYNGR1;PDLIM3;ABLIM1;BAG1;NRIP1;RBBP8;PMAIP1;SFN;FLNB;SLC19A2;CA12;SVIL;TFAP2C;SLC16A1;SLC37A1;WFS1;ABCA3;SNX24;TPD52L1;MYBBP1A;KRT15;UNC119;DHCR7;RAB17;RETREG1;TJP3"
"Adipogenesis","62/200",0.00372921955314022,0.0233076222071264,0,0,1.54392476627472,8.6329422571438,"SCARB1;ACAA2;SOWAHC;GBE1;ITSN1;ARAF;ETFB;GPHN;AIFM1;CPT2;DBT;ACADM;HADH;PGM1;HIBCH;IDH3A;BCKDHA;PHYH;MIGA2;DGAT1;CHUK;MCCC1;ELOVL6;CMBL;SLC5A6;PPM1B;ARL4A;TST;GPD2;CAT;SUCLG1;PLIN2;DLD;ABCB8;MRPL15;TANK;GRPEL1;SNCG;DNAJB9;DRAM2;SLC19A1;MAP4K3;ESRRA;CDKN2C;FZD4;RIOK3;IDH1;SQOR;IMMT;SORBS1;FAH;COQ5;QDPR;UCK1;BCL6;LPCAT3;NMT1;PEMT;ESYT1;REEP6;DHCR7;CRAT"
"Wnt-beta Catenin Signaling","15/42",0.037255295893382,0.206973866074344,0,0,1.90293175659029,6.26057159334207,"JAG2;FZD1;HDAC5;MAML1;HDAC11;PSEN2;CUL1;AXIN1;KAT2A;ADAM17;HEY1;DVL2;NUMB;SKP2;TP53"
"Estrogen Response Late","56/200",0.043280593336807,0.216402966684035,0,0,1.33409164366873,4.18911571344735,"RET;BTG3;SCARB1;NXT1;ST6GALNAC2;NAB2;HR;ETFB;CELSR2;RAPGEFL1;SLC2A8;CDC20;TRIM29;IMPA2;MYB;ANXA9;LARGE1;DUSP2;PLAAT3;OVOL2;GAL;RABEP1;TST;BLVRB;TFF1;HPRT1;MAPT;PKP3;SLC29A1;PTGES;FOXC1;SLC26A2;RNASEH2A;PDLIM3;PRKAR2B;BAG1;NRIP1;RBBP8;SFN;FLNB;CA12;GINS2;STIL;TFAP2C;SLC16A1;HOMER2;WFS1;ABCA3;CDC6;TPD52L1;GALE;NMU;PTPN6;DHCR7;FGFR3;TJP3"
