"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Phagocytosis (GO:0006909)","15/69",6.94592740980801e-14,1.49823654229559e-10,0,0,19.4246737841044,588.529461681018,"MSR1;ANXA1;CD93;ITGB2;NR1H3;TREM2;MERTK;AIF1;CORO1A;TYROBP;AXL;PECAM1;CD302;CD14;TGM2"
"Regulation Of Angiogenesis (GO:0045765)","20/205",3.10213306483366e-11,3.34565051042311e-08,0,0,7.64551508029769,184.993528709981,"FLT1;SERPINF1;PTPRM;TNFAIP3;SULF1;THBS2;HSPG2;ETS1;DCN;CLDN5;CDH5;SFRP2;RGCC;ADAMTS1;STAB1;CYP1B1;HMOX1;CTSH;EMILIN2;CD34"
"Regulation Of Cell Migration (GO:0030334)","27/434",3.67892929705717e-10,2.64515016458411e-07,0,0,4.75890320871734,103.378745010242,"CSF1R;FLT1;NEDD9;THY1;AIF1;VSIR;CDH5;CLEC7A;PODXL;CCL3;CYP1B1;CTSH;EMILIN2;FYN;PDGFRB;ACE;ANXA1;TGFB1;LAMB1;SULF1;CLDN5;DAB2;SFRP2;CDH11;PECAM1;FERMT3;ENG"
"Negative Regulation Of Cytokine Production (GO:0001818)","17/178",1.34624882741758e-09,7.2596468018493e-07,0,0,7.39622431487789,151.07486188063,"SRGN;ANXA1;TNFAIP3;TREM2;LGALS9C;VSIR;TYROBP;PTPRC;RGCC;AXL;SYT11;NCKAP1L;VSIG4;XAF1;CD34;GBP1;HAVCR2"
"Hemopoiesis (GO:0030097)","13/101",3.20192598158125e-09,1.21528709064256e-06,0,0,10.2396402184388,200.282379438574,"CSF1R;TGFB1;NOTCH4;ZBTB16;TGFBR2;PINK1;SNRK;SFRP2;PTPRC;IFI16;IL7R;EVI2B;CD34"
"Endocytosis (GO:0006897)","17/189",3.38049260262187e-09,1.21528709064256e-06,0,0,6.91931316162374,134.962894281347,"MSR1;ANXA1;CD93;ITGB2;TBC1D2B;MERTK;HSPG2;CORO1A;DAB2;AXL;DPYSL2;MRC1;STAB1;PECAM1;CD14;CD302;PDLIM7"
"Positive Regulation Of Lymphocyte Activation (GO:0051251)","9/47",2.51107852746066e-08,7.73770911961806e-06,0,0,16.2290482303319,284.007831044949,"HLA-DMA;TYROBP;SH3KBP1;CLEC7A;CCL2;NCKAP1L;THY1;HLA-DOA;HLA-DQA1"
"Positive Regulation Of Signal Transduction (GO:0009967)","18/266",9.88444196099867e-08,2.66509266373427e-05,0,0,5.07960083546066,81.9325327977826,"TGFB1;VWF;LAMA2;IGF2;LY96;TNFAIP3;TREM2;LAMB1;SULF1;NID1;CTSS;PTPRC;CTSL;AXL;CTSH;IL7R;SHANK3;TLR2"
"Positive Regulation Of Cell Migration (GO:0030335)","18/272",1.38193477364498e-07,3.31203700750247e-05,0,0,4.95808077947091,78.310957832129,"PDGFRB;CSF1R;TGFB1;FLT1;NEDD9;LAMB1;AIF1;VSIR;CDH5;DAB2;PTPRC;CLEC7A;PODXL;PECAM1;CCL3;CTSH;NCKAP1L;FERMT3"
"Positive Regulation Of Cell Motility (GO:2000147)","16/221",2.06216266049857e-07,4.44808485869541e-05,0,0,5.43526132404181,83.6722628964146,"PDGFRB;CSF1R;TGFB1;FLT1;NEDD9;LAMB1;AIF1;VSIR;CDH5;DAB2;CLEC7A;PODXL;PECAM1;CCL3;CTSH;FERMT3"
