"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Epithelial Mesenchymal Transition","33/200",4.67448205319155e-25,2.05677210340428e-23,0,0,14.679105666993,822.360328739362,"NNMT;LAMA2;WIPF1;ELN;COL11A1;HTRA1;TNFAIP3;THY1;THBS2;FSTL1;LOXL2;GLIPR1;EFEMP2;ANPEP;TGM2;IL32;PDGFRB;POSTN;TGFB1;LUM;IGFBP3;MMP2;PCOLCE;EMP3;DCN;ACTA2;SFRP4;DAB2;COL5A2;CDH11;PMP22;COL6A3;TGFBI"
"KRAS Signaling Up","26/200",2.7110958245923e-17,5.96441081410306e-16,0,0,10.8084291187739,412.304753744574,"PLVAP;CFH;ITGB2;F13A1;LY96;TNFAIP3;PRDM1;TFPI;IL2RG;ETS1;CTSS;CCND2;ANKH;C3AR1;ST6GAL1;ACE;MMD;TMEM176B;IGFBP3;IGF2;TNFRSF1B;PECAM1;SPARCL1;CPE;IL7R;ENG"
"Allograft Rejection","22/200",2.70191193567344e-13,3.96280417232104e-12,0,0,8.8077585499877,254.893419441756,"SRGN;SPI1;IGSF6;TGFB1;ITGB2;THY1;IL2RG;ETS1;CTSS;HLA-DMA;CD4;CCND2;PTPRC;IL2RA;STAB1;HCLS1;CCL2;LCP2;HLA-DOA;GBP2;HLA-DQA1;TLR2"
"Complement","20/200",1.97355175588895e-11,2.17090693147785e-10,0,0,7.85990338164251,193.735623781007,"CPM;CFH;C1S;C1R;NOTCH4;TNFAIP3;PRCP;LIPA;F3;CTSS;PSMB9;ZEB1;CTSL;CASP4;PIM1;SERPING1;CTSH;LCP2;FYN;CTSC"
"Interferon Gamma Response","19/200",1.54960172578112e-10,1.36364951868739e-09,0,0,7.39846819713984,167.115511937401,"CFH;C1S;C1R;FGL2;IFI44;TNFAIP3;SAMHD1;IFI44L;IFIT2;PSMB9;SOCS3;HLA-DMA;CASP4;PIM1;SERPING1;CCL2;LCP2;XAF1;HLA-DQA1"
"IL-6/JAK/STAT3 Signaling","12/87",5.83188720282758e-09,4.27671728207356e-08,0,0,11.0585915492958,209.6700684096,"SOCS3;TGFB1;ITGA4;IL1R1;IL2RA;PIM1;HMOX1;CD14;TNFRSF1B;IL2RG;IL17RA;TLR2"
"Inflammatory Response","17/200",7.970004523666e-09,5.00971712916149e-08,0,0,6.49973558963511,121.204344433988,"MSR1;CALCRL;IL1R1;C5AR1;CYBB;EMP3;TNFRSF1B;F3;AXL;RGS1;STAB1;C3AR1;CCL2;LCP2;CD14;IL7R;TLR2"
"Coagulation","14/138",1.8134879034128e-08,9.97418346877043e-08,0,0,7.83916723861817,139.736516950072,"CFD;ANXA1;CFH;VWF;C1S;C1R;PROS1;MMP2;HTRA1;F3;PECAM1;SERPING1;CTSH;FYN"
"UV Response Dn","14/144",3.13027055631703e-08,1.53035449419944e-07,0,0,7.47506819421713,129.165899109206,"PDGFRB;COL11A1;PTPRM;TFPI;F3;TGFBR2;DAB2;EFEMP1;COL5A2;ID1;PMP22;FYN;PLPP3;ADGRL2"
"Apoptosis","13/161",8.48046642389335e-07,3.73140522651307e-06,0,0,6.0698118613313,84.8579740723746,"PDGFRB;EGR3;ANXA1;GPX3;LUM;MMP2;NEDD9;DCN;CCND2;ANKH;CASP4;HMOX1;CD14"
