"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)","89/319",5.9761409752521e-10,2.62352588813567e-06,0,0,2.28897155427908,48.613351584756,"GSK3B;UBXN2A;FAF1;CCNF;ZFAND2B;LTN1;ARRB1;CDC20;PSMD6;KAT5;TRIM3;FBXO3;TRIM25;UBXN7;AXIN1;YOD1;KCTD2;UBE4B;SIRT1;KCTD5;TOPORS;CDC34;DDIT3;KCTD13;PELI1;ANAPC4;PLAA;MAN1B1;CLOCK;ZNF598;FAM8A1;ANAPC1;RNF121;ANAPC2;PSMD12;ANAPC15;PSMD11;RNF34;CUL5;DMAC2;CUL2;CUL1;NEDD4L;DERL2;UBR3;FBXO45;UBR2;UBE2J2;RNF5;ANAPC10;USP19;RMND5B;FOXRED2;ZNRF1;PSMB4;FZR1;RMND5A;RNF216;TMEM67;TMEM129;SPOP;ZSWIM8;ASCC2;TBL1X;DCAF11;RFFL;ANKZF1;KLHDC10;UBQLN2;WFS1;SIAH1;FBXL17;KLHL22;WWP2;BFAR;ERLIN2;TMUB2;KLHL20;FBXL12;FBXL8;NSFL1C;RNF103;PSMC6;APPBP2;PSMC4;MDM2;FBXL4;NFE2L2;TAF1"
"DNA Damage Response (GO:0006974)","101/384",1.49588587932327e-09,3.28346950511459e-06,0,0,2.11338591709454,42.9451583735016,"MRE11;KDM1A;TRRAP;NUDT1;SMC5;KAT5;CHEK1;MEN1;ARMT1;LIG1;KMT5C;HUS1;UBE2E2;VRK1;CHD1L;INIP;MSH6;MSH2;MSH3;DDIT3;NUPR2;TP53;DCUN1D5;STXBP4;BOD1L1;HTRA2;FBXO45;PSEN1;NPAS2;VCPIP1;OARD1;SFN;BARD1;MOAP1;FANCL;FANCC;FAM111A;TDP1;CDK3;NABP2;RAD17;MMS19;MNAT1;RAD9A;WDR48;MCM7;MCM8;PHF1;SETD7;ASH2L;POLB;EXO1;MLST8;POLI;IKBKG;POLH;BOK;VAV3;RFC5;UPF1;RMI2;SHPRH;RFC3;NCOA6;RFC2;SIRT7;ZDHHC16;MASTL;SIRT1;SPIDR;TOPORS;RNF169;NSMCE4A;RRM2B;CRY1;MAPT;PPP1R15A;SPINDOC;DOT1L;TAF9;RNF8;PAK1;RECQL5;POLD1;E2F1;RBBP6;BID;MBD4;RRM1;RPA1;MAPK14;MAD2L2;ETAA1;RAD50;TAOK3;RFWD3;SHLD2;TAOK2;PWWP3A;CUL4B;TAF1"
"DNA Repair (GO:0006281)","81/291",3.9277997886028e-09,5.63031494994536e-06,0,0,2.27793072379618,44.08977380652,"SETD2;MRE11;TRRAP;CETN2;NUDT1;POLB;ALKBH2;KAT5;EXO1;CHEK1;UIMC1;POLI;POLL;POLE;POLH;FAAP100;MEN1;PRMT6;PIAS4;RFC5;UPF1;RMI2;RFC3;LIG1;KMT5C;RFC2;HUS1;LIG3;WRNIP1;COMMD1;CHD1L;SIRT1;INIP;MSH6;RNF169;NSMCE4A;MSH2;RRM2B;MSH3;TP53;RHNO1;RNASEH2C;TEX264;CDCA5;DOT1L;RNF8;PRIMPOL;POLD3;VCPIP1;RECQL5;POLD1;ASCC2;PMS1;BARD1;FANCI;MBD4;MGME1;RRM1;FANCL;EYA3;RPA1;XRCC1;RPA2;FANCC;MLH1;MLH3;MAD2L2;SMUG1;FAM111A;PPP5C;RAD50;TDP1;RFWD3;PWWP3A;NABP2;RAD17;MMS19;ERCC5;MNAT1;RAD9A;CUL4B"
"Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)","96/367",5.13012751703449e-09,5.63031494994536e-06,0,0,2.09551463601991,39.9994669393812,"GSK3B;UBE2D4;UBXN2A;RNF14;FAF1;ZFAND2B;KEAP1;OTUD7B;ARRB1;UBE3B;PTPN23;CCAR1;HERC4;NUB1;PSMD6;RNF114;KAT5;TRIM3;TRIM25;UBXN7;GET4;MYLIP;RNF43;AXIN1;VPS37C;RC3H1;KCTD2;UBE4B;VPS37B;SIRT1;FBXO11;KCTD5;TOPORS;KCTD6;RNF144A;CDC34;UBE2R2;DDIT3;KCTD13;PELI1;PLAA;CLOCK;PSMD12;PSMD11;RNF34;UHRF1;VPS4B;VPS4A;CUL1;RNF8;NEDD4L;UBR3;FBXO45;RNF6;CBL;RCHY1;RNF5;RMND5B;ZNRF1;PSMB4;C18ORF25;RMND5A;RNF216;SPOP;ZSWIM8;MVB12A;RBBP6;TBL1X;DCAF11;RFFL;UBL4A;ATE1;ZRANB1;ANKIB1;SIAH1;FBXL17;KLHL22;WWP2;BFAR;MIB1;KLHL20;RNF146;CNOT4;COPS3;NSFL1C;PSMC6;APPBP2;PSMC4;TOLLIP;CHMP2B;CHMP2A;MDM2;MKRN2;FBXL4;NFE2L2;TAF1"
"Nuclear Transport (GO:0051169)","21/39",1.25246447927944e-08,1.09966381280735e-05,0,0,6.8250400366049,124.185477019098,"NDC1;NUP214;NUP205;SEC13;SEH1L;NUP188;NUP133;NUP155;NUP210;NUP153;NUP160;GLE1;NUP93;NUP85;RSRC1;NUP62;NUP35;NUP54;RAE1;NUP58;NUP37"
"Endosomal Transport (GO:0016197)","56/180",1.50959805943386e-08,1.10452258015244e-05,0,0,2.65744153996123,47.8574323655965,"WASHC4;ZFYVE9;DENND1A;ITSN1;SNX12;PTPN23;WASHC2A;DENND10;TOM1;VPS35;ERC1;AP5S1;PLEKHJ1;TBC1D10B;WASHC3;RAB6C;LMTK2;EPS15L1;AP5B1;ACAP2;ZFYVE16;TBC1D5;TMEM87B;AP5Z1;DCTN1;VPS4B;VPS4A;CLEC16A;VPS26B;SNX33;GGA1;AP5M1;VPS51;BLOC1S2;VPS52;VTI1A;RAB29;REPS2;VPS54;ENTR1;RAB11FIP3;ANKRD50;VPS16;ANKRD27;RIC1;PHETA1;RGP1;EHD4;RAB14;MYO5B;CHMP2B;ALMS1;CHMP2A;UBE2O;TMCC1;RAB17"
"Nucleocytoplasmic Transport (GO:0006913)","24/50",2.24611620751575e-08,1.4086357358563e-05,0,0,5.40306001109849,95.1558733243204,"NDC1;NUP214;SEC13;NUP205;SEH1L;NUP188;NUP133;NUP210;NUP155;RITA1;NUP153;NUP160;GLE1;NUP93;LSG1;RSRC1;NUP85;NUP62;NUP35;NUP54;RAE1;NUP58;HTATIP2;NUP37"
"Protein Ubiquitination (GO:0016567)","105/434",8.42240543512682e-08,4.21023252210622e-05,0,0,1.88737688895572,30.7449642547765,"UBE2D4;FBXO28;CCNF;FBXO25;KEAP1;UBE3A;UBE3B;CCAR1;HERC4;NUB1;RNF114;TRIM24;TRIM25;TRIM26;FAAP100;MYLIP;RNF43;USP5;RC3H1;UBE4B;FBXO11;CDC34;TRIM17;KCTD13;TRIM14;CUL5;CUL2;MYCBP2;CUL1;NEDD4L;UBR3;FBXO45;DTX2;KLHL12;UBE2J2;VCPIP1;TMEM129;BARD1;BRAP;FANCL;PLK1;KLHL22;LNPEP;FANCC;BFAR;KLHL20;CNOT4;RNF103;UVSSA;MDM2;MKRN2;TPP2;MKRN3;UBE2O;NFE2L2;RNF14;ARRB1;SH3RF1;DDA1;TRIM3;RNF152;SHPRH;TRIM62;MSL2;RNF208;TRAF2;PEX2;UCHL3;SIRT1;TOPORS;RNF144A;TRAF7;UBE2R2;NFX1;SDE2;ZNF598;THOP1;RNF34;UHRF1;RNF8;RNF6;RCHY1;CBL;RNFT1;DCAF15;RMND5A;RNF139;RNF138;SPOP;ZSWIM8;RBBP6;MARCHF5;ANKIB1;TRIM41;FBXL17;WWP2;MIB1;RNF146;RFWD3;OTULIN;TRIM37;RNF141;TRIM33;CUL4B;TAF1"
"Regulation Of DNA-templated Transcription (GO:0006355)","362/1922",8.63145619566196e-08,4.21023252210622e-05,0,0,1.39835022472022,22.7445404870141,"ATF1;TRRAP;FOXI1;SCX;IKZF2;IKZF3;IKZF4;CCAR2;IKZF5;KAT5;ZXDB;RPS6KA1;MYB;ZXDC;BBX;KAT8;EPC2;SUPT20H;SOX9;PKNOX1;ZFPL1;NFRKB;ZNF282;SOX13;ZNF12;OVOL1;HCFC1;OVOL2;RFX7;THAP7;DDIT3;SPIN2B;TRIB3;DXO;SPIN2A;CCNQ;CLOCK;TP53;ZNF398;ZSCAN29;ZNF397;L3MBTL1;ZNF395;CASZ1;ZNF274;ZNF22;AKAP17A;BCL10;ZNF24;ZBTB5;HTATSF1;MRPL12;DEDD2;NHLH2;ZNF708;ZNF827;NUP85;ZNHIT3;HIVEP1;HOXC4;HIVEP2;HOXC9;ZNF148;PATZ1;ZSCAN18;ZBTB7C;HEXIM1;CDK17;ZNF263;MTERF3;FZD4;SS18L1;NR1D1;NFATC4;THAP11;TADA2B;ZNF37A;REL;GTF2IRD1;MMS19;RBAK;RCOR1;RET;GMEB2;PHF20;PHF1;TCF20;CTCF;LIMD1;ING1;GLI3;PHF8;PQBP1;IKBKB;ING5;UIMC1;CIC;TEAD1;HRAS;GABPA;HTATIP2;TEAD3;TEAD4;NCOA1;PRMT6;NCOA2;PBRM1;ZHX2;ZHX3;NCOA6;TCF12;TFE3;RHOH;BAZ1A;ASH1L;SIRT7;CBFA2T2;MED26;LIME1;SIRT1;ZFX;MLF1;UCHL5;MED23;ZFTA;MED22;TOX3;KAT2A;SLTM;AEBP2;MED21;MED20;DEPDC1;RARA;MAPRE3;ZNF358;HMX1;ZNF350;SPINDOC;CIPC;ZNF518A;ZNF66;CAMKK2;RXRB;PURA;MNT;SERTAD3;HSF4;PLAGL2;PCGF1;PAK6;BRD9;TBL1X;APBB3;ZNF100;ZNF460;UTP4;CDKN2A;NFYB;ZNF76;WWP2;GRHL1;ZNF33A;MAD2L2;PER2;CENPF;RYBP;PRKRA;CAMK4;TCEA2;MPHOSPH8;GZF1;ZNF692;CCNT2;PRDM4;KDM1A;CCNT1;ZBTB24;NAB1;WWC1;GMNN;ZSCAN9;PRDM2;HR;JADE3;ZBTB22;CELSR2;POFUT1;RUVBL1;ZNF326;ZNF568;KMT5A;ARID2;ZNF322;MEN1;PIAS4;MAP2K3;PIAS3;MAP2K1;TLE1;THOC1;KCTD1;SAP30;ZNF92;KAT6B;DGKQ;ZNF318;PPIE;ZNF316;NUPR2;ZNF678;LMX1B;MZF1;ZNF672;INO80B;KMT2D;INO80D;PSEN1;NPAS2;TAF5L;GLIS2;NEUROD1;HMBOX1;MED30;DEAF1;ZKSCAN8;SAFB2;TASP1;E4F1;CAMTA2;TFAP2B;PHF10;BICRAL;BRPF3;ATP8B1;PHF12;ZBTB10;RFXANK;ESR1;NFKB1;GCLC;TFCP2;MRGBP;SP2;YEATS2;MAFG;MAFF;TADA3;SP6;MDM2;PHF14;MAP3K10;MAFK;SP7;TCF3;MNAT1;MXD1;ZNF410;BRWD3;NFE2L2;PRR7;RNF14;MIDEAS;CHD8;HMGB3;ARRB1;FOXM1;SIX4;VPS72;PPP1R13L;SIN3A;NUP62;HMG20A;ERC1;ZNF644;YAF2;TGIF2;CHUK;ACTR6;EED;MSL2;AXIN1;MSL3;GLRX2;ARID1A;ARID1B;DNAJC2;TFDP2;ZNF519;ELF4;ELF5;CRY2;ZNF516;CRY1;TESMIN;IRF6;LCORL;RBM23;MCM2;SMARCD1;PRKAA1;SMARCD2;HDAC3;ZNF195;HDAC1;ZBTB46;TAF9;TGFBRAP1;LRP5;ZBTB43;TULP3;FOXK2;ZBTB42;RNF6;FOXK1;MLLT3;NR2C2;ACVR1B;RNF2;HDAC6;BICRA;CIART;LRP6;TFPT;IFNL1;WNT11;ERBB4;SAP30L;ATXN1L;MXI1;TP53INP1;E2F1;E2F3;ASCC2;E2F4;E2F6;ZNF740;TCFL5;TBX1;MLXIP;SPEN;KDM4A;TCF7L2;IRX2;KDM4C;TAF12;MAPK14;TBX3;USF1;REST;KLF5;KANSL1;TNIP2;PITHD1;CARM1;ZNF737;KANSL3;NAA16;TAF4;SSBP2;ZNF730;TRIM33"
"DNA Replication (GO:0006260)","29/73",1.48833460179648e-07,6.53378890188653e-05,0,0,3.86042201088657,60.68752438581,"MCM7;MCM8;POLB;POLD3;TBRG1;RECQL5;RNASEH1;TOP1MT;POLD1;CHEK1;REV3L;POLL;POLE;POLG;RFC5;UPF1;RFC3;RFC2;WDR18;RPA1;RPA2;WRNIP1;BAZ1A;FAM111A;POLA2;POLG2;CDK2;MCM4;MCM2"
