"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"E2F Targets","61/200",8.12488071098208e-09,4.06244035549104e-07,0,0,2.58453612892567,48.1456042879348,"MRE11;MCM7;DSCC1;CCP110;BUB1B;HMGB3;PSIP1;CTCF;MKI67;SMC3;LMNB1;CDC20;PTTG1;CHEK1;POLE;LBR;TCF19;HELLS;TIPIN;RFC3;LIG1;EED;RFC2;HUS1;CTPS1;KIF22;TUBG1;CIT;MSH2;DEPDC1;MCM4;TP53;ASF1B;MCM2;NUP205;DNMT1;CDCA3;AURKB;AURKA;POLD3;CCNB2;RACGAP1;UBR7;POLD1;BARD1;GINS1;CDKN2C;RRM2;CDKN2A;PLK1;RPA1;RPA2;NUP153;MLH1;POLA2;RAD50;WEE1;NCAPD2;RAD1;SPC24;CDKN3"
"Glycolysis","57/200",3.23411266037234e-07,8.08528165093084e-06,0,0,2.34368758413234,35.024866581718,"PLOD2;PYGL;ENO2;HK2;HS2ST1;GYS1;NSDHL;CASP6;GMPPA;SOX9;SLC37A4;PPFIA4;RARS1;CHPF2;GLCE;PHKA2;SAP30;DEPDC1;PKP2;CHST1;SLC25A10;KDELR3;ALDH7A1;DLD;DSC2;PAXIP1;ABCB6;IDUA;AK3;NOL3;CENPA;CACNA1H;CLN6;AURKA;FUT8;MXI1;BPNT1;GPC4;ANKZF1;LHPP;EGLN3;SLC35A3;HOMER1;GOT1;BIK;AGL;IDH1;PMM2;ECD;GCLC;GALE;GNPDA1;PSMC4;P4HA2;POLR3K;PFKP;GALK1"
"G2-M Checkpoint","56/200",7.654877830566e-07,1.275812971761e-05,0,0,2.28565088186485,32.1882558567743,"CCNT1;CCNF;HMGB3;CTCF;MKI67;LMNB1;CDC20;CHAF1A;PTTG1;EXO1;CHEK1;NUSAP1;NEK2;KMT5A;LBR;POLE;UPF1;HUS1;KIF23;LIG3;KIF22;SAP30;CCNA2;DBF4;INCENP;MCM2;NOTCH2;DTYMK;CUL5;CUL1;CENPA;AURKB;AURKA;PURA;CCNB2;RACGAP1;MAP3K20;E2F1;E2F3;E2F4;BARD1;GINS2;CDKN2C;PLK1;RPA2;FANCC;CDC6;MAPK14;TPX2;SQLE;UCK2;POLA2;CENPF;PRC1;MNAT1;CDKN3"
"DNA Repair","42/150",1.75162401735014e-05,0.000218953002168768,0,0,2.27942927372585,24.9651803699708,"GTF3C5;CETN2;GMPR2;TAF9;AK3;AAAS;TYMS;POLB;POLD3;NT5C;POLD1;POLR2D;PDE4B;REV3L;NELFB;POLL;POLR2G;RAE1;POLH;NELFE;RFC5;SF3A3;RFC3;LIG1;TAF12;POLR3GL;RFC2;UPF3B;RPA2;VPS37B;TARBP2;NUDT9;POLA2;RRM2B;NFX1;POLR1C;ERCC5;HPRT1;UMPS;TP53;CCNO;ITPA"
"mTORC1 Signaling","48/200",0.000310593851243698,0.00310593851243698,0,0,1.84999908847283,14.9424878586542,"PPP1R15A;IDI1;GSK3B;NUP205;PSMD12;CCNF;PLOD2;SLC1A5;HMGCR;HK2;TM7SF2;AURKA;EBP;TBK1;RDH11;SC5D;SLC37A4;ABCF2;PSPH;PGM1;PDK1;MAP2K3;EGLN3;RRM2;GOT1;SRD5A1;IDH1;IFRD1;PLK1;CYP51A1;RPA1;ASNS;IMMT;TUBG1;UCHL5;SQLE;GCLC;PSMC6;PSMC4;PSAT1;DDIT3;MCM4;TRIB3;PSMG1;HPRT1;DHCR7;EEF1E1;MCM2"
"Estrogen Response Early","46/200",0.00108090840395775,0.00900757003298125,0,0,1.74847271108953,11.9419872718621,"RET;SCARB1;NXT1;MINDY1;PEX11A;WWC1;ASB13;HR;NADSYN1;CELSR1;AQP3;CELSR2;RAPGEFL1;SLC7A2;IGF1R;ABLIM1;DEPTOR;MYB;BAG1;NRIP1;SFN;FLNB;ANXA9;RRP12;SLC19A2;CA12;SVIL;MREG;SLC37A1;TGIF2;WFS1;ABCA3;KAZN;NAV2;RHOD;OVOL2;AR;KRT15;RARA;BLVRB;TFF1;MAPT;DHCR7;RAB17;RETREG1;TJP3"
"Mitotic Spindle","45/199",0.00174560170549974,0.0121161091903544,0,0,1.70987057924774,10.858799794945,"CEP57;NOTCH2;RABGAP1;TUBGCP2;ITSN1;TUBD1;SMC3;HDAC6;LMNB1;AURKA;CCNB2;RACGAP1;NUSAP1;CEP250;FLNB;NEK2;KNTC1;PCNT;ECT2;CLASP1;NCK1;MID1IP1;PLK1;KIF23;KIF22;ARHGAP27;CDC42BPA;CKAP5;CD2AP;BCR;LATS1;ANLN;TPX2;CENPF;INCENP;PRC1;ALMS1;TAOK2;ABI1;ARHGEF3;TUBGCP6;TUBGCP3;RAPGEF6;RAB3GAP1;BCAR1"
"Oxidative Phosphorylation","45/200",0.00193857747045671,0.0121161091903544,0,0,1.69873869851546,10.6099835859268,"ISCA1;MTRR;MAOB;ABCB7;COX15;MRPS11;MRPS12;HTRA2;MRPL15;ETFB;PDHB;MRPL34;HSD17B10;TIMM50;RHOT1;GRPEL1;AIFM1;OPA1;NNT;MPC1;MFN2;ATP6V1H;COX11;PMPCA;ACADM;ATP6V1C1;IDH3A;TOMM70;BCKDHA;NDUFA8;CPT1A;NQO2;PHYH;PDHA1;MRPS22;IDH1;IMMT;PDP1;ALDH6A1;NDUFS7;SUCLG1;NDUFS1;DLD;SLC25A4;FXN"
"Myc Targets V2","17/58",0.00316380504285067,0.0175766946825037,0,0,2.4190307427406,13.9238922075823,"PUS1;PLK1;PPAN;WDR74;TFB2M;PPRC1;RABEPK;IPO4;HK2;SRM;AIMP2;LAS1L;PES1;MRTO4;MCM4;MPHOSPH10;RRP12"
"Pperoxisome","26/104",0.00380184427868436,0.0190092213934218,0,0,1.94648791108055,10.8463542331204,"IDI1;PEX11A;VPS4B;BCL10;ABCB9;IDE;CLN8;CLN6;RDH11;NUDT19;HRAS;HSD3B7;ACOT8;CADM1;IDH1;SIAH1;PEX2;CTPS1;PEX13;GNPAT;CDK7;MSH2;PEX5;CAT;SLC25A4;CRAT"
"Adipogenesis","43/200",0.00575695466731994,0.0261679757605452,0,0,1.60126331368766,8.25826998289626,"SCARB1;SOWAHC;ITSN1;ARAF;ABCB8;MRPL15;SLC1A5;ETFB;GRPEL1;AIFM1;SNCG;ACADM;HADH;DRAM2;MAP4K3;PGM1;IDH3A;BCKDHA;PHYH;CDKN2C;DGAT1;CHUK;FZD4;RIOK3;IDH1;SQOR;IMMT;CMBL;SORBS1;SLC5A6;PPM1B;ARL4A;UCK1;LPCAT3;GPD2;CAT;SUCLG1;SLC25A10;REEP6;DHCR7;DLD;CRAT;MGLL"
"heme Metabolism","42/200",0.00952863510281148,0.0397026462617145,0,0,1.553496654955,7.22912490092259,"ISCA1;NARF;ABCB6;IGSF3;HTRA2;CLCN3;AQP3;RAP1GAP;NUDT4;ALAD;NNT;UROD;MXI1;CIR1;DCAF11;CDR2;HTATIP2;MAP2K3;FN3K;RIOK3;UROS;GLRX5;SLC10A3;ASNS;MBOAT2;SLC30A1;FBXO34;BPGM;GAPVD1;SLC25A38;RNF123;SLC25A37;ALDH6A1;GCLC;DAAM1;SLC6A9;TFDP2;P4HA2;CAT;BLVRB;GCLM;TNRC6B"
"Fatty Acid Metabolism","34/158",0.0127772457395024,0.0491432528442399,0,0,1.60121092837842,6.98142274250657,"IDI1;RAP1GDS1;PDHB;ENO2;HSD17B10;BPHL;PTS;ALAD;NSDHL;AUH;UROD;RDH11;D2HGDH;KMT5A;ACADM;HADH;ACOT8;CPT1A;GABARAPL1;ADSL;PDHA1;IDH1;UROS;NCAPH2;BCKDHB;GRHPR;GPD2;SUCLG2;SUCLG1;REEP6;DLD;CRAT;MGLL;METAP1"
"Notch Signaling","9/32",0.0363818704826025,0.124373767677163,0,0,2.27908704567743,7.55217585517713,"NOTCH2;LFNG;TCF7L2;KAT2A;PSEN2;CUL1;ARRB1;DTX2;SAP30"
"Cholesterol Homeostasis","17/74",0.037312130303149,0.124373767677163,0,0,1.73836922669937,5.71651733011526,"IDI1;PCYT2;ACSS2;CHKA;CYP51A1;HMGCR;TM7SF2;SQLE;NSDHL;EBP;ETHE1;TP53INP1;SC5D;MVD;TRIB3;DHCR7;CPEB2"
"Unfolded Protein Response","23/113",0.0618370340429616,0.193240731384255,0,0,1.48971688034188,4.14625873449514,"TSPYL2;WFS1;DCTN1;NFYB;GOSR2;EIF4A3;EIF2AK3;ASNS;SDAD1;ARFGAP1;CNOT4;TUBB2A;EXOSC4;EXOSC10;BAG3;PSAT1;EXOSC9;SRPRB;KDELR3;TARS1;EXOSC2;DCP2;EXOC2"
"Estrogen Response Late","37/200",0.0785627116380952,0.218229754550264,0,0,1.32389589604847,3.36780329706932,"RET;BTG3;SCARB1;NXT1;HR;ETFB;CELSR2;RAPGEFL1;SERPINA5;SLC2A8;CDC20;PRKAR2B;IMPA2;MYB;BAG1;NRIP1;SFN;FLNB;ANXA9;CA12;GINS2;HOMER2;WFS1;ABCA3;CDC6;OVOL2;GALE;RABEP1;BLVRB;TFF1;HPRT1;MAPT;PKP3;DHCR7;SLC29A1;FGFR3;TJP3"
"p53 Pathway","37/200",0.0785627116380952,0.218229754550264,0,0,1.32389589604847,3.36780329706932,"PPP1R15A;HDAC3;SLC35D1;RGS16;CCP110;NOL8;TRIAP1;RCHY1;ACVR1B;NHLH2;SERTAD3;RAB40C;SFN;CTSF;NUDT15;HRAS;POLH;SLC19A2;PHLDA3;TSPYL2;HEXIM1;JAG2;CDKN2A;ELP1;DNTTIP2;TRAFD1;AEN;CGRRF1;MAPKAPK3;DDIT3;MDM2;TRIB3;ERCC5;MXD1;FGF13;TP53;RAD9A"
"PI3K/AKT/mTOR  Signaling","21/105",0.0834678582181137,0.21965225846872,0,0,1.4568462594372,3.61777706909309,"ATF1;MAP2K3;VAV3;GSK3B;RALB;TRAF2;MAPK8;TBK1;DDIT3;MKNK1;CAMK4;RPS6KA1;CDK2;E2F1;THEM4;TRIB3;RIPK1;SFN;HRAS;PDK1;NCK1"
"Hypoxia","33/200",0.258988260322882,0.639538014914182,0,0,1.1506291345634,1.55446837055828,"PPP1R15A;SCARB1;NEDD4L;ENO2;HK2;NDST2;NDST1;GYS1;CASP6;MXI1;GCNT2;GPC4;SLC37A4;PPFIA4;ANKZF1;PGM1;PDK1;CA12;MAP3K1;SAP30;EFNA1;GRHPR;PPP1R3C;ILVBL;P4HA2;DDIT3;MAFF;KDELR3;INHA;PFKP;MT1E;GALK1;TMEM45A"
"Wnt-beta Catenin Signaling","8/42",0.268605966263956,0.639538014914182,0,0,1.36907896059004,1.79966768697083,"JAG2;KAT2A;MAML1;HDAC11;PSEN2;CUL1;AXIN1;TP53"
"Apical Junction","32/200",0.326180254298005,0.720417482433719,0,0,1.10867247346751,1.24205145189765,"IRS1;SRC;AMIGO2;ATP1A3;THBS3;RRAS;MAP3K20;DHX16;RSU1;IKBKG;LDLRAP1;HADH;PCDH1;HRAS;TMEM8B;GAMT;MAP4K2;ITGA3;TUBG1;MPP5;MAPK14;VAV2;CDK8;NFASC;PPP2R2C;TAOK2;CERCAM;MVD;NECTIN4;CRAT;CRB3;NECTIN1"
"Protein Secretion","16/96",0.331392041919511,0.720417482433719,0,0,1.1637547105173,1.28531259984564,"MON2;VPS4B;GOSR2;STX7;OCRL;CLCN3;RAB22A;NAPG;RAB14;AP1G1;YIPF6;ATP6V1H;VPS45;SEC24D;ATP6V1B1;BET1"
"UV Response Dn","23/144",0.364026726943127,0.753978064408065,0,0,1.10603033330306,1.11767460779226,"NOTCH2;PIAS3;MIOS;IRS1;BCKDHB;PRDM2;CDC42BPA;MAPK14;RND3;NFKB1;IGF1R;VAV2;ATRN;SCAF8;SIPA1L1;PRKAR2B;SLC22A18;SPOP;AGGF1;MAP2K5;MGLL;MT1E;BMPR1A"
"Bile Acid Metabolism","18/112",0.376989032204032,0.753978064408065,0,0,1.11407814790772,1.08682688760545,"BCAR3;PEX16;IDI1;HSD3B7;PHYH;PEX19;PEX11A;ABCA3;IDH1;PEX13;PEX26;GNPAT;AR;SLC22A18;RBP1;CAT;GCLM;SLC29A1"
"Reactive Oxygen Species Pathway","8/49",0.431728250101263,0.830246634810121,0,0,1.13486713275059,0.953241793145323,"GCLC;TXNRD2;CAT;GLRX2;GCLM;HMOX2;SCAF4;PFKP"
"Spermatogenesis","19/135",0.615607566649827,0.999995217802679,0,0,0.952033371174495,0.46187478735873,"RPL39L;BRAF;IDE;SPATA6;SIRT1;MLF1;AURKA;CCNB2;PCSK1N;ARL4A;DBF4;CAMK4;PHKG2;RAD17;NEK2;PSMG1;IP6K1;STAM2;CDKN3"
"UV Response Up","22/158",0.639746245654002,0.999995217802679,0,0,0.940101169200945,0.419927842702614,"RET;BTG3;DGAT1;CHKA;TGFBRAP1;ASNS;GGH;ENO2;AQP3;HSPA13;RXRB;CDC34;POLG2;GRPEL1;SPR;UROD;CDK2;BID;TARS1;SLC25A4;ATP6V1C1;NUP58"
"Apical Surface","5/44",0.793711278345825,0.999995217802679,0,0,0.744989936116216,0.17211913218334,"CRYBG1;ATP8B1;NCOA6;LYPD3;TMEM8B"
"Angiogenesis","4/36",0.795034311877342,0.999995217802679,0,0,0.726415899010577,0.166618018871211,"JAG2;SERPINA5;VAV2;FGFR1"
"IL-2/STAT5 Signaling","25/199",0.827683646400395,0.999995217802679,0,0,0.833975194533318,0.157724947503063,"ECM1;RGS16;SLC1A5;IKZF2;LCLAT1;IKZF4;HK2;IGF1R;CD79B;SPRED2;DCPS;GABARAPL1;PUS1;RHOH;CDC6;FAM126B;UCK2;ARL4A;CDCP1;P2RX4;PTRH2;MAFF;IRF6;UMPS;MXD1"
"Myogenesis","25/200",0.834849572353247,0.999995217802679,0,0,0.829160530191458,0.149666562855849,"FLII;PSEN2;CACNA1H;ABLIM1;EFS;MB;BAG1;PPFIA4;EPHB3;SH2B1;TEAD4;SVIL;AGL;IFRD1;SORBS1;NAV2;OCEL1;KLF5;PPP1R3C;TNNT1;PICK1;TCAP;MAPRE3;CRAT;PVALB"
"Apoptosis","19/161",0.876292446371634,0.999995217802679,0,0,0.776524372572886,0.102544237304576,"BTG3;DFFA;DIABLO;BIK;PSEN2;BCL10;PSEN1;ENO2;EBP;GNA15;PAK1;WEE1;CASP6;DDIT3;MADD;CDK2;RARA;SC5D;BID"
"Androgen Response","11/100",0.884921094825137,0.999995217802679,0,0,0.717564057240351,0.0877270828060252,"IDI1;APPBP2;HOMER2;ZBTB10;PGM3;CENPN;RRP12;HMGCR;GPD1L;SEC24D;CAMKK2"
"TGF-beta Signaling","5/54",0.913864385591729,0.999995217802679,0,0,0.592602911471756,0.0533775772534873,"BCAR3;PPP1R15A;HDAC1;TRIM33;BMPR1A"
"Hedgehog Signaling","3/36",0.914914636856834,0.999995217802679,0,0,0.528091281160858,0.046960258999382,"TLE1;CELSR1;AMOT"
"Myc Targets V1","23/200",0.919252780165239,0.999995217802679,0,0,0.753600918855156,0.0634487770619254,"TOMM70;PRPS2;HDDC2;SF3A1;RRM1;MCM7;IFRD1;CAD;CUL1;CTPS1;TYMS;SRM;CDC20;CCNA2;AIMP2;PSMC6;PSMC4;CDK2;MCM4;PRPF31;HPRT1;ABCE1;MCM2"
"Xenobiotic Metabolism","23/200",0.919252780165239,0.999995217802679,0,0,0.753600918855156,0.0634487770619254,"ABCC3;GABARAPL1;SLC35D1;IDH1;SLC1A5;CSAD;PTGR1;ESR1;BPHL;PTS;RAP1GAP;GCLC;NFS1;TKFC;CASP6;TTPA;CAT;GCNT2;BLVRB;ASL;HPRT1;ACOX3;BCAR1"
"KRAS Signaling Dn","23/200",0.919252780165239,0.999995217802679,0,0,0.753600918855156,0.0634487770619254,"GAMT;BARD1;KMT2D;TFAP2B;CAMK1D;GTF3C5;IDUA;CLSTN3;LYPD3;MACROH2A2;CELSR2;THNSL2;SSTR4;LFNG;SNN;MFSD6;KRT15;MSH5;PRODH;SLC25A23;FGFR3;SPTBN2;ATP6V1B1"
"Pancreas Beta Cells","3/40",0.945996970333477,0.999995217802679,0,0,0.470889716455883,0.026141872316024,"NEUROD1;SRPRB;SYT13"
"KRAS Signaling Up","22/200",0.947086590737731,0.999995217802679,0,0,0.716497529478471,0.0389522112747434,"CBX8;PPP1R15A;MAP3K1;GALNT3;H2BC3;RGS16;AMMECR1;BPGM;CBL;PTBP2;GADD45G;ANO1;YRDC;PCSK1N;SLPI;MALL;STRN;SOX9;AVL9;TRIB2;TSPAN1;SDCCAG8"
"Interferon Alpha Response","8/97",0.980334269374217,0.999995217802679,0,0,0.521329888715293,0.0103544844409017,"HELZ2;NUB1;RIPK2;MVB12A;TRIM25;TRAFD1;TRIM14;TRIM26"
"TNF-alpha Signaling via NF-kB","19/200",0.988881593494784,0.999995217802679,0,0,0.607803014801173,0.00679564978994223,"MAP2K3;KDM6B;PPP1R15A;BTG3;RIPK2;ZBTB10;NFKB1;EFNA1;YRDC;SNN;TUBB2A;TNIP2;MAFF;REL;SLC16A6;PDE4B;PHLDA2;MXD1;NFE2L2"
"IL-6/JAK/STAT3 Signaling","6/87",0.991856145408693,0.999995217802679,0,0,0.429523412111326,0.00351229752339758,"PTPN1;IL10RB;ACVR1B;CBL;STAM2;PTPN2"
"Interferon Gamma Response","17/200",0.997009382594608,0.999995217802679,0,0,0.537447986306962,0.00160970951653088,"PTPN1;RIPK2;TRAFD1;BPGM;NFKB1;NUP93;HELZ2;ARL4A;PELI1;PDE4B;TRIM25;TRIM14;TRIM26;RIPK1;RAPGEF6;PTPN2;PFKP"
"Complement","17/200",0.997009382594608,0.999995217802679,0,0,0.537447986306962,0.00160970951653088,"USP8;PRDM4;BRPF3;SRC;PREP;GZMB;PSEN1;PDP1;VCPIP1;AKAP10;RABIF;PIK3CA;GPD2;MAFF;GNB4;RCE1;MSRB1"
"Coagulation","10/138",0.997567701555914,0.999995217802679,0,0,0.452377136752137,0.0011016565283776,"RABIF;PEF1;F12;HPN;MAFF;MST1;PREP;MSRB2;GNG12;DUSP14"
"Allograft Rejection","14/200",0.99973915370377,0.999995217802679,0,0,0.434940898867305,0.000113467521983419,"AARS1;RARS1;RIPK2;CDKN2A;GZMB;TRAF2;MTIF2;BCL10;IKBKB;ELF4;ABI1;ABCE1;SOCS5;NCK1"
"Inflammatory Response","13/200",0.999897882433403,0.999995217802679,0,0,0.401552668855483,4.10076752416289e-05,"RIPK2;RGS16;HPN;PSEN1;ACVR1B;SLC7A2;NFKB1;GNA15;P2RX4;ABI1;PDE4B;ITGB8;MXD1"
"Epithelial Mesenchymal Transition","8/200",0.999995217802679,0.999995217802679,0,0,0.240191891584102,1.14864776694546e-06,"NOTCH2;ECM1;CADM1;MCM7;SGCB;PLOD3;PLOD2;ENO2"
