"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"B Cell Receptor Signaling Pathway (GO:0050853)","17/46",8.04849752095607e-15,2.22219016553597e-11,0,0,19.4775536759922,632.110716718962,"IGHM;ITK;SYK;PRKCB;RFTN1;NFATC2;LIME1;LAT2;CD79A;PTPRC;LCK;PLCG2;BTK;CD38;CTLA4;NCKAP1L;MNDA"
"Antigen Receptor-Mediated Signaling Pathway (GO:0050851)","26/134",2.68184751105362e-14,2.83538296559899e-11,0,0,8.09123757904246,252.848628640295,"IGHM;ITK;CD3E;CD3D;CD79A;PLCG2;CD38;CTLA4;NCKAP1L;TRDC;FYB1;SYK;PRKCB;RFTN1;NFATC2;BTN3A2;LAX1;LIME1;LAT2;PTPRC;CD8A;LCK;BTK;CD28;MNDA;CD247"
"Inflammatory Response (GO:0006954)","34/236",3.08082176631545e-14,2.83538296559899e-11,0,0,5.70909281740895,177.615557715993,"CCL13;CSF1R;CIITA;CCL4L1;GPR68;C5AR1;ITGB2;LOXL3;LY75;FPR3;CXCL1;LIAS;ITGAL;PIK3CG;CCRL2;C3AR1;CCR7;CD14;CCL19;CCR5;TNFRSF4;APOL2;KLRG1;AOC3;CD96;TGFB1;HSPG2;TLR1;CXCL10;CD40LG;IL2RA;ACKR1;TLR4;TLR3"
"Positive Regulation Of Cytokine Production (GO:0001819)","38/320",4.89291055515169e-13,3.37733151069346e-10,0,0,4.58395800206961,129.936043266201,"CD86;ITK;CSF1R;TANK;PIK3CG;PLCG2;CASP1;HMOX1;SLAMF6;CCR7;CD14;CCL19;CD58;TIGIT;SLAMF1;HAVCR2;TGFB1;SYK;IL1R1;RFTN1;BTN3A2;IL17RA;BATF;FOXP1;TLR1;CD2;CD40LG;PTPRC;STING1;CD6;POU2AF1;CD28;CD226;TLR7;LTB;TLR4;CD200;TLR3"
"T Cell Activation (GO:0042110)","20/111",1.0706603999186e-10,5.91218672835049e-08,0,0,7.31678666161425,167.975680560015,"CD86;ITK;CD84;RHOH;CD3E;CD3D;PIK3CG;CD2;PTPRC;CASP8;CD8A;LCK;CD28;SLAMF7;SLAMF6;TRDC;CCR7;CCL19;CD247;TNFRSF4"
"Regulation Of B Cell Proliferation (GO:0030888)","13/44",3.09694388178783e-10,1.42511034293603e-07,0,0,13.8372808704732,302.973285942071,"SASH3;CD300A;NFATC2;TNFRSF13C;PTPRC;GPR183;MZB1;CD38;CTLA4;NCKAP1L;ATM;MNDA;TNFRSF4"
"Cytokine-Mediated Signaling Pathway (GO:0019221)","29/257",9.91308255412554e-10,3.79296198894056e-07,0,0,4.27065474544505,88.5391952851731,"CCL13;CSF1R;CEBPA;PLVAP;SPI1;CCL4L1;CSF2RB;CXCL1;IL2RG;CSF2RA;STAT4;PTK2B;CCL19;JAK3;IL15RA;SYK;IL1R1;TRAF1;TNFRSF1B;LILRB4;IL17RA;HCK;CXCL10;CXCL12;AIM2;IL2RA;IL2RB;IL7R;BIRC3"
"Cellular Response To Cytokine Stimulus (GO:0071345)","32/308",1.09901107973649e-09,3.79296198894056e-07,0,0,3.90365380689937,80.5279086647163,"CCL13;RIPOR2;CSF1R;CEBPA;SELPLG;CCL4L1;DOCK8;TCF7;LEF1;CSF2RB;IL2RG;TANK;CSF2RA;STAT4;CASP1;CCR7;CCL19;CD58;JAK3;SH2B3;GBP4;GBP3;PYHIN1;LILRB4;HCK;CXCL12;AIM2;IL2RB;IRF8;MNDA;IL7R;TLR4"
"Negative Regulation Of T Cell Activation (GO:0050868)","13/49",1.36492565901748e-09,4.18728860505252e-07,0,0,11.9123604012871,243.157076438724,"CD86;RIPOR2;PDCD1LG2;LAX1;LILRB4;VSIR;SPN;NCKAP1L;VSIG4;TIGIT;JAK3;PAG1;HAVCR2"
"Positive Regulation Of Lymphocyte Proliferation (GO:0050671)","15/74",4.28459639342812e-09,1.18297706422551e-06,0,0,8.40547588005215,161.958722199352,"CD86;SASH3;NFATC2;TNFRSF13C;PDCD1LG2;CD3E;CD40LG;PTPRC;CD6;GPR183;CD28;CD38;NCKAP1L;CCL19;TNFRSF4"
"Regulation Of Type II Interferon Production (GO:0032649)","16/87",5.81022956338914e-09,1.45836762041067e-06,0,0,7.45861470191009,141.442527030746,"IL1R1;BTN3A2;PDCD1LG2;INHBA;LILRB4;VSIR;CD2;CCR7;CD226;TLR7;SLAMF6;CD14;TLR4;TLR3;HAVCR2;SLAMF1"
"Regulation Of T Cell Proliferation (GO:0042129)","15/77",7.62637410247582e-09,1.61092831240785e-06,0,0,7.99751861042184,149.486845290476,"CD86;TNFRSF13C;PDCD1LG2;CD3E;TNFRSF1B;LILRB4;SPN;CD40LG;PTPRC;CD6;CD28;NCKAP1L;TNFSF8;VSIG4;CCL19"
"Regulation Of Tumor Necrosis Factor Production (GO:0032680)","19/127",8.01585142050846e-09,1.61092831240785e-06,0,0,5.84158857652834,108.897987793485,"CD84;SYK;LY96;LILRB4;VSIR;FOXP1;CLEC4A;SPN;TLR1;CD2;PTPRC;PLCG2;CD14;CCL19;TLR4;CD33;TLR3;SLAMF1;HAVCR2"
"Positive Regulation Of Response To External Stimulus (GO:0032103)","21/155",8.16841592673303e-09,1.61092831240785e-06,0,0,5.21467790580775,97.1128988519767,"PDGFRB;CEBPA;TGFB1;RARRES2;LY86;LY96;TREM2;IL17RA;AIM2;PLAU;CASP4;CASP1;EMILIN2;EMILIN1;TLR7;NLRP1;CCL19;SCARF1;TLR4;GPSM3;TLR3"
"Cellular Defense Response (GO:0006968)","12/48",1.23685292886259e-08,2.27663395772641e-06,0,0,10.9773242630385,199.876333735709,"SPN;ITK;FCMR;NCF1;GNLY;C5AR1;PRF1;LY96;PTK2B;MNDA;CCR5;KLRG1"
"Positive Regulation Of T Cell Activation (GO:0050870)","17/107",1.95229685306584e-08,3.14311474195864e-06,0,0,6.25633695445016,111.060455245502,"CD86;DOCK8;RHOH;TNFRSF13C;PDCD1LG2;CD3E;PTPRC;CD40LG;CD6;LCK;CD28;NCKAP1L;CCR7;CCL19;HLA-DOA;HLA-DQA2;HLA-DQA1"
"Regulation Of Interleukin-12 Production (GO:0032655)","12/50",2.0403564595628e-08,3.14311474195864e-06,0,0,10.3984962406015,184.131956745236,"CD40LG;SYK;PLCG2;CCR7;LTB;CCL19;TIGIT;JAK3;TLR4;TLR3;FOXP1;SLAMF1"
"Myeloid Leukocyte Differentiation (GO:0002573)","14/71",2.0491150074341e-08,3.14311474195864e-06,0,0,8.10735884078798,143.526784821976,"CEBPA;CSF1R;BATF3;SPI1;CSF1;LIF;TREM2;MMP9;FOXP1;CASP8;UBD;GPR183;CCR7;CCL19"
