"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Allograft Rejection","47/200",9.82634914465662e-29,4.32359362364891e-27,0,0,10.6916403692279,689.50282071699,"CD86;ITK;CCL13;SPI1;CSF1;GPR65;NCF4;ITGB2;PRF1;LY75;CD3E;ITGAL;IL2RG;CD3D;CD79A;CCND2;SIT1;CXCR3;STAT4;CCL19;CCR5;HLA-DOA;HLA-DQA1;MAP4K1;CD96;FYB1;TGFB1;PRKCB;GZMA;LIF;LY86;INHBA;MMP9;TLR1;CD2;CD40LG;PTPRC;CD8A;LCK;IL2RA;IL2RB;CD28;FAS;IRF8;LTB;CD247;TLR3"
"KRAS Signaling Up","35/200",2.61634966615462e-17,5.75596926554016e-16,0,0,7.22150710646286,275.73278666071,"SPON1;ADAMDEC1;MTMR10;PLVAP;CFH;ITGB2;F13A1;LY96;IKZF1;PRDM1;TFPI;IL2RG;CSF2RA;CCND2;PLAU;EPB41L3;C3AR1;CD37;MAP4K1;PRRX1;FUCA1;IL10RA;LIF;PDCD1LG2;INHBA;TRAF1;TNFRSF1B;MMP9;LAT2;CLEC4A;CXCL10;IRF8;IL7R;DOCK2;BIRC3"
"IL-2/STAT5 Signaling","33/199",1.12500941558529e-15,1.65001380952509e-14,0,0,6.74360935806719,232.121676491646,"CD86;CD83;CSF1;GPR65;FGL2;SLC2A3;IKZF2;CST7;CCND2;CTLA4;CCR4;TNFRSF4;GBP4;TGM2;BATF3;PRKCH;IL10RA;PTCH1;LIF;RHOH;TRAF1;TNFRSF1B;BATF;ADAM19;CXCL10;ARL4A;SELL;IL2RA;IL2RB;IRF8;TLR7;CD48;LTB"
"Inflammatory Response","29/200",2.08603375505322e-12,2.29463713055854e-11,0,0,5.7111356909495,153.60531532638,"CALCRL;CSF1;C5AR1;KCNA3;GPR132;CCRL2;C3AR1;CCR7;CD14;SCARF1;SLAMF1;IL15RA;GCH1;SLC31A2;IL1R1;IL10RA;LIF;INHBA;TNFRSF1B;TLR1;CXCL10;SELL;LCK;GPR183;IL2RB;CD48;CD69;IL7R;TLR3"
"Interferon Gamma Response","28/200",1.19247190698928e-11,1.04937527815056e-10,0,0,5.47227191413238,137.640813887565,"CD86;SAMD9L;CIITA;MARCHF1;CFH;FGL2;CSF2RB;HELZ2;KLRK1;CASP8;CASP4;STAT4;CASP1;SLAMF7;ST3GAL5;CD38;HLA-DQA1;GBP4;IL15RA;GCH1;IL10RA;GZMA;CXCL10;ARL4A;IL2RB;FAS;IRF8;CD69"
"IL-6/JAK/STAT3 Signaling","18/87",8.43900233516347e-11,6.18860171245321e-10,0,0,8.6647243388615,200.983236638768,"IL15RA;TGFB1;CSF1;ITGA4;IL1R1;CXCL1;CSF2RB;TNFRSF1B;IL2RG;CSF2RA;IL17RA;CXCL10;IL2RA;CD38;HMOX1;FAS;LTB;CD14"
"Epithelial Mesenchymal Transition","23/200",3.78213961333738e-08,2.37734489981207e-07,0,0,4.32912297192766,73.9864036677158,"PDGFRB;LRRC15;NNMT;TGFB1;PRRX1;MMP1;FUCA1;COL11A1;COL12A1;MMP3;CXCL1;INHBA;COMP;ACTA2;SFRP4;GJA1;DAB2;CXCL12;FAP;ADAM12;FAS;TGM2;FBN1"
"TNF-alpha Signaling via NF-kB","22/200",1.64837306918166e-07,8.05871278266588e-07,0,0,4.11029897748921,64.19591075031,"IL15RA;EGR2;CD83;GCH1;CSF1;TIPARP;PLEK;LIF;CXCL1;SLC2A3;INHBA;TRAF1;TANK;CXCL10;NR4A3;PLAU;GPR183;KYNU;CCRL2;CD69;IL7R;BIRC3"
"Complement","22/200",1.64837306918166e-07,8.05871278266588e-07,0,0,4.11029897748921,64.19591075031,"APOBEC3F;CFH;APOBEC3G;ERAP2;NOTCH4;GZMA;PLEK;CXCL1;C4BPB;LIPA;PIK3CG;DOCK10;GZMK;ZEB1;CD40LG;GNG2;LCK;KYNU;SPOCK2;CASP4;CASP1;SH2B3"
"Apoptosis","17/161",7.22804624464905e-06,3.18034034764558e-05,0,0,3.89927577663427,46.1578399459896,"PDGFRB;GCH1;GPX3;LEF1;PRF1;CD2;CCND2;CASP8;MADD;CASP4;CASP1;HMOX1;CD38;FAS;CD14;CD69;BIRC3"
"p53 Pathway","17/200",0.00011713930333392,0.000468557213335681,0,0,3.06206825445922,27.7182910589088,"CYFIP2;PLK3;CEBPA;TGFB1;ABHD4;FUCA1;LIF;IRAG2;AEN;DEF6;CCND2;TCN2;MDM2;CASP1;HMOX1;FAS;ADA"
"Interferon Alpha Response","11/97",0.00015558981041287,0.000570495971513857,0,0,4.19421960753346,36.7761230807708,"HELZ2;CXCL10;SAMD9L;CASP8;CSF1;UBA7;SELL;LPAR6;CCRL2;CASP1;GBP4"
"Xenobiotic Metabolism","14/200",0.00294325185439763,0.00942180763496483,0,0,2.46794377775331,14.383769225577,"CYFIP2;ALAS1;GCH1;IL1R1;SMOX;ENTPD5;GNMT;PINK1;KYNU;PDK4;HMOX1;FAS;IRF8;PTGDS"
"Coagulation","11/138",0.00299784788385245,0.00942180763496483,0,0,2.83415103672313,16.4660224988164,"COMP;CFH;VWF;DCT;PLAU;MMP1;PLEK;MST1;MMP3;MMP9;FBN1"
"Wnt-beta Catenin Signaling","5/42",0.00813190276583224,0.0238535814464412,0,0,4.3976833976834,21.1614780987089,"CCND2;NOTCH4;PTCH1;LEF1;TCF7"
"Apical Junction","12/200",0.0178801647590649,0.0491704530874285,0,0,2.08554059921841,8.39234737464287,"CD86;FYB1;PTPRC;SYK;VWF;ICAM2;TSPAN4;RAC2;RHOF;TRAF1;MMP9;FBN1"
"UV Response Dn","9/144",0.0297653757523367,0.0754423670965547,0,0,2.17315284827975,7.63734890300915,"PDGFRB;GJA1;DAB2;CELF2;COL11A1;DLC1;RASA2;NR3C1;TFPI"
"Androgen Response","7/100",0.0308627865394997,0.0754423670965547,0,0,2.45061560499737,8.52374134276103,"STEAP4;MAF;DNAJB9;PTK2B;GPD1L;IQGAP2;MERTK"
"heme Metabolism","11/200",0.0393237777739414,0.0910655906343906,0,0,1.89830310543384,6.14276820513962,"MPP1;KAT2B;MINPP1;SMOX;BMP2K;ATG4A;ACKR1;CLIC2;NR3C1;TENT5C;EZH1"
"Apical Surface","3/44",0.144882152371483,0.311227259520906,0,0,2.37271724476039,4.58369729146657,"IL2RB;MAL;IL2RG"
"Estrogen Response Early","9/200",0.14854028295316,0.311227259520906,0,0,1.53153320753714,2.92047928258674,"GJA1;FCMR;CXCL12;BCL11B;TIPARP;DLC1;CCN5;MAPT;TGM2"
"PI3K/AKT/mTOR  Signaling","5/105",0.207819851933483,0.415639703866966,0,0,1.6218487394958,2.54806007150683,"PRKCB;LCK;MKNK1;SLA;IL2RG"
"TGF-beta Signaling","3/54",0.220137280328583,0.42113218845468,0,0,1.90649325056656,2.8854850191373,"TGFB1;ID3;LTBP2"
"Adipogenesis","8/200",0.25317308481786,0.46415065549941,0,0,1.35191441441441,1.8571003539268,"ARL4A;COL15A1;FABP4;GPX3;LAMA4;NABP1;DNAJB9;TANK"
"Hypoxia","7/200",0.393657531160331,0.666189668117484,0,0,1.17475032547248,1.09518913549539,"PLAC8;TIPARP;CCN5;HMOX1;SLC2A3;NR3C1;TGM2"
"Estrogen Response Late","7/200",0.393657531160331,0.666189668117484,0,0,1.17475032547248,1.09518913549539,"UNC13B;CXCL12;CCN5;MAPT;TPSAB1;CXCL14;BATF"
"Bile Acid Metabolism","4/112",0.434281100728474,0.70771734933529,0,0,1.1988565746955,0.99992221938582,"LCK;ALDH1A1;HSD17B11;GNMT"
"UV Response Up","5/158",0.515362969802029,0.809856095403189,0,0,1.05712088757071,0.700748343611932,"ALAS1;GCH1;GPX3;HMOX1;C4BPB"
"Mitotic Spindle","6/199",0.552647420612571,0.817761458879163,0,0,1.00523368399016,0.596138814624489,"BIN1;RASA2;ARHGEF3;RHOF;DOCK2;ARHGAP4"
