"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Gene Expression (GO:0010467)","196/296",1.70902733454433e-53,8.69040399615791e-50,0,0,6.35786345035537,772.487310871035,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;HNRNPU;ADARB1;RPL8;RPL9;RPL6;RPL7;GLE1;RPS15;RPS14;ALKBH5;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;MAGOH;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;AGFG1;DDX17;RPL21;RPL22;MRPS18B;MRPS18A;DDX39A;DDX39B;SARNP;XRN2;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;GSPT1;MRPL10;DEDD2;MRPL11;H3C1;RPL41;MRPL27;MRPL28;MAGOHB;HARS2;MRPL24;HNRNPL;RPS26;SETX;RPS25;RPS28;HNRNPK;RPS27;RPS29;HNRNPF;RPL27A;AGO2;HNRNPD;MPHOSPH10;RPS20;RPS21;RPS24;RPS23;HBS1L;MRPS15;SMG1;MRPS16;MRPS14;RPLP1;MRPS12;RPLP0;MRPL36;MRPL34;SMG7;MRPL35;SMG5;SYNCRIP;XPO1;CASP10;RPLP2;UPF2;PABPC4;MRPS21;MRPL43;MRPS5;MRPL52;MRPL51;HNRNPH1;HNRNPH3;FYTTD1;MRPS33;RPL12;RPL11;MRPL55;EXOSC6;RBM15B;EXOSC10;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;EXOSC3;RPL18;RPS27A;RPL17;EXOSC1;RPL19;HNRNPA2B1;FAU;CASC3;RPL10A;KPNA4;RPS9;RPS7;RPS8;RPS5;RPS6;RPSA;THOC7;HNRNPUL1;DKC1;DNAJB11;SRSF3;RBM8A;YTHDC1;NUP160;ATXN1;TPR;EIF4EBP2;CHTOP;RBPMS;ALYREF;COPS5;EIF4G1;ADAR;BICD1;RBM3;RPS4X;MRPL3;RBM4;RPL7A;CASP3;MRPL9;RBM5;RBM6;NCBP1;NUP133;NCBP2;DHPS;DDX54;RPL13A;RPS3A;TFIP11;DARS1;DDX19B;SARS1;RPL37A;RBMS1;RBMS2;DDX20;FURIN;RRBP1;TSPAN33;LMF2;HSPD1;NXF1;PABPN1;MBTPS1;RBM39;GALNT2;GZMB;RPL35A;RPL23A;SORL1;WARS1;TSPAN15;GOLPH3;TSPAN14;TNIP1;RPS6KB2"
"Translation (GO:0006412)","164/234",4.36550853285616e-50,1.10993054447868e-46,0,0,7.56279297173415,859.553167588762,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;CHCHD1;RPS13;RARS2;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;GTPBP1;FTSJ1;TUFM;LARS1;RPL24;RPL27;RPL26;AURKAIP1;RPL29;RPL28;UBA52;DAP3;MRPL18;MRPL16;MRPL17;MRPL14;MRPL12;GSPT1;MRPL10;MRPL11;MRPL20;EIF4EBP2;ZC3H15;RPL41;MRPL27;MRPL28;HARS2;MRPL24;MRPL21;MRPL22;RPS26;RPS25;RPS28;RPS27;COPS5;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;RPS23;EIF4G1;HBS1L;MRPS15;MRPS16;MRPS14;RPLP1;MRPS12;RPLP0;MRPL38;MRPS10;MRPL36;MRPL34;MRPL35;MRPL33;MRPL4;RPS4X;MRPL3;RPL7A;QARS1;MTG1;RACK1;RPLP2;MRPL9;EIF5A;TSFM;MRPS26;MRPS27;MRPS24;PABPC4;DHPS;MARS1;MRPS2;MRPS21;RPL13A;RPS3A;MRPL48;MRPL45;MRPL43;MRPS5;DARS1;MRPL52;EEF1G;MRPL53;SARS1;MRPL51;EEF1D;RPL37A;ETF1;MRPS33;RPL12;MRPS34;RPL11;RRBP1;MRPL57;MRPL54;MRPL55;RPS15A;RPL14;RPS3;RPL13;IARS2;RPL15;RPS2;IARS1;RPL18;RPS27A;RPL17;RPL19;GADD45GIP1;PTCD3;RWDD1;NDUFA7;GATC;RPL35A;RPL23A;WARS1;GARS1;TNIP1;RPS6KB2;DRG1;RPL22L1;FAU"
"Cytoplasmic Translation (GO:0002181)","87/93",2.02443377927077e-46,3.43141525586395e-43,0,0,46.2431607744108,4865.41054099302,"EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;FTSJ1;SARS1;RPL37A;RPL24;ETF1;RPL27;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;ZC3H15;RPL19;RWDD1;RPL41;RPL35A;RPL23A;RPS26;RPS25;EIF3M;RPS28;RPS27;RPS29;EIF3I;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23"
"Macromolecule Biosynthetic Process (GO:0009059)","131/183",7.3994042494404e-42,9.40649265210111e-39,0,0,8.08476161688779,765.684928559245,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;GTPBP1;TUFM;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;GSPT1;MRPL10;MRPL11;EIF4EBP2;APOE;ST3GAL2;RPL41;MRPL27;MRPL28;HARS2;MRPL24;RPS26;EXT2;RPS25;RPS28;COPS5;RPS27;COL5A1;RPS29;RPL27A;AGO2;RPS20;RPS21;EIF4G2;RPS24;EIF4G1;RPS23;HBS1L;MRPS15;MRPS16;MRPS14;RPLP1;MRPS12;RPLP0;MRPL36;MRPL34;MRPL35;RPS4X;MRPL3;RPL7A;RPLP2;MRPL9;EIF5A;TSFM;PABPC4;DHPS;MRPS21;RPL13A;RPS3A;DARS1;MRPL43;MRPS5;EEF1G;MRPL52;SARS1;MRPL51;EEF1D;RPL37A;B4GALT5;MRPS33;RPL12;RPL11;RRBP1;TYMS;MRPL55;RPS15A;POLD2;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;WARS1;GOLPH3;TNIP1;RPS6KB2;FAU"
"Peptide Biosynthetic Process (GO:0043043)","116/158",5.50630476155268e-39,5.59991194249907e-36,0,0,8.84125303731486,778.869522085724,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;GSPT1;MRPL10;MRPL11;EIF4EBP2;RPL41;MRPL27;MRPL28;HARS2;MRPL24;RPS26;RPS25;RPS28;COPS5;RPS27;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;EIF4G1;RPS23;HBS1L;MRPS15;MRPS16;MRPS14;RPLP1;MRPS12;RPLP0;MRPL36;MRPL34;MRPL35;RPS4X;MRPL3;RPL7A;RPLP2;MRPL9;PABPC4;DHPS;MRPS21;RPL13A;RPS3A;DARS1;MRPL43;MRPS5;MRPL52;SARS1;MRPL51;RPL37A;MRPS33;RPL12;RPL11;FURIN;RRBP1;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;WARS1;TNIP1;RPS6KB2;FAU"
"mRNA Splicing, Via Spliceosome (GO:0000398)","129/211",2.21096166415577e-30,1.87379001037201e-27,0,0,5.03648438713687,343.91193059401,"HNRNPU;HNRNPR;CASC3;EFTUD2;PNN;SNRPD2;SNRPD1;RBMX2;MAGOH;SNRPD3;TXNL4A;DDX17;SRRM2;IK;SNRPN;SCAF11;PRPF4B;SRRM1;WDR77;DDX39A;PRPF6;DDX39B;CLNS1A;PRPF3;SNRPG;SRSF2;SRSF3;PPIH;SNRPE;SRSF4;GEMIN7;SNRPF;SRSF5;SNRNP200;SRSF6;SRSF7;SNRPA;SNRPB;SRSF9;DDX5;RBM8A;DHX9;YTHDC1;DDX1;SNU13;C9ORF78;HTATSF1;PRPF8;ZMAT2;SMN1;SRPK2;ZRSR2;HSPA8;CWC15;MAGOHB;LSM4;LSM3;SRPK1;LSM2;HNRNPM;LSM7;HNRNPK;SNW1;LSM6;HNRNPF;CWF19L1;RSRP1;PIN1;RNPS1;HNRNPC;ISY1;DDX46;PPWD1;PRPF19;PQBP1;COIL;SYNCRIP;RBM4;SART1;SART3;RSRC1;SNRNP70;DHX15;BCAS2;CTNNBL1;RBM5;RBM6;RBM17;RBM14;NCBP1;NCBP2;BUD31;PRPF40A;TFIP11;SFPQ;HNRNPH1;SYF2;FRG1;STRAP;SNRPA1;HNRNPH3;PABPC1;SLU7;SF3B4;SF3B5;SF3B2;SF3B3;SF3B6;DDX23;SRSF1;DDX20;U2AF1;RNF113A;PUF60;U2AF2;TRA2B;TRA2A;RALY;SNRPB2;HNRNPA1;DCPS;SF3B1;SRSF10;HNRNPA3;SF3A2;HNRNPA2B1;RBM42;RBMX;FRA10AC1"
"mRNA Processing (GO:0006397)","129/214",1.60959530111355e-29,1.16925601516606e-26,0,0,4.85775946047209,322.064521191492,"RAMAC;HNRNPU;HNRNPR;CASC3;EFTUD2;PNN;ALKBH5;SNRPD2;SNRPD1;RBMX2;MAGOH;PAPOLA;SNRPD3;PRKACA;TXNL4A;CMTR1;SRRM2;IK;SNRPN;SCAF11;PRPF4B;FBXO11;SRRM1;DDX39A;PRPF6;DDX39B;PRPF3;SNRPG;SRSF2;SRSF3;PPIH;SNRPE;SRSF4;GEMIN7;SNRPF;SRSF5;SNRNP200;SRSF6;SRSF7;SNRPA;SNRPB;SRSF9;DDX5;RBM8A;YTHDC1;SNU13;C9ORF78;HTATSF1;PRPF8;ZMAT2;RPRD1B;ZRSR2;HSPA8;CPSF7;CPSF6;ALYREF;CWC15;MAGOHB;LSM4;LSM3;LSM2;HNRNPM;LSM7;HNRNPK;SNW1;LSM6;SON;HNRNPF;CWF19L1;PIN1;RNPS1;HNRNPC;ISY1;DDX46;CELF1;PPWD1;PRPF19;SYNCRIP;RBM4;SART1;SART3;RSRC1;SNRNP70;DHX15;BCAS2;CTNNBL1;RBM5;RBM6;RBM14;NCBP1;NCBP2;BUD31;PRPF40A;TFIP11;SFPQ;PRPF18;HNRNPH1;SYF2;FRG1;SNRPA1;HNRNPH3;PABPC1;SLU7;SF3B4;SF3B5;SF3B2;SF3B3;SF3B6;DDX23;SRSF1;U2AF1;RNF113A;U2AF2;TRA2B;TRA2A;RALY;SNRPB2;HNRNPA1;SF3B1;SRSF10;HNRNPA0;HNRNPA3;SF3A2;RPRD2;NUDT21;HNRNPA2B1;RBM42;RBMX;FRA10AC1"
"protein-RNA Complex Assembly (GO:0022618)","100/150",3.11939345749053e-28,1.98276446641742e-25,0,0,6.37729478792994,403.90433296909,"RPL5;RAMAC;RPL10L;RPL6;RPS15;RPS14;RPS19;SNRPD2;SNRPD1;DENR;RPL38;SNRPD3;TXNL4A;EIF2S3B;SCAF11;RPS5;RPSA;WDR77;PRPF6;DDX39B;CLNS1A;SNRPG;SNRPE;GEMIN7;SNRPF;SRSF5;SNRNP200;SRSF6;SNRPB;SRSF9;DHX9;PRKDC;YTHDC1;DDX1;MRPL20;KHDC4;SMN1;MCTS1;SRPK2;ZRSR2;CPSF7;CPSF6;XRCC5;EIF2S2;LSM4;SRPK1;SETX;RPS28;EIF2S3;EIF5;RPS27;AGO1;AGO2;RSRP1;HNRNPC;ISY1;HSP90AB1;CELF1;RPLP0;ADAR;PRPF19;CDC73;COIL;SART1;SART3;RBM5;HSP90AA1;NCBP1;TRAF7;PRPF18;LUC7L3;STRAP;LUC7L2;DDX23;RPL11;SRSF1;DDX20;RPS27L;PUF60;POLR2D;SF3B1;SRSF10;SF3A2;PTGES3;RPL23A;NUDT21;EIF3M;EIF3K;TNIP1;EIF3L;EIF3I;EIF3J;EIF3G;EIF3H;EIF3E;EIF3F;EIF3C;EIF3D;NOP53;EIF3B"
"Regulation Of Apoptotic Process (GO:0042981)","299/705",1.92917470821844e-27,1.08998371014342e-24,0,0,2.39347290640394,147.228993323809,"ANKLE2;TFRC;ARL6IP1;ARAF;PHB2;IKZF3;IFIT3;CCAR1;RPS6KA3;LGALS1;RASSF2;AKT2;MYC;ARL6IP5;TNFSF10;AKT1;CYP1B1;EPC1;EPC2;CCNL2;SOX4;IER3;MAGEA4;MED1;MEF2C;DAPK1;ACTN1;SCRIB;WDR73;ACTN4;DKK1;MAPK8IP3;SFRP2;YME1L1;VDAC1;ATF5;ATF6;ATF4;MEAF6;ANP32A;PRKDC;MAGED1;MAPKAP1;BCL10;OMA1;PIK3R1;MTDH;PRDX3;PRDX2;PRDX5;PDCD10;FADD;ATG7;ZBTB7A;EGR1;JUN;PRELID1;XBP1;EGR3;GADD45B;GADD45A;SIAH2;PLK1;SIAH1;OSGIN1;BRAF;PA2G4;SETX;HNRNPK;PPT1;ANP32E;CD27;RNPS1;ANP32B;CALR;TOP2A;ARF4;HIP1;CITED2;IER3IP1;PTMS;ING4;BABAM2;MYDGF;C1QBP;RACK1;CTSH;CTSD;CTSB;HTATIP2;ANXA1;PRMT2;TNFRSF12A;TSC22D1;ACTL6A;ANXA5;NME2;ANO6;SIRT1;DUSP6;NME1;RHOB;RNF144B;PLSCR3;TAX1BP1;GAS1;GAS6;ARHGEF7;EEF1E1;SGK1;CRYAB;PTMA;CD44;GSTP1;IFI6;XIAP;FSTL1;RELA;PTPA;BCLAF1;RPS3;FLNA;RICTOR;BRD8;BID;PAK2;MAP4K4;CD74;USP17L15;NPM1;EGLN2;STAT1;DKKL1;USP17L12;DHRS2;USP17L3;USP17L11;HIPK3;VEGFA;FABP1;RSL1D1;ITCH;KRT18;TFAP4;AXL;APEX1;STK17B;CTNNB1;TARDBP;HSPA1A;FOXA1;MTCH1;MTCH2;ZFAND6;PDCD5;CIB1;PARK7;UBE2Z;CLU;PYCARD;FAM162A;RUVBL2;ARHGDIA;CFL1;PIM1;PIM3;BNIP3L;PCID2;IGFBP3;RPS6;FBXO11;ATAD3A;MORF4L1;BRMS1;MORF4L2;FKBP8;PPIF;PHIP;NUPR1;IL6ST;RAF1;SQSTM1;PPIA;SLC27A4;NOTCH2;VCP;SHC1;DIABLO;GLO1;HTRA1;FOXO3;HIGD1A;STK4;RTN4;HSP90B1;SOCS3;ARHGAP21;BCL2L11;CALHM2;UBB;DDRGK1;ABL1;IP6K2;MCL1;TXNDC5;HSPA9;NIBAN2;CBX4;HSPA5;API5;RHBDD1;TNFRSF10C;BFAR;NFKB1;HIGD2A;GCLC;COPS5;SON;BCL3;CDK1;NF1;BCL2L2;MAP3K11;BCL2L1;ITGB1;PRR5;RBM25;TNFAIP8;DDX3X;TRADD;HSPB1;ETFA;HMGB1;CASP3;MYO18A;CASP2;DNM1L;IFT57;CTNNBL1;RBM5;HSP90AA1;NAT8B;UTP11;SIGMAR1;PLAUR;RPS3A;YWHAZ;DNM2;DNAJC3;LATS1;HAX1;LATS2;TMBIM4;IRF3;DDAH2;RASA1;CAT;BIRC5;BIRC6;ITGA6;TMBIM6;TNFRSF25;BIRC2;LTF;HDAC2;PRKAA1;HDAC3;DDX20;CBL;THBS1;HSPD1;C3ORF38;TFPT;MIEN1;ERBB2;E2F1;SAP18;BNIP2;FYN;BAK1;VHL;SEMA4D;BAD;STYK1;CFLAR;SOD1;DNAJA1;GOLPH3;UFM1;RPS6KB1;TCIM;BAX;PTPN6;ERCC5;NAA16;QRICH1;NAA15;EVI2B;NOP53"
"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)","111/180",8.69648036992345e-27,4.42216026810607e-24,0,0,5.13503273743839,308.137288764079,"HNRNPU;HNRNPR;CASC3;EFTUD2;PNN;SNRPD2;RBMX2;SNRPD1;MAGOH;SNRPD3;TXNL4A;SRRM2;IK;SNRPN;PRPF4B;SRRM1;DDX39A;PRPF6;DDX39B;PRPF3;SNRPG;SRSF2;SRSF3;PPIH;SNRPE;SRSF4;GEMIN7;SNRPF;SRSF5;SNRNP200;SRSF6;SRSF7;SNRPA;SNRPB;SRSF9;DDX5;RBM8A;YTHDC1;SNU13;C9ORF78;HTATSF1;PRPF8;ZMAT2;HSPA8;ZRSR2;CWC15;MAGOHB;LSM4;LSM3;LSM2;HNRNPM;LSM7;HNRNPK;LSM6;SNW1;HNRNPF;CWF19L1;PIN1;RNPS1;HNRNPC;ISY1;DDX46;PPWD1;PRPF19;RBM4;SART1;SYNCRIP;SART3;RSRC1;SNRNP70;DHX15;BCAS2;CTNNBL1;RBM5;RBM6;RBM14;NCBP1;NCBP2;BUD31;PRPF40A;TFIP11;HNRNPH1;SYF2;FRG1;SNRPA1;HNRNPH3;PABPC1;SLU7;SF3B4;SF3B5;SF3B2;SF3B3;SF3B6;DDX23;SRSF1;U2AF1;RNF113A;U2AF2;TRA2B;TRA2A;RALY;SNRPB2;HNRNPA1;SF3B1;SRSF10;HNRNPA3;SF3A2;HNRNPA2B1;RBM42;RBMX;FRA10AC1"
