"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Myc Targets V1","172/200",6.58566984780236e-77,3.29283492390118e-75,0,0,19.9185466344241,3493.99504876019,"EIF4A1;HDDC2;RPL34;HNRNPU;HNRNPR;PWP1;PHB2;RPL6;UBE2L3;PSMD8;CDC20;EEF1B2;FBL;PSMD7;SNRPD2;TRIM28;SNRPD1;MYC;RUVBL2;PSMD3;PSMD1;SNRPD3;TXNL4A;KPNA2;RPS10;DDX18;SMARCC1;STARD7;EIF1AX;RPS5;RPL22;RPS6;MRPS18B;UBE2E1;ILF2;TUFM;CLNS1A;VDAC3;SRSF2;SNRPG;NHP2;SRSF3;VDAC1;ERH;PPIA;SRSF7;SNRPA;KPNB1;SET;PSMD14;GLO1;CUL1;NOLC1;PHB;GSPT1;PRDX3;LDHA;PRDX4;PCBP1;G3BP1;PGK1;CYC1;XRCC6;CBX3;GOT2;PA2G4;EIF2S2;EIF2S1;SRPK1;LSM2;LSM7;COPS5;CDK4;HNRNPD;UBA2;RNPS1;HNRNPC;EIF4G2;YWHAE;SLC25A3;HSP90AB1;RPLP0;SYNCRIP;XPO1;YWHAQ;C1QBP;RACK1;DHX15;AP3S1;MRPL9;ACP1;CCT3;CCT2;NCBP1;VBP1;NCBP2;PABPC4;RAD23B;NME1;GNL3;CCNA2;PSMA6;PSMA4;TFDP1;PSMA1;PSMA2;CANX;TCP1;SNRPA1;MCM5;ETF1;PABPC1;MCM6;HDAC2;PCNA;SF3B3;KARS1;ODC1;SRSF1;DDX21;U2AF1;TYMS;COX5A;PSMA7;HSPD1;PPM1G;PSMB2;PSMB3;TRA2B;FAM120A;POLD2;RPS3;USP1;RPL14;EIF4H;SNRPB2;RPS2;BUB3;IARS1;RPL18;CCT7;HNRNPA1;EIF4E;CCT5;CCT4;H2AZ1;NOP56;RANBP1;NPM1;DUT;HNRNPA3;SSB;PTGES3;CNBP;NAP1L1;DEK;HSPE1;RSL1D1;XPOT;APEX1;IMPDH2;HNRNPA2B1;SERBP1;NDUFAB1;EIF3J;POLE3;HDGF;SSBP1;TARDBP;EIF3D;RAN;EIF3B"
"Oxidative Phosphorylation","143/200",1.74113230286556e-45,4.3528307571639e-44,0,0,8.06909949490421,831.615866152167,"ECI1;COX6A1;PHB2;TOMM22;MPC1;ATP6V1E1;ACAA1;PDHX;ATP6V1G1;ATP6V0E1;ECH1;SDHC;SDHD;SDHA;ATP1B1;SDHB;COX6B1;AFG3L2;OXA1L;COX7A2L;POR;FDX1;UQCRC1;VDAC3;VDAC2;VDAC1;UQCRC2;ISCU;UQCRB;COX15;MGST3;COX17;ATP5MC2;ATP5MC3;COX7A2;MRPL11;ATP5MC1;ACAT1;PRDX3;LDHB;LDHA;RHOT2;CYB5R3;CYC1;NDUFV2;NDUFV1;ATP5MG;ATP6V1C1;ATP5MF;DECR1;ATP6V1F;ATP5ME;HSPA9;SURF1;IDH2;GOT2;CS;GLUD1;UQCRQ;CYCS;ACO2;GPI;COX7B;MRPS15;SLC25A3;ACADVL;COX4I1;MRPS12;ETFA;TCIRG1;MRPL34;COX7C;MRPL35;NNT;IDH3B;TIMM17A;UQCRFS1;IDH3A;COX8A;ATP6V0B;ATP6AP1;GPX4;NDUFC1;HADHB;HADHA;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;SLC25A5;DLD;ATP6V0C;SLC25A11;SLC25A6;FH;NDUFB8;ECHS1;NDUFB7;NDUFB6;NDUFB5;TIMM9;NDUFB4;NDUFB3;TIMM13;NDUFB2;DLST;NDUFB1;UQCR11;UQCR10;PDHB;COX5B;COX5A;HSD17B10;ATP5F1A;ATP5F1B;POLR2F;NDUFA9;TIMM8B;ATP5PF;CYB5A;NDUFA7;ATP5PD;NDUFA6;MDH1;NDUFA5;ATP5PB;MTX2;MDH2;NDUFA4;IDH3G;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;LRPPRC;NDUFAB1;ATP5PO;BAX"
"mTORC1 Signaling","122/200",1.1303490712952e-28,1.88391511882533e-27,0,0,5.00134809717171,321.836030389827,"ERO1A;TES;TFRC;PITPNB;UBE2D3;ARPC5L;TMEM97;ENO1;IFI30;PNP;TBK1;NAMPT;PSPH;PDK1;MAP2K3;G6PD;TUBA4A;ACLY;DDX39A;MTHFD2;PPA1;DDIT3;PSME3;DDIT4;NUPR1;SQSTM1;PPIA;IDI1;PSMD12;FKBP2;PSMD14;SHMT2;PSMD13;INSIG1;RPN1;GMPS;SLC1A4;SLC1A5;ADIPOR2;HSP90B1;ATP5MC1;SLC9A3R1;STIP1;LDHA;RDH11;PRDX1;SERPINH1;PGK1;SSR1;LTA4H;HSPA9;NIBAN1;XBP1;SDF2L1;HSPA5;PNO1;HSPA4;EDEM1;PLK1;M6PR;EIF2S2;CCT6A;GCLC;COPS5;P4HA1;BHLHE40;CALR;LGMN;GPI;CDKN1A;BTG2;SLC2A1;ATP2A2;HK2;SERP1;PHGDH;CTSC;ACTR3;ACTR2;TPI1;ELOVL5;CACYBP;UCHL5;SLC7A5;PSMA3;PSMA4;CANX;ETF1;ALDOA;EEF1E1;PPP1R15A;RAB1A;TOMM40;USO1;CXCR4;GLRX;HMGCR;ADD3;HSPD1;GGA2;PSMB5;YKT6;LDLR;SEC11A;BUB1;CYB5B;NFYC;TXNRD1;GSR;RPA1;PDAP1;GTF2H1;HSPE1;WARS1;UFM1;PFKL;PSAT1;SCD;PSMC2;CCNG1;TCEA1;CD9"
"Interferon Gamma Response","116/200",1.23604893636055e-24,1.54506117045069e-23,0,0,4.40834618835889,242.679996726493,"IFITM3;IFITM2;SPPL2A;UBE2L6;IFIT1;IFI30;IFIT3;IFI44L;ICAM1;MT2A;PNP;NAMPT;TNFSF10;EPSTI1;PIM1;TRIM26;TRIM21;B2M;CMTR1;IFNAR2;RSAD2;HLA-B;TAP1;TRAFD1;ARID5B;HLA-A;IFI27;MTHFD2;PSME1;TRIM14;PSME2;SERPING1;TXNIP;LAP3;RBCK1;IDO1;LY6E;DDX60;HIF1A;SOCS3;RNF213;ISOC1;EIF2AK2;ISG15;NMI;PARP14;TOR1B;PARP12;NFKB1;BST2;ISG20;NFKBIA;XAF1;HLA-DRB1;MYD88;OGFR;LGALS3BP;CDKN1A;CXCL9;BTG1;TNFAIP2;TNFAIP3;ADAR;IL18BP;IFIH1;CASP3;PDE4B;UPP1;RIPK2;DDX58;NCOA3;BPGM;TAPBP;VAMP8;PLSCR1;PSMA3;LATS2;PSMA2;OAS2;IRF1;OAS3;IRF2;PELI1;IRF7;LCP2;VAMP5;IRF9;RNF31;C1S;C1R;MVP;SRI;SAMHD1;USP18;PSMB10;HLA-DMA;APOL6;PSMB2;CCL5;CCL2;FCGR1A;CD74;PTPN1;STAT1;STAT2;MX2;STAT3;MX1;SOD2;PSMB8;WARS1;PSMB9;ZNFX1;PTPN6;PTPN2;PFKP"
"Unfolded Protein Response","78/113",8.20593914080715e-24,8.20593914080715e-23,0,0,7.08031325951931,376.369515098303,"EIF4A2;ERO1A;H2AX;EIF4A1;POP4;IFIT1;HERPUD1;CKS1B;RPS14;TATDN2;SERP1;KHSRP;KIF5B;BANF1;TSPYL2;TTC37;WIPI1;PDIA6;YWHAZ;ARFGAP1;DNAJC3;SLC7A5;MTHFD2;DKC1;DDIT4;NHP2;PREB;ATP6V0D1;ATF6;ATF3;DCP2;ATF4;SHC1;GOSR2;CEBPG;PARN;CXXC1;NOLC1;SLC1A4;SDAD1;HSP90B1;EXOSC10;EIF4EBP1;SSR1;CCL2;IARS1;EIF4E;SEC11A;EXOSC1;SEC31A;PAIP1;HSPA9;NOP56;XBP1;NPM1;HSPA5;NFYA;FUS;EDEM1;EIF2AK3;LSM1;EIF2S1;LSM4;VEGFA;CNOT4;SPCS3;CNOT6;SPCS1;XPOT;PSAT1;DNAJA4;CNOT2;SRPRA;SRPRB;HYOU1;CALR;ALDH18A1;EIF4G1"
"G2-M Checkpoint","113/200",9.78163694990751e-23,8.15136412492293e-22,0,0,4.14280016149352,209.952763452078,"JPT1;CCNT1;HNRNPU;MKI67;SMC4;CDC20;MT2A;CCND1;SNRPD1;MYC;KIF5B;STMN1;CDC27;NEK2;KPNA2;HMGN2;TMPO;TLE3;SMARCC1;SLC38A1;PRPF4B;CDC25B;ILF3;DDX39A;EWSR1;DKC1;NCL;SRSF2;NUP98;ATF5;KPNB1;NOTCH2;YTHDC1;CUL3;CUL1;NOLC1;PDS5B;RASAL2;HIF1A;GSPT1;RACGAP1;RAD21;G3BP1;ABL1;HSPA8;DR1;SMAD3;UBE2C;PLK1;HMGA1;FOXN3;NDC80;STAG1;POLA2;NASP;UBE2S;CDK4;BCL3;HNRNPD;CDK1;EZH2;TOP2A;H2AX;CDKN1B;NUMA1;AMD1;CTCF;LMNB1;CKS1B;SYNCRIP;XPO1;CHMP1A;MYBL2;LBR;SS18;RBM14;ATRX;KIF23;SMC1A;RAD23B;CCNA2;SLC7A5;SFPQ;DBF4;TFDP1;NUP50;CKS2;MCM3;BIRC5;MCM5;MCM6;TOP1;PAFAH1B1;ODC1;SRSF1;CENPA;SLC7A1;AURKB;TRA2B;NSD2;E2F1;BUB3;E2F4;SRSF10;BUB1;H2AZ1;CASP8AP2;H2AZ2;CDKN2C;MAPK14;CUL4A;MARCKS;CDKN3"
"Apoptosis","92/161",3.18566086162428e-19,2.27547204401735e-18,0,0,4.23902815813496,180.542146522673,"IFITM3;TOP2A;APP;BTG3;CDKN1A;BTG2;CDKN1B;HMGB2;HSPB1;ENO2;CLU;SAT1;LGALS3;CCND1;CASP3;PEA15;TNFSF10;TIMP2;TSPO;TIMP3;CASP2;TIMP1;DNM1L;SPTAN1;IER3;BNIP3L;GPX1;ANXA1;TNFRSF12A;GPX4;IFNGR1;MMP2;BGN;TAP1;EMP1;DCN;CDC25B;RHOB;DNAJC3;DDIT3;IRF1;VDAC2;TXNIP;ETF1;SQSTM1;ATF3;CD44;DAP3;ROCK1;DIABLO;SATB1;SLC20A1;XIAP;BCL10;ADD1;RELA;PPP3R1;RHOT2;PAK1;BCL2L11;ANKH;LMNA;ERBB2;BID;MCL1;BCAP31;JUN;EGR3;GSN;GADD45B;GADD45A;LUM;CAV1;GSR;CFLAR;SOD2;H1-0;IGF2R;SMAD7;SOD1;ISG20;DNAJA1;CYLD;DAP;WEE1;KRT18;PPT1;PDCD4;BAX;CTNNB1;BCL2L2;BCL2L1"
"E2F Targets","106/200",1.29225225645177e-18,7.97670930336753e-18,0,0,3.58978381755982,147.863716117077,"JPT1;POP7;TFRC;CSE1L;CCP110;BUB1B;MKI67;SMC4;IPO7;CDC20;PNN;MYC;STMN1;NBN;KPNA2;TMPO;CDC25B;ILF3;DDX39A;MTHFD2;SRSF2;ASF1A;SNRPB;SLBP;PRKDC;AK2;NOLC1;PDS5B;GSPT1;RAD51AP1;PRDX4;RACGAP1;RAD21;LYAR;XRCC6;CBX5;PLK1;HMGA1;NUP153;PA2G4;PAICS;EIF2S1;POLA2;STAG1;NASP;UBE2S;CDK4;ANP32E;HNRNPD;CDK1;CNOT9;EZH2;TOP2A;H2AX;CDKN1A;CDKN1B;HMGB2;PSIP1;CTCF;CKS1B;LMNB1;SYNCRIP;XPO1;MYBL2;LBR;TCF19;TUBB;SMC1A;DCK;NME1;RAD51C;CKS2;MCM3;BIRC5;LUC7L3;MCM5;NAA38;MCM6;DCTPP1;PRPS1;PCNA;SRSF1;AURKB;TRA2B;PPP1R8;POLD2;USP1;RBBP7;H2AZ1;NOP56;RANBP1;DUT;CDKN2C;ATAD2;RPA1;NAP1L1;DEK;SSRP1;MLH1;NUDT21;RAD50;WEE1;RPA3;TRIP13;RAN;CDKN3"
"Protein Secretion","64/96",1.43580767460616e-18,7.97670930336753e-18,0,0,6.33675392670157,260.344293984527,"ARF1;CLTC;SNAP23;CLTA;RPS6KA3;GOLGA4;LAMP2;TMED2;KIF1B;ARFIP1;AP3S1;DNM1L;AP2M1;CTSC;RAB2A;TPD52;DST;STX7;COG2;ADAM10;AP3B1;SCAMP1;ARFGAP3;RER1;ERGIC3;SEC22B;VAMP3;NAPA;COPB2;STX12;CD63;TMED10;TSG101;STX16;COPB1;GOSR2;USO1;ATP1A1;LMAN1;SNX2;AP2S1;MAPK1;YKT6;SEC31A;ARFGEF1;ARFGEF2;MON2;M6PR;AP2B1;IGF2R;ARCN1;SOD1;KRT18;PPT1;GNAS;YIPF6;ANP32E;RAB9A;VPS45;SEC24D;PAM;RAB5A;COPE;BET1"
"Interferon Alpha Response","62/97",1.11647114018528e-16,5.48015414497649e-16,0,0,5.60909118095637,206.02858573049,"IFITM3;LGALS3BP;OGFR;IFITM1;IFITM2;UBE2L6;ADAR;TMEM140;IFI30;IFIT3;IFI44L;IFIH1;NUB1;LAMP3;EPSTI1;TRIM26;TRIM21;B2M;CMTR1;RSAD2;RIPK2;TAP1;HLA-C;TRAFD1;PARP9;PLSCR1;PSMA3;ELF1;IFI27;OAS1;IRF1;IRF2;PSME1;IRF7;TRIM14;PSME2;TXNIP;NCOA7;LAP3;CD47;IRF9;LY6E;RNF31;CNP;SAMD9;C1S;DDX60;USP18;GBP2;CD74;STAT2;MX1;EIF2AK2;ISG15;NMI;PARP14;PARP12;PSMB8;WARS1;PSMB9;BST2;ISG20"
