"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"DNA Repair (GO:0006281)","106/291",1.68374363934969e-12,8.04997833973089e-09,0,0,2.48407205256149,67.3431969340842,"DCLRE1A;MRE11;TRRAP;FMR1;ALKBH3;ALKBH2;KAT5;CHEK2;CHEK1;FBXO6;KMT5B;PIAS4;LIG1;RECQL;HUS1;LIG3;MSH6;NEIL2;MSH2;FANCD2;PSME4;TIMELESS;SLX1A;TP53;RHNO1;FTO;RNASEH2C;BLM;RNASEH2A;TEX264;CDCA5;NTHL1;NHEJ1;BARD1;FANCI;FANCL;INTS3;FANCA;XRCC1;FANCC;FANCE;FANCF;POLA1;PPP5C;TDP1;UBE2T;NABP2;UBE2N;RAD17;MMS19;MNAT1;RAD9A;MUS81;SETD2;CETN2;STON1;BRCA2;TENT4A;HPF1;EXO1;TNKS1BP1;EXO5;TOPBP1;POLE;POLH;PRMT6;RFC5;UPF1;RMI2;RFC3;RFC4;PARP2;RFC2;ACTR5;USP45;ACTR8;REXO4;RNF169;NSMCE4A;MPND;DOT1L;RNF8;FAAP24;FAAP20;UNG;RECQL4;POLD3;POLD1;RBBP8;PMS2;ASCC2;PMS1;MBD4;MGME1;RRM1;GTF2H3;GTF2H4;MLH3;TICRR;MAD2L2;RAD52;ERCC3;RFWD3;POLE2;PWWP3A;CENPS"
"DNA Metabolic Process (GO:0006259)","103/288",1.23560715172729e-11,2.95371889620408e-08,0,0,2.41180942912076,60.5771124647461,"MRE11;TRRAP;FMR1;ALKBH3;CHEK1;RUVBL1;PCLAF;SMARCAD1;FBXO6;KMT5B;NUDT15;NFRKB;ENDOG;LIG1;RECQL;HUS1;LIG3;MSH6;CDC34;MSH2;GRWD1;PSME4;TIMELESS;SLX1A;INO80B;RTEL1;BLM;INO80E;INO80D;RNASEH2A;ORC5;NTHL1;ORC3;BARD1;CTC1;FANCL;INTS3;FANCA;LTO1;FANCC;POLA1;TDP1;UBE2T;CDK2;NABP2;UBE2N;RAD17;MMS19;MNAT1;RAD9A;MUS81;MCM7;STON1;HMGB3;MCM10;TENT4A;HPF1;EXO1;TOP1MT;TOPBP1;POLE;POLH;POLG;RFC5;UPF1;RMI2;RFC3;RFC4;PARP2;RFC2;ACTR5;TOP3A;USP45;ACTR8;GLRX2;TERF2;REXO4;SUPV3L1;NSMCE4A;MCM4;MCM2;PRIM2;PRIM1;DOT1L;UNG;RECQL4;POLD3;CDC45;CBS;POLD1;RBBP8;MBD4;TCF7L2;RRM1;NOC3L;GTF2H3;GTF2H4;TICRR;RAD52;ERCC3;POLE2;PWWP3A;CENPS"
"Mitotic Sister Chromatid Segregation (GO:0000070)","52/111",2.26975168072071e-11,3.61722759517523e-08,0,0,3.7956152886059,93.0258453751418,"AKAP8L;NCAPG2;KIF14;KIF11;SMC3;TENT4A;SMC2;GOLGA2;CDC23;CHEK2;NUP62;NUSAP1;KNTC1;KMT5A;DIS3L2;TEX14;KIF22;TUBG1;KNSTRN;PSRC1;KIFC1;ZW10;CHMP4C;KIF2C;CHMP6;DCTN2;CDCA5;VPS4B;CDCA8;NCAPG;ABRAXAS2;NCAPH;NSL1;CCNB1;DSN1;KIF3B;RRS1;CEP192;MISP;CLASP2;KLHL22;WAPL;ZWINT;TPX2;KIF18A;CENPI;PRC1;CENPK;CHMP2A;PHF13;NCAPD2;NCAPD3"
"DNA Damage Response (GO:0006974)","126/384",5.77055491761714e-11,6.89725576528188e-08,0,0,2.11911483586738,49.9595473456638,"MRE11;TRRAP;FMR1;SMC5;SMC6;ALKBH3;KAT5;CHEK2;HMCES;CHEK1;PCLAF;FBXO6;KMT5B;FBXO5;ARMT1;ENDOG;LIG1;DDX11;RECQL;HUS1;VRK1;WDR76;MSH6;MSH2;PSME4;TIMELESS;SLX1A;TP53;HDGFL2;RTEL1;BLM;DCUN1D5;STXBP4;BOD1L1;HTRA2;FBXO45;PSEN1;FOXO1;SFN;TP53BP1;NAE1;MORC2;BARD1;FANCL;INTS3;CBX1;FANCA;FANCC;FANCF;POLA1;BCL6;TDP1;UBE2T;NABP2;RAD17;MMS19;MNAT1;RAD9A;MUS81;WDR48;MCM7;PHF1;SUV39H1;CGAS;ASH2L;MCM10;TENT4A;RPTOR;NIPBL;HPF1;EXO1;MLST8;IKBKG;TOPBP1;IKBKE;POLH;BOK;VAV3;RFC5;UPF1;RMI2;SHPRH;RFC3;RFC4;NCOA6;PARP2;RFC2;USP45;SIRT7;MASTL;SPIDR;TOPORS;REXO4;RNF169;NSMCE4A;CRY1;CEP63;NFAT5;SPINDOC;BRAT1;DOT1L;TAF9;RNF8;FAAP20;UNG;RECQL4;POLD1;RBBP8;RBBP6;MBD4;RRM1;GTF2H3;USP28;GTF2H4;MTOR;PML;TICRR;MAD2L2;ETAA1;APC;ERCC3;RFWD3;POLE2;PWWP3A;CENPS;TAF1"
"DNA-templated DNA Replication (GO:0006261)","33/69",5.27895750192637e-08,5.047739163342e-05,0,0,3.93336872843111,65.9112714075709,"PRIM2;BLM;MCM7;PRIM1;MCM10;ORC5;POLD3;RECQL4;CDC45;ORC3;POLD1;REV3L;TOPBP1;POLE;POLG;RFC5;GINS1;GINS2;MGME1;RFC3;RRM1;RFC4;RFC1;RFC2;WDR18;RECQL;NOC3L;POLE4;POLA1;CDC34;POLE2;MCM4;MCM2"
"Regulation Of DNA-templated Transcription (GO:0006355)","450/1922",2.33584239252041e-07,0.000144461888980861,0,0,1.3440136275146,20.5227158772827,"ATF1;EHF;TRRAP;SCX;GPATCH3;CREB3L4;CREB3L1;ZXDB;MYB;ZXDC;SUPT20H;NFRKB;CDK5RAP2;HES6;ZNF165;DAXX;ZNF282;DAPK3;SOX13;RFX3;ZNF12;SOX10;MED7;HOXB9;SPIN2B;ZSCAN26;SPIN2A;ZNF398;ZNF397;ZNF276;ZNF275;ZNF395;ZBTB8A;ZNF274;GATA6;MYNN;GATA3;NUP85;HOXC4;KAT14;ZSCAN18;FZD1;CDK18;CREBBP;ZNF263;ZNF142;FZD7;IRF2BP1;TRIP4;NFATC1;NR1D1;ZNF35;PBX1;NFATC4;TADA2B;ZNF37A;SNAI2;GTF2IRD1;MMS19;HOXD8;CDKN1C;RET;LIN54;GMEB2;PHF20;SPIN4;PHF1;SPIN3;TFCP2L1;MED16;ING1;HOXC10;GLI3;PHF8;MECP2;IKBKB;EDRF1;NIPBL;HEY1;HEY2;SPIN1;TEAD1;TEAD2;TEAD3;TEAD4;ZNF362;ANXA4;TCF12;EN1;PAX6;BAZ1A;ASH1L;SIRT7;MED27;MED29;MED23;MED22;GCFC2;MED20;MTF2;RARA;ZNF358;PPARA;PLCB1;JDP2;ZNF232;ZNF350;CIPC;ZNF518B;ZNF518A;ZNF66;EGFR;PLAGL2;PCGF1;PRAME;BRD9;BRD7;SPDEF;ZNF100;ZNF460;UTP4;CDKN2A;ZNF76;WWP2;AGT;TARBP1;GATAD2A;ZNF33A;CENPF;PHF5A;RYBP;MYBBP1A;NFIA;RLIM;ZNF213;ZNF212;GZF1;ZNF692;GMNN;NAB2;HR;YEATS4;FGF2;POFUT1;RUVBL1;SCMH1;ZNF326;KMT5A;PITX2;PITX1;FADS1;ZNF322;KCNH2;PIAS4;PIAS3;TLE2;TLE1;ZNF680;NKX6-2;THOC1;DYRK1B;FOXP4;SAP30;KAT6B;ZNF318;ZNF316;ZNF678;AJUBA;ZNF431;ZNF672;INO80B;BLM;INO80E;INO80D;KMT2B;FOXO6;FOXO1;NPAS3;NPAT;NEUROD2;HMBOX1;NACC2;ZKSCAN3;DVL2;E4F1;ZNF787;ZBTB18;BRPF1;BICRAL;BRPF3;ATP8B1;ZBTB10;ELOA2;RFXANK;ESRRG;FOXN2;RAX2;BCL6;YEATS2;MAFF;TADA3;MAP3K10;ZNF777;MAFK;MNAT1;ZNF652;RNF187;RNF14;ARRB1;VPS72;PPP1R13L;HMG20A;ZNF524;ERC1;ZNF644;CEP290;ZNF883;ACTR6;ACTR5;ARNT;ACTR8;REXO4;FOXD4L5;TFDP2;LANCL2;TESMIN;FOXD4L1;MCM2;HDAC5;NFAT5;SMARCD1;CEBPB;SMARCD2;SMARCD3;HDAC1;LRP5;TULP3;FOXK2;MLLT3;HDAC9;NTN1;HDAC6;LRP6;BAHD1;TP53INP2;ZNF627;ATXN1L;RBBP8;E2F3;ASCC2;E2F5;E2F6;ZNF740;TBX1;RNF20;IRX5;FOXJ3;CDC5L;PML;KLF8;KLF7;KLF5;POLR3C;ZNF737;ZNF736;POLR3F;BCOR;TRIM33;MBD3L2;CCAR2;ZNF608;KAT5;ZNF727;CHEK2;RPS6KA1;KAT8;SOX8;SOX9;SOX6;ZFPL1;ATXN7L3;SOX7;SFMBT1;SP110;OVOL1;RUNX2;OVOL2;NIF3L1;SFRP1;ZNF718;THAP7;TFAM;DXO;ZNF711;ZNF710;TP53;CASZ1;FOXG1;ZBTB5;ZNF704;DHX36;ZNF703;INPP5K;TP53BP1;PATZ1;STAT5B;BCL11A;SS18L1;SMARCA1;ID1;ID4;RBAK;SIM2;RCOR1;CSRNP2;SUV39H1;HNF4G;SGF29;LIMD1;BRCA2;HRAS;NCOA1;PRMT6;SREBF1;FOXD3;PRMT5;PBRM1;ZHX3;ATMIN;NCOA6;TFE3;CBFA2T2;CBFA2T3;MLF1;ZFTA;TOX3;MDFIC;DEPDC1;MAPRE3;VGLL1;VGLL4;HMX1;FOXC1;SPINDOC;PRICKLE1;CAMKK2;RXRB;HIRA;MNT;RXRA;NFIL3;HSF2;METTL4;HSF4;PAK6;APBB2;TBL1X;ARNT2;NFYB;GRHL1;GRHL2;MAD2L2;PER2;TCEA2;ZNF354A;MPHOSPH8;PRDM4;WWC1;JADE3;CELSR2;ZNF83;ZNF85;WWC3;ARID2;KCTD1;TIMELESS;PPIE;MZF1;PSMD10;PSEN1;TAF5L;DEAF1;TASP1;CAMTA2;OTX1;TFAP2A;TFAP2C;POU2F1;PHF10;SMURF2;PHF12;SMAD5;BMP2;MRGBP;BAMBI;PHF14;MELTF;PRR7;THRA;MIDEAS;CHD8;CBY1;HMGB3;ILK;SIX2;TRPS1;ZIC1;NUP62;GET1;MYBL1;KLF11;AXIN1;OXSR1;GLRX2;ARID1B;ETV5;PSRC1;ELF3;CRY2;CRY1;IRF6;ZMYND11;USP13;KDM3A;KDM3B;ZNF195;TAF9;TGFBRAP1;WIZ;LIN9;ACVR1B;RNF2;BICRA;CIART;SAP30L;HES1;MTA3;HES4;TCFL5;SPEN;KDM4A;TCF7L2;TCF7L1;KDM4C;TAF12;ACVR2B;USF1;REST;PITHD1;KANSL3"
"Organelle Assembly (GO:0070925)","99/322",2.35627806425718e-07,0.000144461888980861,0,0,1.91648966525833,29.2475724851402,"DYNC2I2;DYNC2I1;GALNT11;TRAF3IP1;UBXN2A;FMR1;FNBP1L;CDC14B;TBC1D31;AP1S1;CEP250;FBXW8;ATG9A;AP1B1;RFX3;IFT80;OCRL;ATG12;FAM161A;IFT81;HGS;RAB35;ULK3;CHMP4C;ULK2;WDPCP;CEP20;VPS25;VPS28;UNC119B;ABCB6;INTU;KIF3B;ATG101;AP1M1;BBS2;PLK4;VTA1;HPS4;IFT122;CPLANE1;HPS5;WDR54;TMEM231;AHI1;NSFL1C;IFT22;TMEM237;ATG2A;CHMP2A;CEP83;CIBAR1;CEP89;SPAG16;PTPN23;HSPB11;IFT52;MAP1LC3A;TCTN3;AP1G1;TCTN1;AP3S2;CEP290;ABCC4;MKKS;IFT140;VPS37C;VPS37B;ELAPOR1;DUSP23;PACS2;RILPL1;RP2;TMEM216;CHMP6;IFT46;SSX2IP;VPS4B;DYNLT2B;HDAC6;AP3M1;IFT74;CFAP298;ABLIM1;ARL13B;TMEM67;RAB23;TP53INP2;KIAA0753;MVB12A;EMC6;YTHDF1;YTHDF2;GBF1;ATAT1;TTC8;CENPJ;HYLS1;RAB17"
"DNA Integrity Checkpoint Signaling (GO:0031570)","23/42",2.48062323754282e-07,0.000144461888980861,0,0,5.18600114265011,78.8769294256397,"CDT1;TIPIN;DOT1L;CDC5L;HUS1;CDC6;USP28;CAMSAP3;UFL1;CDC45;CHEK2;CHEK1;TIPRL;MAP3K20;TIMELESS;RAD17;FBXO6;INTS7;CLSPN;TP53BP1;CEP63;RAD9A;RHNO1"
"Organelle Disassembly (GO:1903008)","27/54",2.71942480825716e-07,0.000144461888980861,0,0,4.28650940895839,64.8020572459908,"DYRK3;GFM2;TEX264;NEDD9;SNX33;HDAC6;AURKA;GOLGA2;RRP7A;UFL1;KAT5;STX5;EIF2D;ASCC2;SNX7;PELO;GBF1;PLAAT1;TRIP4;PLAAT3;VRK1;ULK3;ATG2A;ULK2;PLIN2;MRRF;RETREG1"
"Chromatin Remodeling (GO:0006338)","75/228",3.76219852770571e-07,0.00017987071160961,0,0,2.11172522700355,31.2389458777413,"LIN54;SETD2;PHF1;CHD8;YEATS4;HPF1;KAT5;CHEK1;RUVBL1;GATAD1;SMARCAD1;GET1;SOX9;ARID2;NFRKB;KDM6B;DAXX;PBRM1;PARP2;PIH1D1;ACTR5;TET1;BAZ1A;SIRT7;ACTR8;ARID1B;TTI1;MTF2;PADI2;HDGFL1;HDGFL2;HDGFL3;INO80B;HDAC5;NFAT5;SMARCD1;ZNF274;INO80E;SMARCD2;PAXIP1;INO80D;SMARCD3;HDAC1;RNF8;HDAC6;RNF2;BICRA;HIRA;PCGF1;BRD9;BRD7;MORC2;MTA3;KDM4A;TFAP2C;PHC1;BRPF1;KDM4C;SETDB1;PHF10;BICRAL;KDM4E;PCGF2;GLMN;SMARCA1;NPM3;GATAD2A;TADA2B;PER2;MCM3AP;REST;RYBP;MYBBP1A;YEATS2;BCOR"
