"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Regulation Of Wnt Signaling Pathway (GO:0030111)","13/109",5.51506873498078e-05,0.0535689014554372,0,0,4.07987741262389,40.0049986808544,"WWOX;TCF7L1;CTNND2;CTNNBIP1;CBY1;TSC2;TSKU;FRZB;ZNF703;SPIN1;MDFI;VGLL4;TLR2"
"Vesicle Transport Along Microtubule (GO:0047496)","6/22",5.59875327968796e-05,0.0535689014554372,0,0,11.2221362229102,109.868995098904,"CLN3;KIF3B;KIF13A;BICDL2;CDR2L;TRAK2"
"Positive Regulation Of Cell Differentiation (GO:0045597)","23/283",5.86734955700298e-05,0.0535689014554372,0,0,2.68450531979944,26.1565378683455,"CEBPB;LAMA2;MMD;TGFB3;LAMB2;ZBTB16;CTNNBIP1;ADIRF;LRP3;TENT5A;NPNT;NID1;PTK2;CEACAM1;RGCC;FRZB;BAMBI;GPC1;DHX36;ZNF703;HIF1AN;PLCB1;BRD7"
"Membrane Lipid Biosynthetic Process (GO:0046467)","9/57",8.73803081812016e-05,0.053871672279756,0,0,5.62791601866252,52.5942293134266,"CERS4;SCCPDH;ST3GAL4;DEGS1;SPTSSA;DEGS2;HACD3;PLPP2;PLPP1"
"Regulation Of Cell Migration (GO:0030334)","30/434",9.83418625041182e-05,0.053871672279756,0,0,2.26162809206966,20.8681798146405,"FLT1;SEMA3C;FAM89B;PIK3R3;NEDD9;SEMA3F;CLN3;PARD6B;DACH1;PODXL;ZNF703;GNA12;CPNE3;CARMIL1;ACE;IGFBP5;PTK2;TJP1;CAMSAP3;CLDN5;CLDN4;CEACAM1;CLDN3;DLG5;TRIP6;NUMB;PLXNB1;EPPK1;NF2;SMIM22"
"Negative Regulation Of Signal Transduction (GO:0009968)","21/267",0.000191439140388851,0.0691776300976022,0,0,2.5842449074253,22.1235671602395,"WWOX;IGFBP5;GPR108;METTL3;CTNNBIP1;CBY1;SORD;TSC2;GATA3;SMAD5;TSKU;ERBB3;FRZB;HGS;CREB3L1;GPC1;ULK3;ENPP1;HIF1AN;MDFI;VGLL4"
"Regulation Of Epithelial Cell Differentiation (GO:0030856)","5/18",0.000218213212954825,0.0691776300976022,0,0,11.4938770657472,96.893819650782,"KLF7;CEBPB;CEACAM1;GATA3;OXSR1"
"Vesicle Cytoskeletal Trafficking (GO:0099518)","7/39",0.000234814985548792,0.0691776300976022,0,0,6.55096899224806,54.7445654435893,"CLN3;MYO6;MYO5C;BICDL2;CDR2L;FNBP1L;TRAK2"
"Positive Regulation Of Cell Migration (GO:0030335)","21/272",0.00024669433611318,0.0691776300976022,0,0,2.53210296689628,21.035092152145,"CARMIL1;FLT1;FAM89B;SMURF2;SEMA3C;PIK3R3;NEDD9;SEMA3F;PTK2;TJP1;CLDN4;NIPBL;CLDN3;RAB25;PODXL;ZNF703;TRIP6;NUMB;CPNE3;DOCK1;SMIM22"
"Negative Regulation Of Cell Population Proliferation (GO:0008285)","26/379",0.000315889915694221,0.0691776300976022,0,0,2.23492836390953,18.0137835926864,"COL18A1;GATA3;FRZB;ATG101;SH3BP4;GET1;HES1;TP53I11;TFAP2A;IGFBP5;TGFB3;CTNNBIP1;TSC2;LDOC1;AZGP1;CLDN3;RGCC;HGS;DLG5;CDK10;EPPK1;PLXNB1;NF2;PLPP1;VGLL4;HSPA1B"
