"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Antigen Receptor-Mediated Signaling Pathway (GO:0050851)","36/134",1.22227225390865e-11,4.84386494223998e-08,0,0,4.55688672230026,114.504193649422,"ITK;STOML2;PIK3CD;BCL10;CD3E;CD3D;CD79B;CD79A;PLCG2;BLNK;PDE4B;CD38;CTLA4;TRDC;EIF2B1;MEF2C;FYB1;BTN3A1;SYK;PRKCB;BTN2A1;RIPK2;RFTN1;BTN3A3;BTN3A2;LAX1;LIME1;LAT2;PIK3CA;CD8A;LCK;BTK;CD28;PRKD2;MNDA;CD247"
"Positive Regulation Of Intracellular Signal Transduction (GO:1902533)","77/525",1.64234254261216e-08,2.04038286770281e-05,0,0,2.15100190839695,38.5557566188346,"SEMA5A;CD86;HIP1;NCF1;GOLT1B;TRADD;IFIT5;PIK3CD;PIK3CG;TMEM101;GJA1;TBK1;CASP8;CASP10;KDR;CASP1;CCR7;PIM2;TRIM21;MAP4K1;PDGFRA;SEC13;MIOS;CHUK;AVPR1B;PRKCB;RIPK2;ARRDC3;SIRT1;EDAR;TRAF7;RRAGA;DOK3;PIK3CA;LCK;DDIT3;RRAGD;PELI1;RAPGEF2;CHI3L1;PRKD2;TLR7;CARD16;LTB;GAS6;HCST;TLR4;TLR3;CARD11;BIRC3;SEH1L;HDAC3;ROCK2;PDGFA;BCL10;CBL;STYXL1;WNT11;CCL5;UBD;PLCG2;RICTOR;CCL19;BID;FNIP1;APOL2;LYN;SEMA4D;CAV1;SIAH1;LIF;P2RX4;TNIP2;REL;PTPN6;MAP3K14;FERMT2"
"B Cell Receptor Signaling Pathway (GO:0050853)","17/46",1.76578244442253e-08,2.04038286770281e-05,0,0,7.20671276620184,128.654862136869,"ITK;MEF2C;SYK;PRKCB;RFTN1;PIK3CD;LIME1;CD79B;LAT2;CD79A;LCK;BLNK;PLCG2;BTK;CD38;CTLA4;MNDA"
"Inflammatory Response (GO:0006954)","44/236",2.2491650446985e-08,2.04038286770281e-05,0,0,2.84359452736318,50.0760456577772,"CCL13;CIITA;CXCL9;CCL4L1;GPR68;LOXL3;LY75;PIK3CD;FPR3;ADM;CXCL1;LIAS;CXCL13;ITGAL;PIK3CG;RELB;TBK1;CCL5;CCRL2;BLNK;CCR7;CCL19;CCR5;TNFRSF4;APOL2;MEN1;KLRG1;AOC3;CD96;PARP4;CHUK;RIPK2;IL10RB;NFATC3;NFKB1;TLR1;CXCL10;CD40LG;REL;CHI3L1;ACKR1;TLR4;MGLL;TLR3"
"T Cell Receptor Signaling Pathway (GO:0050852)","25/95",2.5742907742907e-08,2.04038286770281e-05,0,0,4.40436321883073,76.9667170855427,"ITK;STOML2;PIK3CD;BCL10;CD3E;CD3D;PDE4B;PLCG2;CTLA4;TRDC;EIF2B1;FYB1;BTN3A1;RIPK2;BTN2A1;RFTN1;BTN3A3;BTN3A2;PIK3CA;CD8A;LCK;BTK;CD28;PRKD2;CD247"
"Defense Response To Symbiont (GO:0140546)","32/148",5.34080845448979e-08,3.52760398419051e-05,0,0,3.40947695734905,57.092727131013,"IFIT5;PRF1;DDX60;LYST;TANK;IFIT3;PQBP1;IFIH1;TBK1;CASP1;NLRP1;APOBEC3C;GBP5;RAB2B;APOBEC3D;APOBEC3F;RSAD2;APOBEC3G;MX2;RNASE6;NT5C3A;SLFN11;AIM2;OAS1;STING1;OAS2;TRAF3;IRF1;IRF2;TLR7;MAP3K14;TLR3"
"Phosphorylation (GO:0016310)","65/429",6.32800443519833e-08,3.58255451095585e-05,0,0,2.22667387670829,36.9086688541851,"PRR5;CCNT1;CERK;MAML1;PIK3CD;PIK3CG;HK2;STK10;PPP4R1;TBK1;FASTK;RB1CC1;NEK2;PIM2;PRKACB;JAK3;PDK1;MAP4K1;MAP2K1;CHUK;SYK;DAPK1;PRKCB;VRK2;LATS1;HCK;LATS2;PIK3CA;LCK;BTK;PRKD2;PIK3C3;SGK3;TNIK;FAM20A;GAS6;HCST;TRIB2;CILK1;PRKAA1;ROCK2;CSF2RB;CSF2RA;AURKB;PAK1;WNT11;MKNK1;GRK6;PTK2B;RICTOR;NADK;CDK17;LYN;MAP3K1;PLK1;LIMK1;EIF2AK3;BRAF;BCKDK;TAOK3;STK17A;CAMK4;POMK;ATM;CDK14"
"I-kappaB kinase/NF-kappaB Signaling (GO:0007249)","16/45",8.74571928130342e-08,4.33241068897568e-05,0,0,6.77827264796364,110.161275986243,"CHUK;ROCK2;RIPK2;NFKBIL1;BCL10;TANK;NFKB1;RELB;TBK1;REL;TLR7;MAP3K14;TLR4;CARD11;TLR3;BIRC3"
"Positive Regulation Of Cytokine Production (GO:0001819)","52/320",1.41222585022723e-07,6.21850116050057e-05,0,0,2.41068192461974,38.0235138118821,"CD86;ITK;PIK3CD;PIK3CG;PQBP1;IFIH1;TBK1;CASP1;PDE4B;CCR7;GBP5;RAB2B;BTN3A1;SYK;RIPK2;BTN3A2;TLR1;TRAF3;DDIT3;IRF1;CHI3L1;CD226;PRKD2;TLR7;LTB;TLR4;TLR3;CARD11;STOML2;ROCK2;BCL10;TANK;PLCG2;SLAMF6;TNFRSF14;CCL19;CD58;TIGIT;SLAMF1;CADM1;RFTN1;EIF2AK3;CYRIB;MAPK14;BATF;CD2;CD40LG;STING1;CD6;POU2AF1;CD28;CD200"
"Marginal Zone B Cell Differentiation (GO:0002315)","6/6",1.89421881777107e-07,7.50678917482675e-05,0,0,110892,1716529.33029064,"DOCK10;LFNG;NOTCH2;DOCK11;MFNG;PTK2B"
"Defense Response To Virus (GO:0051607)","36/189",2.41287141761431e-07,8.69291766182321e-05,0,0,2.91005795030563,44.3413624304162,"IFIT5;PRF1;DDX60;LYST;TANK;IFIT3;PQBP1;IFIH1;TBK1;CASP1;TRIM26;NLRP1;TRIM21;NCK1;APOBEC3C;GBP5;RAB2B;APOBEC3D;APOBEC3F;RSAD2;APOBEC3G;MX2;RNASE6;NT5C3A;CXCL10;SLFN11;AIM2;OAS1;STING1;OAS2;TRAF3;IRF1;IRF2;TLR7;MAP3K14;TLR3"
