"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Allograft Rejection","58/200",1.23400934238837e-19,6.17004671194185e-18,0,0,5.13081227088559,223.389656967098,"CD86;ITK;CXCL9;CSF1;GPR65;NCF4;PRF1;LY75;CD3E;CXCL13;ITGAL;CD3D;ICAM1;IL27RA;SIT1;CCR5;NCK1;MAP4K1;CD96;PRKCB;RIPK2;TAP2;MMP9;TLR1;CD8A;LCK;ELF4;IRF8;LTB;TLR3;CCL13;AARS1;WAS;MTIF2;BCL10;PSMB10;CD79A;CXCR3;CCL5;STAT4;CCL19;SOCS5;LYN;FYB1;GZMA;LIF;LY86;GZMB;INHBA;WARS1;CD2;CD40LG;ABI1;IL2RB;CD28;FAS;PTPN6;CD247"
"Interferon Gamma Response","56/200",3.15771257810475e-18,7.89428144526188e-17,0,0,4.87786897704818,196.561943669364,"CD86;SAMD9L;CXCL9;CIITA;IFIT3;ICAM1;IL18BP;IFIH1;CASP8;EPSTI1;CASP1;PDE4B;CD38;TRIM26;TRIM21;IL15RA;RSAD2;RIPK2;TRAFD1;BPGM;ARL4A;LATS2;OAS2;IRF1;IRF2;PELI1;TRIM14;IRF8;IDO1;MARCHF1;CSF2RB;DDX60;PSMB10;HELZ2;KLRK1;APOL6;CCL5;STAT4;SLAMF7;ST3GAL5;FCGR1A;GBP4;PTPN1;GCH1;IL10RA;MX2;GZMA;NFKB1;WARS1;CXCL10;IL2RB;FAS;PTPN6;CD69;PTPN2;PFKP"
"TNF-alpha Signaling via NF-kB","45/200",2.74049856546193e-11,4.56749760910322e-10,0,0,3.61218054004336,87.8493005204549,"PPP1R15A;BTG3;TNFAIP8;CD83;CSF1;PLEK;TNC;RNF19B;CXCL1;TANK;ICAM1;RELB;IFIH1;SNN;DRAM1;PLAU;KYNU;CCL5;CCRL2;PDE4B;DENND5A;MAP2K3;IL15RA;EGR2;DUSP2;JAG1;SMAD3;GCH1;RIPK2;LIF;PLAUR;INHBA;TRAF1;NFKB1;CXCL10;NR4A3;TNIP2;GPR183;IRF1;REL;CD69;MXD1;ATF3;NFE2L2;BIRC3"
"Interferon Alpha Response","29/97",7.1720754087594e-11,8.96509426094925e-10,0,0,5.27402915497965,123.192043794735,"SAMD9L;CSF1;UBA7;SAMD9;TMEM140;DDX60;IFIT3;HELZ2;IFIH1;NUB1;CASP8;LAMP3;CCRL2;EPSTI1;CASP1;TRIM26;TRIM21;GBP4;RSAD2;RIPK2;TRAFD1;WARS1;CXCL10;SELL;OAS1;IRF1;IRF2;TRIM14;NCOA7"
"IL-2/STAT5 Signaling","40/199",1.10205992161214e-08,1.06526353706195e-07,0,0,3.11878196781304,57.1470003248756,"CD86;NRP1;CD83;CSF1;GPR65;RGS16;SLC1A5;IKZF2;CST7;HK2;CD79B;GLIPR2;CTLA4;DENND5A;SLC39A8;CCR4;DCPS;TNFRSF4;GBP4;GABARAPL1;BATF3;IL10RA;PUS1;PTCH1;LIF;RHOH;TRAF1;BATF;ADAM19;CXCL10;ARL4A;P2RX4;SELL;RRAGD;IL2RB;IRF8;TLR7;CD48;LTB;MXD1"
"Inflammatory Response","40/200",1.27831624447434e-08,1.06526353706195e-07,0,0,3.09912043301759,56.3269383441249,"CXCL9;CSF1;RGS16;KCNA3;ADM;SLC7A1;ICAM1;GPR132;LAMP3;CCL5;CCRL2;PDE4B;CCR7;SCARF1;SLAMF1;LYN;IL15RA;GCH1;SLC31A2;SEMA4D;RIPK2;IL10RA;LIF;PLAUR;INHBA;NFKB1;TLR1;CXCL10;P2RX4;SELENOS;SELL;LCK;GPR183;IRF1;ABI1;IL2RB;CD48;CD69;MXD1;TLR3"
"KRAS Signaling Up","34/200",7.31582385422418e-06,5.22558846730298e-05,0,0,2.52794466274803,29.8941360575452,"PPP1R15A;NRP1;SPON1;ADAMDEC1;MTMR10;SATB1;RGS16;IKZF1;CBL;CSF2RA;PLAU;EPB41L3;CD37;MAP4K1;MAP3K1;PRRX1;FUCA1;H2BC3;IL10RA;LIF;PLAUR;PDCD1LG2;INHBA;TRAF1;BPGM;MMP9;LAT2;CLEC4A;CXCL10;NIN;IRF8;DOCK2;TRIB2;BIRC3"
"heme Metabolism","31/200",0.000111134005826918,0.00069458753641824,0,0,2.2590378944939,20.5680290917015,"SLC66A2;EPB41;NR3C1;AQP3;NNT;MXI1;CLIC2;DCAF11;CDR2;HTATIP2;MPP1;MAP2K3;FN3K;SMOX;UROS;FBXO34;BPGM;GAPVD1;TENT5C;SLC25A38;RNF123;KAT2B;MINPP1;GCLC;CAT;BMP2K;ATG4A;ACKR1;LPIN2;EZH1;TNRC6B"
"Complement","30/200",0.000256218390546503,0.00128109195273252,0,0,2.17172675521822,17.9590518127288,"PLEK;WAS;CBLB;CXCL1;C4BPB;PIK3CG;DOCK10;VCPIP1;GNG2;CASP10;KYNU;SPOCK2;CCL5;CASP1;SH2B3;LYN;APOBEC3F;APOBEC3G;ERAP2;GZMA;PLAUR;GZMB;GZMK;CD40LG;KIF2A;PIK3CA;LCK;IRF1;IRF2;GNB4"
"p53 Pathway","30/200",0.000256218390546503,0.00128109195273252,0,0,2.17172675521822,17.9590518127288,"CYFIP2;RB1;PPP1R15A;CEBPA;HDAC3;ABHD4;RGS16;CCP110;PDGFA;RNF19B;NHLH2;SERTAD3;DRAM1;CASP1;TSPYL2;FBXW7;FUCA1;RHBDF2;LIF;TRAFD1;IRAG2;AEN;MAPKAPK3;DDIT3;MDM2;FAS;ERCC5;MXD1;ATF3;ADA"
"Epithelial Mesenchymal Transition","29/200",0.000569251006831615,0.00258750457650734,0,0,2.08554349832495,15.5814898195672,"NOTCH2;LRRC15;COL12A1;TNC;CXCL1;ENO2;FBLN2;LOXL1;MYLK;COMP;GJA1;CADM1;PRRX1;MMP1;FUCA1;MMP3;PLAUR;GPX7;INHBA;VCAN;CXCL12;FAP;LOX;ADAM12;GAS1;FAS;MXRA5;FERMT2;FBN1"
