"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Gene Expression (GO:0010467)","174/296",1.69323107643605e-50,8.38995998374061e-47,0,0,6.07375080392183,696.067731465661,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;HNRNPU;ADARB1;CASC3;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;ALKBH5;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;MAGOH;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;AGFG1;TGM2;DDX17;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;THOC7;DDX39A;DDX39B;HNRNPUL1;DKC1;SARNP;XRN2;DNAJB11;RPL24;SRSF3;RPL27;RPL26;RPL29;RPL28;RBM8A;YTHDC1;MRPL18;MRPL14;GSPT1;MRPL10;MRPL11;ATXN1;TPR;EIF4EBP2;RPL41;CHTOP;RBPMS;ALYREF;MRPL27;MAGOHB;MRPL24;HNRNPL;RPS26;SETX;RPS25;RPS28;HNRNPK;RPS27;COPS5;RPS29;HNRNPF;RPL27A;AGO2;HNRNPD;RPS20;RPS21;RPS24;RPS23;EIF4G1;HBS1L;MRPS15;SMG1;MRPS16;RPLP1;RPLP0;MRPL36;ADAR;SMG7;MRPL35;SMG5;RBM3;RPS4X;SYNCRIP;MRPL3;RBM4;RPL7A;XPO1;CASP3;CASP4;RPLP2;MRPL9;RBM5;RBM6;NCBP1;NCBP2;PABPC4;DHPS;MRPS21;DDX54;RPL13A;RPS3A;MRPL43;MRPS5;DARS1;MRPL52;SARS1;MRPL51;HNRNPH1;RPL37A;RBMS1;HNRNPH3;RBMS2;FYTTD1;RPL12;RPL11;FURIN;RRBP1;LMF2;MRPL55;HSPD1;EXOSC6;NXF1;RBM15B;RPS15A;PABPN1;RPL14;RPS3;RPL13;RPL15;RPS2;EXOSC3;RPL18;RPS27A;RPL17;EXOSC1;RPL19;MBTPS1;RBM39;GALNT2;RPL35A;RPL23A;SORL1;TSPAN15;GOLPH3;TSPAN14;TNIP1;HNRNPA2B1;RPS6KB2;FAU"
"Cytoplasmic Translation (GO:0002181)","84/93",2.51562623651315e-49,6.23246400096134e-46,0,0,39.0895665016072,4374.28462659077,"EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;SARS1;RPL37A;RPL24;ETF1;RPL27;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;ZC3H15;RPL19;RWDD1;RPL41;RPL35A;RPL23A;RPS26;RPS25;EIF3M;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23"
"Translation (GO:0006412)","148/234",1.0458584606397e-48,1.72740955748991e-45,0,0,7.29468253625824,805.911029494288,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;CHCHD1;RPS13;RARS2;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;TUFM;LARS1;RPL24;RPL27;RPL26;AURKAIP1;RPL29;RPL28;UBA52;DAP3;MRPL18;MRPL14;GSPT1;MRPL10;MRPL11;MRPL20;EIF4EBP2;ZC3H15;RPL41;MRPL27;MRPL24;MRPL21;MRPL22;RPS26;RPS25;RPS28;RPS27;COPS5;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;RPS23;EIF4G1;HBS1L;MRPS15;MRPS16;RPLP1;RPLP0;MRPL38;MRPS10;MRPL36;MRPL35;MRPL33;MRPL4;RPS4X;MRPL3;RPL7A;QARS1;MTG1;RACK1;RPLP2;MRPL9;EIF5A;TSFM;MRPS26;MRPS24;PABPC4;DHPS;MRPS2;MRPS21;RPL13A;RPS3A;MRPL48;MRPL43;MRPS5;DARS1;MRPL52;EEF1G;MRPL53;SARS1;MRPL51;EEF1D;RPL37A;ETF1;RPL12;MRPS34;RPL11;RRBP1;MRPL57;MRPL55;RPS15A;RPL14;RPS3;RPL13;IARS2;RPL15;RPS2;IARS1;RPL18;RPS27A;RPL17;RPL19;GADD45GIP1;PTCD3;RWDD1;NDUFA7;GATC;RPL35A;RPL23A;GARS1;TNIP1;RPS6KB2;DRG1;RPL22L1;FAU"
"Macromolecule Biosynthetic Process (GO:0009059)","121/183",5.37514956543692e-43,6.65846652418498e-40,0,0,8.22604838709677,800.636128485059,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;TUFM;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;GSPT1;MRPL10;MRPL11;EIF4EBP2;APOE;ST3GAL2;RPL41;MRPL27;MRPL24;RPS26;EXT2;RPS25;RPS28;COPS5;RPS27;COL5A1;RPS29;RPL27A;AGO2;RPS20;RPS21;EIF4G2;RPS24;EIF4G1;RPS23;HBS1L;MRPS15;MRPS16;RPLP1;RPLP0;MRPL36;MRPL35;RPS4X;MRPL3;RPL7A;RPLP2;MRPL9;EIF5A;TSFM;PABPC4;DHPS;MRPS21;RPL13A;RPS3A;DARS1;MRPL43;MRPS5;EEF1G;MRPL52;SARS1;MRPL51;EEF1D;RPL37A;B4GALT5;RPL12;RPL11;RRBP1;MRPL55;RPS15A;POLD2;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;GOLPH3;TNIP1;RPS6KB2;FAU"
"Peptide Biosynthetic Process (GO:0043043)","108/158",1.37744734127351e-40,1.36505031520205e-37,0,0,9.08015735641227,833.405641581284,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;GSPT1;MRPL10;MRPL11;EIF4EBP2;RPL41;MRPL27;MRPL24;RPS26;RPS25;RPS28;COPS5;RPS27;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;EIF4G1;RPS23;HBS1L;MRPS15;MRPS16;RPLP1;RPLP0;MRPL36;MRPL35;RPS4X;MRPL3;RPL7A;RPLP2;MRPL9;PABPC4;DHPS;MRPS21;RPL13A;RPS3A;DARS1;MRPL43;MRPS5;MRPL52;SARS1;MRPL51;RPL37A;RPL12;RPL11;FURIN;RRBP1;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;TNIP1;RPS6KB2;FAU"
"Proton Motive Force-Driven ATP Synthesis (GO:0015986)","52/60",5.73089833206153e-29,4.73276687256081e-26,0,0,26.9996123029207,1755.76036424784,"NDUFA13;NDUFA11;NDUFA12;NDUFA10;NDUFC1;SDHC;SDHD;SDHA;SDHB;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;ATP5MC1;ATP5F1B;ATP5MK;ATP5MJ;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;ATP5F1D;ATP5F1E;NDUFAB1;ATP5PO"
"protein-RNA Complex Assembly (GO:0022618)","91/150",2.03573342617759e-28,1.44100844667285e-25,0,0,6.4513873523034,411.35030526364,"RPL5;RAMAC;HSP90AB1;CELF1;RPLP0;ADAR;PRPF19;RPL6;CDC73;RPS15;COIL;RPS14;SART1;RPS19;SNRPD2;SNRPD1;DENR;RPL38;SNRPD3;TXNL4A;RBM5;EIF2S3B;HSP90AA1;NCBP1;SCAF11;RPS5;RPSA;WDR77;PRPF6;PRPF18;DDX39B;CLNS1A;SNRPG;LUC7L3;STRAP;SNRPE;GEMIN7;SNRPF;SRSF5;SNRNP200;SRSF6;LUC7L2;SNRPB;SRSF9;DHX9;PRKDC;YTHDC1;DDX1;RPL11;SRSF1;RPS27L;MRPL20;PUF60;KHDC4;SMN1;SF3B1;SRSF10;MCTS1;SRPK2;CPSF7;CPSF6;SF3A2;XRCC5;PTGES3;RPL23A;EIF2S2;LSM4;SRPK1;SETX;NUDT21;RPS28;EIF3M;EIF2S3;EIF5;RPS27;EIF3K;TNIP1;EIF3L;AGO1;AGO2;EIF3J;RSRP1;EIF3G;EIF3H;EIF3E;HNRNPC;EIF3F;EIF3C;EIF3D;NOP53;EIF3B"
"Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)","47/53",2.85303245726362e-27,1.76709697821765e-24,0,0,32.5000430218551,1986.44861907603,"NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;ATP5F1B;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;NDUFC1;SDHC;SDHD;SDHA;ATP5F1C;SDHB;ATP5F1D;ATP5F1E;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO;NDUFS2"
"Oxidative Phosphorylation (GO:0006119)","52/63",7.32587102373124e-27,3.93644434729024e-24,0,0,19.6324161751921,1181.44710794314,"NDUFA13;NDUFA11;NDUFA12;NDUFA10;NDUFC1;SDHC;SDHD;SDHA;SDHB;NIPSNAP2;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ATP5F1B;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5ME;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;CHCHD10;ATP5F1C;ATP5F1D;ATP5F1E;NDUFAB1;ATP5PO"
"mRNA Processing (GO:0006397)","112/214",7.94438818827496e-27,3.93644434729024e-24,0,0,4.6057685872984,276.794402615031,"RAMAC;HNRNPU;HNRNPR;CASC3;PNN;ALKBH5;SNRPD2;SNRPD1;MAGOH;PAPOLA;SNRPD3;PRKACA;TXNL4A;CMTR1;SRRM2;IK;SNRPN;SCAF11;PRPF4B;SRRM1;DDX39A;PRPF6;DDX39B;PRPF3;SNRPG;SRSF2;SRSF3;PPIH;SNRPE;SRSF4;GEMIN7;SNRPF;SRSF5;SNRNP200;SRSF6;SRSF7;SNRPA;SNRPB;SRSF9;DDX5;RBM8A;YTHDC1;SNU13;C9ORF78;ZMAT2;RPRD1B;HSPA8;CPSF7;CPSF6;ALYREF;CWC15;MAGOHB;LSM4;LSM3;LSM2;HNRNPM;LSM7;HNRNPK;SNW1;SON;HNRNPF;PIN1;RNPS1;HNRNPC;CELF1;PRPF19;SYNCRIP;RBM4;SART1;SNRNP70;DHX15;BCAS2;CTNNBL1;RBM5;RBM6;RBM14;NCBP1;NCBP2;BUD31;PRPF40A;SFPQ;PRPF18;HNRNPH1;SYF2;SNRPA1;HNRNPH3;PABPC1;SF3B4;SF3B5;SF3B2;SF3B3;SF3B6;SRSF1;U2AF1;RNF113A;U2AF2;TRA2B;TRA2A;RALY;SNRPB2;HNRNPA1;SF3B1;SRSF10;HNRNPA0;HNRNPA3;SF3A2;RPRD2;NUDT21;HNRNPA2B1;RBM42;RBMX;FRA10AC1"
