"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Myc Targets V1","167/200",2.25543310191828e-85,1.12771655095914e-83,0,0,21.6309229750892,4216.00512863032,"EIF4A1;RPL34;HNRNPU;HNRNPR;PWP1;PHB2;RPL6;UBE2L3;PSMD8;EEF1B2;FBL;PSMD7;SNRPD2;TRIM28;SNRPD1;MYC;RUVBL2;PSMD3;PSMD1;SNRPD3;TXNL4A;KPNA2;RPS10;DDX18;SMARCC1;STARD7;EIF1AX;RPS5;RPL22;RPS6;MRPS18B;UBE2E1;ILF2;TUFM;CLNS1A;VDAC3;SRSF2;SNRPG;NHP2;SRSF3;VDAC1;ERH;PPIA;SRSF7;SNRPA;KPNB1;SET;PSMD14;GLO1;NOLC1;PHB;GSPT1;PRDX3;LDHA;PRDX4;PCBP1;G3BP1;PGK1;CYC1;XRCC6;CBX3;GOT2;PA2G4;EIF2S2;EIF2S1;SRPK1;LSM2;LSM7;COPS5;CDK4;HNRNPD;UBA2;RNPS1;HNRNPC;EIF4G2;YWHAE;SLC25A3;HSP90AB1;RPLP0;SYNCRIP;XPO1;YWHAQ;C1QBP;RACK1;DHX15;AP3S1;MRPL9;ACP1;CCT3;CCT2;NCBP1;VBP1;NCBP2;PABPC4;RAD23B;NME1;GNL3;PSMA6;PSMA4;TFDP1;PSMA1;PSMA2;CANX;TCP1;SNRPA1;MCM5;ETF1;PABPC1;MCM6;HDAC2;PCNA;SF3B3;KARS1;ODC1;SRSF1;DDX21;U2AF1;COX5A;PSMA7;HSPD1;PPM1G;PSMB2;PSMB3;TRA2B;FAM120A;POLD2;RPS3;USP1;RPL14;EIF4H;SNRPB2;RPS2;BUB3;IARS1;RPL18;CCT7;HNRNPA1;EIF4E;CCT5;CCT4;H2AZ1;NOP56;RANBP1;NPM1;DUT;HNRNPA3;SSB;PTGES3;CNBP;NAP1L1;DEK;HSPE1;RSL1D1;XPOT;APEX1;IMPDH2;HNRNPA2B1;SERBP1;NDUFAB1;EIF3J;POLE3;HDGF;SSBP1;TARDBP;EIF3D;RAN;EIF3B"
"Oxidative Phosphorylation","132/200",1.14498325282731e-46,2.86245813206828e-45,0,0,8.20273857761632,867.714595382598,"ECI1;COX6A1;PHB2;TOMM22;PDK4;ATP6V1E1;ACAA1;PDHX;ATP6V1G1;ATP6V0E1;ECH1;SDHC;SDHD;SDHA;ATP1B1;SDHB;COX6B1;AFG3L2;OXA1L;COX7A2L;POR;FDX1;UQCRC1;VDAC3;VDAC2;VDAC1;UQCRC2;ISCU;UQCRB;MGST3;COX17;ATP5MC2;ATP5MC3;COX7A2;MRPL11;ATP5MC1;PRDX3;LDHB;LDHA;RHOT2;CYB5R3;CYC1;NDUFV2;NDUFV1;ATP5MG;ATP5MF;DECR1;ATP6V1F;ATP5ME;HSPA9;SURF1;IDH2;GOT2;CS;GLUD1;UQCRQ;CYCS;ACO2;GPI;COX7B;MRPS15;SLC25A3;ACADVL;COX4I1;ETFA;TCIRG1;COX7C;MRPL35;IDH3B;TIMM17A;UQCRFS1;COX8A;ATP6V0B;ATP6AP1;GPX4;NDUFC1;HADHB;HADHA;NDUFS8;NDUFS6;NDUFS4;NDUFS3;NDUFS2;SLC25A5;ATP6V0C;SLC25A11;SLC25A6;FH;NDUFB8;ECHS1;NDUFB7;NDUFB6;NDUFB5;TIMM9;NDUFB4;NDUFB3;TIMM13;NDUFB2;DLST;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;ATP5F1A;ATP5F1B;POLR2F;NDUFA9;TIMM8B;ATP5PF;CYB5A;NDUFA7;ATP5PD;NDUFA6;MDH1;NDUFA5;ATP5PB;MTX2;MDH2;NDUFA4;IDH3G;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;LRPPRC;NDUFAB1;ATP5PO;BAX"
"mTORC1 Signaling","106/200",4.76192615232096e-26,7.9365435872016e-25,0,0,4.72493795488135,275.494879201731,"ERO1A;TES;TFRC;PITPNB;UBE2D3;ARPC5L;SLA;TMEM97;ENO1;IFI30;PNP;NAMPT;G6PD;TUBA4A;ACLY;DDX39A;MTHFD2;PPA1;PSME3;DDIT4;NUPR1;SQSTM1;PPIA;FKBP2;PSMD14;SHMT2;PSMD13;INSIG1;RPN1;GMPS;SLC1A4;CORO1A;ADIPOR2;HSP90B1;ATP5MC1;SLC9A3R1;STIP1;LDHA;PRDX1;SERPINH1;PGK1;SSR1;LTA4H;HSPA9;NIBAN1;XBP1;HSPA5;PNO1;HSPA4;EDEM1;M6PR;EIF2S2;CCT6A;COPS5;P4HA1;BHLHE40;CALR;LGMN;GPI;CDKN1A;BTG2;ITGB2;SLC2A1;ATP2A2;SLC2A3;SERP1;PHGDH;CTSC;ACTR3;ACTR2;TPI1;ELOVL5;CACYBP;SLC7A5;PSMA3;PSMA4;CANX;ETF1;ALDOA;RAB1A;TOMM40;USO1;FGL2;CXCR4;GLRX;ADD3;HSPD1;GGA2;PSMB5;YKT6;LDLR;SEC11A;CYB5B;NFYC;TXNRD1;GSR;PDAP1;GTF2H1;HSPE1;UFM1;PFKL;SCD;PSMC2;CCNG1;TCEA1;CD9"
"Apoptosis","85/161",5.13854612972196e-21,6.42318266215245e-20,0,0,4.66582171670051,217.975604284394,"IFITM3;TOP2A;APP;CDKN1A;BTG2;CDKN1B;HMGB2;HSPB1;CLU;SAT1;LGALS3;CCND2;CCND1;CASP3;CASP4;PEA15;TNFSF10;TIMP2;TSPO;TIMP3;CASP2;TIMP1;DNM1L;SPTAN1;IER3;PDGFRB;BNIP3L;GPX1;ANXA1;TNFRSF12A;GPX4;GPX3;IFNGR1;MMP2;BGN;TAP1;EMP1;DCN;CDC25B;RHOB;DNAJC3;VDAC2;TXNIP;ETF1;SQSTM1;CD44;DAP3;ROCK1;SLC20A1;XIAP;ADD1;RELA;PPP3R1;RHOT2;BCL2L11;ANKH;LMNA;ERBB2;HMOX1;CD14;MCL1;BCAP31;JUN;EGR3;GSN;GADD45B;GADD45A;LUM;GSR;CFLAR;SOD2;H1-0;IGF2R;SMAD7;SOD1;ISG20;DNAJA1;DAP;KRT18;PPT1;PDCD4;BAX;CTNNB1;BCL2L2;BCL2L1"
"Unfolded Protein Response","67/113",1.63899536665754e-20,1.63899536665754e-19,0,0,6.0592664876695,276.045750350723,"EIF4A2;ERO1A;H2AX;EIF4A1;POP4;IFIT1;HERPUD1;CKS1B;RPS14;TATDN2;SERP1;KHSRP;KIF5B;BANF1;TTC37;WIPI1;PDIA6;YWHAZ;DNAJC3;SLC7A5;MTHFD2;DKC1;DDIT4;NHP2;PREB;ATP6V0D1;ATF6;ATF4;SHC1;CEBPG;PARN;CXXC1;NOLC1;SLC1A4;HSP90B1;EIF4EBP1;SSR1;CCL2;IARS1;EIF4E;SEC11A;EXOSC1;SEC31A;PAIP1;HSPA9;NOP56;XBP1;NPM1;HSPA5;NFYA;FUS;EDEM1;LSM1;EIF2S1;LSM4;VEGFA;SPCS3;CNOT6;SPCS1;XPOT;DNAJA4;CNOT2;SRPRA;HYOU1;CALR;ALDH18A1;EIF4G1"
"Epithelial Mesenchymal Transition","94/200",1.46713806848187e-18,1.22261505706822e-17,0,0,3.7012636135502,151.985794871672,"ITGB1;SPARC;ITGB5;WIPF1;ELN;SERPINE1;TNFAIP3;PLOD1;LAMC1;SAT1;LOXL2;GLIPR1;EFEMP2;LGALS1;BASP1;ANPEP;TIMP3;QSOX1;ITGAV;CCN2;TIMP1;CCN1;COLGALT1;TGM2;PDGFRB;POSTN;TNFRSF12A;TPM4;DST;IGFBP4;IGFBP3;TPM2;MMP2;TPM1;IGFBP2;BGN;PCOLCE;EMP3;DKK1;DCN;RHOB;ACTA2;SFRP4;MMP14;COL4A2;COL4A1;COL6A2;CDH11;COL6A3;ITGA5;PPIB;MYL9;CD44;TAGLN;COPA;NNMT;LRP1;COL11A1;HTRA1;CAPG;FBLN1;THY1;THBS2;FSTL1;THBS1;FBLN5;CALD1;SERPINH1;SPP1;FLNA;CD59;CTHRC1;IL32;JUN;TGFB1;GADD45B;GADD45A;LUM;FN1;VEGFA;COL1A1;COL3A1;DAB2;COL1A2;COL5A1;ID2;COL5A2;MGP;CALU;PMP22;SDC1;TGFBI;VIM;FMOD"
"Protein Secretion","56/96",6.319544751718e-17,4.51396053694143e-16,0,0,5.80972833117723,216.704606233739,"ARF1;CLTC;SNAP23;CLTA;GOLGA4;LAMP2;TMED2;KIF1B;ARFIP1;AP3S1;DNM1L;AP2M1;CTSC;RAB2A;TPD52;DST;COG2;ADAM10;AP3B1;SCAMP1;ARFGAP3;RER1;ERGIC3;SEC22B;VAMP3;NAPA;COPB2;STX12;CD63;TMED10;TSG101;STX16;COPB1;USO1;ATP1A1;LMAN1;SNX2;AP2S1;MAPK1;YKT6;SEC31A;ARFGEF1;ARFGEF2;M6PR;AP2B1;IGF2R;ARCN1;SOD1;KRT18;PPT1;GNAS;ANP32E;RAB9A;PAM;RAB5A;COPE"
"G2-M Checkpoint","88/200",2.75116505905936e-15,1.52842503281076e-14,0,0,3.27302374119489,109.733854983306,"TOP2A;H2AX;JPT1;CDKN1B;NUMA1;AMD1;HNRNPU;SMC4;CKS1B;SYNCRIP;MT2A;XPO1;CCND1;SNRPD1;MYC;KIF5B;STMN1;CDC27;CHMP1A;MYBL2;KPNA2;HMGN2;TMPO;SS18;TLE3;SMARCC1;SLC38A1;RBM14;ATRX;PRPF4B;SMC1A;RAD23B;CDC25B;SLC7A5;ILF3;SFPQ;DDX39A;TFDP1;EWSR1;DKC1;NCL;NUP50;CKS2;SRSF2;MCM3;BIRC5;MCM5;NUP98;MCM6;TOP1;ATF5;KPNB1;PAFAH1B1;YTHDC1;CUL3;ODC1;SRSF1;NOLC1;PDS5B;RASAL2;HIF1A;GSPT1;RAD21;TRA2B;NSD2;G3BP1;ABL1;BUB3;SRSF10;H2AZ1;CASP8AP2;HSPA8;H2AZ2;DR1;TGFB1;UBE2C;HMGA1;FOXN3;CUL4A;STAG1;MARCKS;NASP;UBE2S;CDK4;BCL3;HNRNPD;CDK1;EZH2"
"Interferon Gamma Response","88/200",2.75116505905936e-15,1.52842503281076e-14,0,0,3.27302374119489,109.733854983306,"IFITM3;OGFR;LGALS3BP;CDKN1A;IFITM2;BTG1;SPPL2A;TNFAIP2;TNFAIP3;UBE2L6;ADAR;IFIT1;IFI30;IFI44L;MT2A;PNP;CASP3;NAMPT;CASP4;TNFSF10;PIM1;UPP1;B2M;CMTR1;IFNAR2;DDX58;NCOA3;HLA-B;TAP1;ARID5B;HLA-A;TAPBP;VAMP8;PLSCR1;PSMA3;IFI27;MTHFD2;PSMA2;OAS3;PSME1;IRF7;PSME2;SERPING1;TXNIP;LCP2;LAP3;RBCK1;VAMP5;IRF9;LY6E;RNF31;CFH;C1S;C1R;MVP;FGL2;SRI;SAMHD1;HIF1A;USP18;SOCS3;HLA-DMA;RNF213;PSMB2;ISOC1;CCL2;HLA-DQA1;CD74;STAT1;STAT2;STAT3;MX1;EIF2AK2;ISG15;NMI;PARP14;TOR1B;SOD2;PARP12;PSMB8;PSMB9;BST2;ISG20;NFKBIA;ZNFX1;XAF1;HLA-DRB1;MYD88"
"TGF-beta Signaling","36/54",6.55111290867422e-14,3.27555645433711e-13,0,0,8.26821106821107,250.994415263565,"BMPR2;SLC20A1;SERPINE1;UBE2D3;XIAP;ARID4B;FURIN;LTBP2;THBS1;FNTA;CDH1;JUNB;MAP3K7;SKIL;SPTBN1;ACVR1;KLF10;SMAD1;WWTR1;TGFB1;IFNGR2;TGFBR1;RHOA;SMAD7;HIPK2;PPP1CA;NCOR2;SKI;FKBP1A;CDK9;PPM1A;RAB31;ID2;CTNNB1;ID3;ENG"
