"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Neurogenesis (GO:0022008)","6/49",0.000539199794937377,0.515146197446669,0,0,6.58476575665656,49.5531567530093,"NEUROD1;SIX4;ERBB4;METTL3;THOC2;MAPT"
"Post-Transcriptional Gene Silencing (GO:0016441)","3/11",0.0013381959473439,0.515146197446669,0,0,17.6007194244604,116.453978712683,"HELZ2;HEXIM1;TARBP2"
"Regulation Of Cell Cycle (GO:0051726)","15/298",0.0016813527358467,0.515146197446669,0,0,2.52545478340531,16.1330006670024,"L3MBTL1;NEK9;TP53I13;METTL3;PTK6;TBX3;GADD45G;TBRG1;ING5;KAT2A;MDM2;NUPR2;INHA;TMEM8B;ANAPC2"
"Amyloid Precursor Protein Catabolic Process (GO:0042987)","3/13",0.00224818715060494,0.515146197446669,0,0,14.0791366906475,85.8493817230589,"APH1B;PSEN2;ABCG1"
"Cholesterol Metabolic Process (GO:0008203)","6/67",0.00280501436235817,0.515146197446669,0,0,4.63744357329532,27.2512258662167,"PIP4P1;INSIG2;APOF;CLN8;ABCG1;TM7SF2"
"Intracellular Cholesterol Transport (GO:0032367)","3/16",0.00420101817428053,0.515146197446669,0,0,10.8284449363586,59.2578891711911,"PIP4K2A;RELCH;ABCG1"
"Plus-End-Directed Organelle Transport Along Microtubule (GO:0072386)","2/5",0.00421859083258898,0.515146197446669,0,0,31.2232854864434,170.736859895427,"KIF3A;MAPT"
"Regulation Of Viral Transcription (GO:0046782)","3/17",0.00502253991287385,0.515146197446669,0,0,10.054470709147,53.226553247977,"HEXIM1;TRIM62;TARBP2"
"Embryo Development Ending In Birth Or Egg Hatching (GO:0009792)","3/17",0.00502253991287385,0.515146197446669,0,0,10.054470709147,53.226553247977,"FOXI1;UBR3;FGFR1"
"Protein K63-linked Ubiquitination (GO:0070534)","5/54",0.00542105074980417,0.515146197446669,0,0,4.80231128596017,25.0558940168323,"ARRDC4;TRIM3;TRAF5;UBE2O;RNF152"
"Skeletal Muscle Organ Development (GO:0060538)","4/35",0.0060004078550048,0.515146197446669,0,0,6.06358560794045,31.0208663990274,"IGSF8;SVIL;SIX4;VRK3"
"Negative Regulation Of Lymphocyte Differentiation (GO:0045620)","2/6",0.00624017924664176,0.515146197446669,0,0,23.4162679425837,118.878453313691,"IFNL1;INHA"
