"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cholesterol Homeostasis","5/74",0.0196879015123648,0.407044671140287,0,0,3.40684477038589,13.3812378458175,"ACSS2;ETHE1;TRIB3;CPEB2;TM7SF2"
"Estrogen Response Early","9/200",0.0258303255188994,0.407044671140287,0,0,2.22291435777888,8.12743296710346,"AR;SVIL;MREG;TIPARP;ANXA9;MAPT;NADSYN1;SLC7A2;SLC19A2"
"Notch Signaling","3/32",0.0290746193671633,0.407044671140287,0,0,4.8501612503101,17.1593353953764,"KAT2A;PSEN2;DTX2"
"Mitotic Spindle","7/199",0.126903373038527,0.685367482630437,0,0,1.71151129943503,3.53312296434108,"TAOK2;ARHGEF3;TUBGCP6;SHROOM1;PCNT;RAPGEF6;ARHGAP4"
"Apical Junction","7/200",0.129295383237921,0.685367482630437,0,0,1.70255554579784,3.48284245624626,"GAMT;PPP2R2C;IRS1;ITGA3;TAOK2;CRAT;TMEM8B"
"Xenobiotic Metabolism","7/200",0.129295383237921,0.685367482630437,0,0,1.70255554579784,3.48284245624626,"ABCC3;NFS1;TKFC;ASL;CSAD;ESR1;RAP1GAP"
"p53 Pathway","7/200",0.129295383237921,0.685367482630437,0,0,1.70255554579784,3.48284245624626,"HEXIM1;MDM2;NOL8;TRIB3;AEN;CGRRF1;SLC19A2"
"Angiogenesis","2/36",0.174458485987789,0.685367482630437,0,0,2.75063326766113,4.80279401649741,"SERPINA5;FGFR1"
"DNA Repair","5/150",0.208356287483,0.685367482630437,0,0,1.61487328624844,2.53293802541749,"POLR3GL;RPA2;POLL;CCNO;TARBP2"
"Wnt-beta Catenin Signaling","2/42",0.220408391633815,0.685367482630437,0,0,2.33732057416268,3.53466709551129,"KAT2A;PSEN2"
"Apical Surface","2/44",0.235957573157101,0.685367482630437,0,0,2.22579175210754,3.21427313615255,"CRYBG1;TMEM8B"
"IL-2/STAT5 Signaling","6/199",0.241309739352209,0.685367482630437,0,0,1.45580836524743,2.0696848220168,"SPRED2;ARL4A;PRKCH;RHOH;IKZF2;IKZF4"
"Estrogen Response Late","6/200",0.244774100939442,0.685367482630437,0,0,1.44822949350067,2.03826647417095,"GALE;METTL3;ANXA9;MAPT;CXCL14;SERPINA5"
"Myogenesis","6/200",0.244774100939442,0.685367482630437,0,0,1.44822949350067,2.03826647417095,"SVIL;PPP1R3C;TNNT1;PSEN2;CRAT;OCEL1"
"Glycolysis","6/200",0.244774100939442,0.685367482630437,0,0,1.44822949350067,2.03826647417095,"FUT8;GALE;IDUA;CHPF2;CHST1;PHKA2"
"Androgen Response","3/100",0.350699720413942,0.907985486945581,0,0,1.44500482088556,1.51411205948455,"STEAP4;STK39;GPD1L"
"PI3K/AKT/mTOR  Signaling","3/105",0.379333499143461,0.907985486945581,0,0,1.37381859218508,1.33169664902096,"MKNK1;TRIB3;RIPK1"
"Hypoxia","5/200",0.410755339332525,0.907985486945581,0,0,1.19771393265369,1.0656749821789,"PPP1R3C;TIPARP;TGFB3;NEDD4L;INHA"
"Adipogenesis","5/200",0.410755339332525,0.907985486945581,0,0,1.19771393265369,1.0656749821789,"ARL4A;UCK1;FZD4;SQOR;CRAT"
"IL-6/JAK/STAT3 Signaling","2/87",0.548249947721473,0.985962996841008,0,0,1.09738249366732,0.659553201651189,"CSF3R;STAM2"
"Pancreas Beta Cells","1/40",0.572491612122497,0.985962996841008,0,0,1.19582644880974,0.666980805765622,"NEUROD1"
