"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Positive Regulation Of Cell Migration (GO:0030335)","57/272",2.94411302444942e-09,1.24948156757633e-05,0,0,2.65679095751592,52.1885622406131,"DOCK5;RIPOR1;FAM107A;PIK3CD;LAMC2;CLDN1;SYNE2;MYLK;GLIPR2;HYAL1;ITGAX;CTSH;FBXO5;SEMA6B;EPHA4;PDGFRA;SEMA6C;EDN1;MMP7;WNT5B;SPHK1;TNFRSF18;GAB1;PRKCA;ADAM17;SMO;TMSB15A;KIT;PECAM1;RAPGEF2;CBLL1;DDR2;PDGFA;NEDD9;AIF1;EGFR;CCL7;CLEC7A;PODXL;CCL5;PDGFC;CCL3;CLASP2;TGFB2;DMTN;SEMA4D;CAV1;ELP3;LAMB1;ELP5;ELP6;MTOR;FERMT1;BMP2;APC;SNAI2;FERMT2"
"Regulation Of Cell Migration (GO:0030334)","76/434",3.54872790732442e-08,7.53040061934242e-05,0,0,2.13309401310373,36.5912899655889,"RIPOR1;SERPINE2;FAM107A;TNC;KIF14;PIK3CD;LAMC2;CLDN1;FGF2;SYNE2;CX3CL1;MYLK;ROBO1;FLCN;ITGAX;CYP1B1;CTSH;SEMA6B;SEMA6C;EPHA4;PDGFRA;EDN1;ANXA1;TBCCD1;MMP7;WNT5B;SPHK1;TET1;PRKCA;KRT5;SFRP1;ADAM17;SFRP2;SMO;KIF2A;TMSB15A;KIT;CDH11;PECAM1;CBLL1;ENG;PDGFA;STC1;NEDD9;THY1;AIF1;EGFR;CCL7;CLEC7A;PODXL;CCL5;PDGFC;CCL3;PLXNA1;FYN;SLIT2;PLXNA3;RNF20;JAG1;SEMA4D;CAV1;MEAK7;ELP3;LAMB1;ELP5;SULF1;ELP6;SLURP1;BMP2;APC;KRT16;STK26;FGF19;PLXNB3;SNAI2;FERMT2"
"Positive Regulation Of Cell Motility (GO:2000147)","45/221",3.15053195265497e-07,0.000445695253568923,0,0,2.55071700635657,38.1855710243371,"RIPOR1;FAM107A;PDGFA;NEDD9;PIK3CD;LAMC2;CLDN1;AIF1;NTN1;EGFR;SYNE2;MYLK;CCL7;CLEC7A;PODXL;CCL5;PDGFC;ITGAX;CCL3;CTSH;SEMA6B;EPHA4;PDGFRA;SEMA6C;EDN1;MMP7;WNT5B;SEMA4D;SPHK1;CAV1;PRKCA;ELP3;LAMB1;ELP5;ELP6;ADAM17;BMP2;SMO;APC;TMSB15A;KIT;PECAM1;SNAI2;CBLL1;FERMT2"
"Extracellular Matrix Organization (GO:0030198)","35/176",1.07226355924565e-05,0.0113767163635964,0,0,2.46747451975013,28.2356898719849,"COL18A1;COL16A1;ELN;CTSV;LOXL1;KLK7;CTSS;LOXL2;ADAMTS1;CTSK;SH3PXD2B;CYP1B1;SLC39A8;ADAMTS9;GPM6B;POSTN;TGFB2;MMP7;MIA;LUM;MMP2;APLP1;GREM1;MMP12;MMP11;SMOC2;CCDC80;LOX;COL5A2;ST7;COL9A3;TGFBI;GAS6;DDR2;MATN2"
"Regulation Of Chromosome Segregation (GO:0051983)","11/28",1.96805614230548e-05,0.0167048605358889,0,0,6.3916442393951,69.2590844785477,"CDCA2;NCAPG2;CSNK2A2;NCAPG;KIF2C;SMC6;HORMAD1;NCAPD3;BUB1;NCAPH;SMC2"
"Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)","47/275",2.63973289904756e-05,0.0186717107059297,0,0,2.05281432748538,21.6412771789814,"SPAG16;INTU;TRAF3IP1;AIF1;NTN1;FGD1;MYLK;CDC14B;FGD4;IFT74;ARL13B;RAB23;INPP5K;S1PR2;CEP290;RAB8B;PLK4;DMTN;FBXW8;RFX3;SEPTIN6;IFT80;PARVB;EMP3;WDR54;TMEM231;CCDC88A;DUSP23;RILPL2;FAM161A;IFT81;RILPL1;RP2;CENPJ;STK26;TMEM216;KIT;FSCN1;PMP22;CEP83;RAPGEF2;HYLS1;WDPCP;IFT46;SSX2IP;CEP89;ARHGEF6"
"DNA Metabolic Process (GO:0006259)","48/288",4.22088336384421e-05,0.0255906128516497,0,0,1.99143968871595,20.0595350646546,"MUS81;PRIM2;RTEL1;BLM;RNASEH2A;PRIM1;FMR1;STON1;MCM10;SAMHD1;ALKBH3;RECQL4;ORC5;RAD51AP1;HPF1;CDC45;NTHL1;CBS;ORC3;PCLAF;RBBP8;FBXO6;CTC1;ENDOG;PARP4;RFC4;PARP2;ACTR5;TOP3A;USP45;RECQL;FANCA;NOC3L;ACTR8;GTF2H3;GTF2H4;REXO4;TICRR;SUPV3L1;RAD52;POLA1;ERCC3;GRWD1;POLE2;FSCN1;TIMELESS;DNASE2;CENPS"
"Regulation Of Epithelial To Mesenchymal Transition (GO:0010717)","20/83",5.06901967243699e-05,0.0267302860903723,0,0,3.14332629603566,31.0867993265455,"EPHA4;PHLDB1;FOXC1;TGFB2;SMAD3;IL17RD;USF3;AGT;MTOR;LOXL2;TGFBR2;GREM1;OLFM1;SFRP1;BMP2;SFRP2;SDHAF2;GLIPR2;FERMT2;CLASP2"
"Aorta Morphogenesis (GO:0035909)","8/17",5.90737252934122e-05,0.0267302860903723,0,0,8.7699836867863,85.3909133867909,"EFEMP2;JAG1;HEY1;HEY2;ADAMTS9;MYLK;TGFBR2;ENG"
"Mitotic Sister Chromatid Segregation (GO:0000070)","24/111",6.29837089782572e-05,0.0267302860903723,0,0,2.73380369606749,26.4430838173889,"NCAPG2;KIF14;CDCA8;NCAPG;TEX14;ABRAXAS2;KIF11;NCAPH;NDC80;WAPL;SMC2;KIF18A;CDC23;PSRC1;KIF2A;CENPI;CHEK2;ZW10;CHMP4C;CEP192;KIF2C;NCAPD3;MISP;CLASP2"
