"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Translation (GO:0006412)","200/234",2.40140043270625e-60,1.25353102587266e-56,0,0,11.7557824100514,1613.82268239016,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPL21;RPL22;MRPS18B;MRPS18A;GTPBP2;GTPBP1;MRPS18C;LARS1;RPL24;RPL27;RPL26;AURKAIP1;RPL29;RPL28;UBA52;MRPL18;MRPL19;MRPL16;MRPL17;MRPL14;MRPL12;MRPL13;GSPT1;MRPL10;MRPL11;MRPL20;HARS1;RPL41;MRPL27;MRPL28;HARS2;MRPL24;MRPL21;MRPL22;MRPL30;RPS26;RPS25;RPS28;RPS27;EPRS1;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;RPS23;MRPS17;HBS1L;MRPS15;MRPS16;GFM2;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;FARS2;MRPL33;MRPL41;MRPL42;QARS1;MTG1;RACK1;RPLP2;MRPS28;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;PABPC4;MRPS23;MRPL49;MRPS2;MRPS21;MRPL47;MRPL48;MRPS7;MRPS6;MRPL43;MRPS5;MRPL52;MRPL53;MRPS9;MRPL51;MRRF;MRPS33;RPL12;MRPS34;RPL11;MRPL58;MRPS30;MRPL57;MRPL54;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;GATC;GARS1;RPL22L1;FAU;RPL10A;EEF1B2;NARS1;CHCHD1;RARS2;RPS9;RARS1;RPS7;RPS8;RPS5;RPS6;RPSA;FTSJ1;TUFM;EEF1A2;DAP3;EIF4EBP2;ZC3H15;VARS1;COPS5;EIF4G1;MRPL4;RPS4X;MRPL3;RPL7A;MRPL2;EEF2K;MRPL1;MRPL9;EIF5A;TSFM;DHPS;MARS1;RPL13A;RPS3A;DARS1;EEF1G;SARS1;EEF1D;RPL37A;ETF1;RRBP1;IARS2;IARS1;ABCF1;GADD45GIP1;PTCD3;RWDD1;NDUFA7;RPL35A;RPL23A;WARS2;TNIP1;RPS6KB2;DRG1;ABCE1;RPL26L1"
"Gene Expression (GO:0010467)","226/296",5.46233133787174e-51,1.42566847918452e-47,0,0,6.46009312040381,747.652185015341,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;EIF4A3;HNRNPU;ADARB1;RPL8;RPL9;RPL6;RPL7;GLE1;RPS15;RPS14;ALKBH5;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;MAGOH;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;AGFG1;DDX17;NUP214;RPL21;RPL22;MRPS18B;DNTTIP2;MRPS18A;MRPS18C;DDX39A;DDX39B;SARNP;XRN2;RPL24;RPL27;RPL26;RPL29;RPL28;DHX8;MRPL18;MRPL14;MRPL12;MRPL13;GSPT1;MRPL10;DEDD2;MRPL11;NUP85;H3C1;HARS1;RPL41;MRPL27;MRPL28;MAGOHB;HARS2;MRPL24;HNRNPL;RPS26;SETX;RPS25;RPS28;HNRNPK;RPS27;RPS29;HNRNPF;RPL27A;AGO2;HNRNPD;MPHOSPH10;RPS20;RPS21;RPS24;RPS23;MRPS17;HBS1L;MRPS15;SMG1;MRPS16;MRPS14;MRPS11;RPLP1;DIS3L;MRPS12;RPLP0;MRPL36;MRPL37;MRPL34;SMG7;MRPL35;SMG5;MRPL41;MRPL42;SYNCRIP;XPO1;RPLP2;UPF2;UPF1;PABPC4;MRPS21;MRPS7;MRPS6;MRPL43;MRPS5;MRPL52;MRPL51;HNRNPH1;HNRNPH3;MRRF;FYTTD1;MRPS33;RPL12;RPL11;MRPL55;EXOSC6;RBM15B;EXOSC10;EXOSC4;RPS15A;EXOSC9;RPL14;RPS3;RPL13;RPL15;RPS2;EXOSC3;RPL18;RPS27A;EXOSC2;RAE1;RPL17;EXOSC1;RPL19;HNRNPA2B1;FAU;CASC3;RPL10A;ENPP1;KPNA4;RPS9;RPS7;RPS8;RPS5;RPS6;THOC1;RPSA;THOC5;THOC7;THOC6;PRPF4;HNRNPUL1;DKC1;DNAJB11;EEF1A2;SRSF3;RBM8A;YTHDC1;NUP160;ATXN1;TPR;EIF4EBP2;TASP1;CHTOP;RBPMS;ALYREF;COPS5;EIF4G1;NXT1;ADAR;BICD1;RBM3;RPS4X;MRPL3;RBM4;RPL7A;CASP3;MRPL9;RBM5;RBM6;NCBP1;NUP133;DIS3;NCBP2;DHPS;DDX54;RPL13A;RPS3A;DARS1;DDX19B;SARS1;RPL37A;RBMS1;RBMS2;FURIN;RRBP1;LMF2;HSPD1;NXF1;PABPN1;ABCF1;MBTPS1;RBM39;GALNT2;GZMB;RPL35A;RPL23A;SORL1;TSPAN15;GOLPH3;MCM3AP;SNRNP40;TSPAN14;TNIP1;RPS6KB2;STUB1"
"Macromolecule Biosynthetic Process (GO:0009059)","150/183",5.76137087131597e-41,1.00247853160898e-37,0,0,9.01631491062385,835.404975309822,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;GTPBP2;GTPBP1;MRPS18C;TUFM;EEF1A2;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;MRPL13;GSPT1;MRPL10;MRPL11;ST3GAL4;EIF4EBP2;APOE;ST3GAL2;HARS1;RPL41;MRPL27;MRPL28;HARS2;MRPL24;RPS26;EXT2;RPS25;RPS28;COPS5;RPS27;COL5A1;RPS29;RPL27A;AGO2;RPS20;RPS21;EIF4G2;RPS24;EIF4G1;RPS23;MRPS17;HBS1L;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;MRPL34;MRPL35;MRPL41;RPS4X;MRPL3;MRPL42;RPL7A;EEF2K;RPLP2;MRPL9;GAL3ST2;EIF5A;TSFM;PABPC4;DHPS;MRPS21;RPL13A;RPS3A;MRPS7;MRPS6;DARS1;MRPL43;MRPS5;EEF1G;MRPL52;SARS1;MRPL51;EEF1D;RPL37A;MRRF;B4GALT5;MRPS33;RPL12;GCNT1;RPL11;RRBP1;TYMS;MRPL55;POLD3;RPS15A;POLD1;POLD2;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;ABCF1;RPL19;RPL35A;RPL23A;GOLPH3;TNIP1;RPS6KB2;FAU"
"Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)","223/319",9.84027766689721e-40,1.28415623553009e-36,0,0,4.6366392652357,416.448656985083,"CCNF;CDC20;PSMD8;PSMD6;PSMD7;KAT5;PSMD4;CDC26;PSMD2;CDC27;PSMD3;FBXO3;PSMD1;TRIM25;FBXO7;FBXO9;SKP1;YOD1;ARMC8;RNF126;CDC34;IFI27;KCTD10;DDIT3;KCTD13;RBCK1;CLOCK;RNF121;ANAPC13;ANAPC15;ANAPC16;AGAP3;UBE2J2;ANAPC10;ANAPC11;UBE2J1;RNF216;PCBP2;EDEM1;SIAH2;SIAH1;ERLIN2;FBXL8;NPLOC4;RNF103;CDC16;FBXL3;CALR;FBXL5;UBXN1;FAF1;FAF2;ZFAND2B;HERPUD1;UBXN7;UFD1;SEC61B;UBXN4;SIRT1;SIRT2;TOPORS;DDB1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;CANX;PELI1;ZNF598;WDR26;DMAC2;DERL1;DERL2;PSMA7;ECPAS;PCNP;PSMB6;PSMB7;PSMB4;SH3BGRL;PSMB5;OS9;PSMB2;PSMB3;TMEM67;PSMB1;SPOP;ZSWIM8;TBL1X;MARCHF6;CRBN;CSNK1A1;SYVN1;WWP1;UBE2G1;WWP2;UBE2G2;TMUB2;SPSB3;ITCH;PSMC5;PSMC6;PSMC3;PSMC4;JKAMP;PSMC1;GID8;PSMC2;CTNNB1;TRIP12;UBXN2B;UBXN2A;UBE2D3;LTN1;AUP1;MAEA;FBXW4;FBXW5;ANAPC7;FBXW11;UBE4A;UBE4B;KCTD5;TRPC4AP;RBX1;TBL1XR1;ANAPC4;PLAA;ANAPC5;FAM8A1;ANAPC1;PSMD12;VCP;PSMD11;CUL5;PSMD14;PSMD13;CUL3;CUL2;SEL1L;CUL1;RHOBTB3;FBXO45;UBR2;HSP90B1;COP1;SHARPIN;TMEM129;ANKZF1;KLHDC10;KLHDC2;AKIRIN2;KLHDC3;HSPA5;SMURF2;UBE2B;RHBDD2;UBE2C;WFS1;KLHL22;BFAR;UBE2A;KLHL20;NSFL1C;UBE2W;APPBP2;UBXN11;UBE2S;DNAJC10;STT3B;RNF185;UBE2K;NFE2L2;RNF187;GSK3B;RNF10;GSK3A;ARRB1;ARRB2;TNFAIP1;MAN1A1;AXIN1;RAD23A;PPP2R5C;RAD23B;PJA2;NEMF;SPOPL;MAN1B1;BIRC2;RNF34;RNF4;RNF5;USP19;DNAJB2;RMND5B;ERLEC1;FOXRED2;ZNRF1;FZR1;ZNRF2;HECTD1;MTA1;RMND5A;UBQLN1;ASCC2;FEM1C;ASCC3;DCAF11;RFFL;DCAF12;UBQLN2;FEM1A;FEM1B;AMFR;FBXL19;SGTA;FBXL17;CUL4A;STUB1;TAF1"
"Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)","244/367",1.29527776637957e-37,1.35226998810028e-34,0,0,3.96414718576019,336.702465376503,"CBLC;KEAP1;UBE2L6;CCAR1;UBE2L3;PSMD8;HERC4;NUB1;PSMD6;RNF115;PSMD7;RNF114;KAT5;PSMD4;PSMD2;PSMD3;PSMD1;TRIM25;FBXO7;RNF111;FBXO9;SKP1;ARRDC1;RC3H1;ARMC8;RNF126;CDC34;IFI27;KCTD10;DDIT3;KCTD13;RBCK1;CLOCK;VPS28;AGAP3;ANAPC11;RNF213;RNF216;PCBP2;PSMF1;XBP1;ZRANB1;SIAH2;SIAH1;NTAN1;NPLOC4;UBXN1;PPP1R11;FAF1;ZFAND2B;OTUD7B;HERPUD1;CHMP1B;CHMP1A;ARIH2;UBXN7;UFD1;ARIH1;ELOC;SIRT1;SIRT2;TOPORS;DDB1;PSMA5;RNF144A;RNF168;PSMA6;RNF144B;RNF167;PSMA3;PSMA4;PSMA1;PSMA2;PELI1;WDR26;NEDD8;PSMA7;PCNP;PSMB6;PSMB7;PSMB4;SH3BGRL;C18ORF25;PSMB5;OS9;PSMB2;PSMB3;PSMB1;SPOP;ZSWIM8;TBL1X;RNF130;MARCHF6;UBL4A;ANKIB1;CRBN;CSNK1A1;USP9X;SYVN1;WWP1;UBE2G1;WWP2;UBE2G2;MIB1;RNF146;SPSB3;ITCH;PSMC5;PSMC6;PSMC3;PSMC4;RNF149;PSMC1;GID8;PSMC2;TTC3;RLIM;CTNNB1;UBAP1;TRIP12;UBE2D4;UBE3C;UBXN2B;UBXN2A;UBE2D2;UBE2D3;UBE3B;FBXO21;MAEA;RNF19A;FBXW4;MYLIP;FBXW5;FBXW11;UBE2E1;UBE4A;UBE4B;FBXO11;KCTD5;TRPC4AP;RNF40;RBX1;TOM1L1;TBL1XR1;PLAA;CHMP4A;SQSTM1;PSMD12;VCP;PSMD11;TSG101;PSMD14;PSMD13;UBA6;CUL3;CUL1;RHOBTB3;UBR4;FBXO45;COP1;SHARPIN;KLHDC2;KLHDC3;UBE2H;UBE2I;SMURF2;UBE2B;UBE2C;KLHL22;BFAR;UBE2A;KLHL20;CNOT4;COPS3;NSFL1C;UBE2W;APPBP2;UBXN11;UBE2S;CHMP2B;CHMP2A;MKRN2;UBA1;RNF185;UBE2K;NFE2L2;RNF187;GSK3B;GSK3A;RNF11;RNF13;RNF14;ARRB1;ARRB2;PTPN23;TNFAIP1;GET4;DTX3L;AXIN1;VPS37C;RAD23A;PPP2R5C;VPS37B;RAD23B;PJA2;UBE2R2;CHMP3;SPOPL;CHMP6;CHMP7;BIRC2;CHMP5;RNF34;UHRF1;VPS4B;VPS4A;RNF8;RNF6;RNF7;CBL;RCHY1;RNF4;RNF5;RMND5B;ZNRF1;ZNRF2;HECTD1;MTA1;RMND5A;MVB12A;FEM1C;RBBP6;DCAF11;RFFL;UBQLN4;ATE1;FEM1A;FEM1B;AMFR;FBXL19;FBXL17;CUL4A;STUB1;TAF1"
"Cytoplasmic Translation (GO:0002181)","88/93",2.50039431523134e-35,2.17534305425126e-32,0,0,34.6618138424821,2761.64638932902,"EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;FTSJ1;SARS1;RPL37A;RPL24;ETF1;RPL27;RPL26;RPL29;RPL28;UBA52;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;ZC3H15;RPL19;RWDD1;RPL41;RPL35A;RPL23A;RPS26;RPS25;EIF3M;RPS28;RPS27;RPS29;EIF3I;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPL26L1;RPS24;RPS23"
"Peptide Biosynthetic Process (GO:0043043)","129/158",4.67374858509998e-35,3.48528108774598e-32,0,0,8.79841326522691,695.501518899515,"RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;MRPS18C;EEF1A2;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;MRPL13;GSPT1;MRPL10;MRPL11;EIF4EBP2;HARS1;RPL41;MRPL27;MRPL28;HARS2;MRPL24;RPS26;RPS25;RPS28;COPS5;RPS27;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;EIF4G1;RPS23;MRPS17;HBS1L;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;MRPL34;MRPL35;GGTLC2;MRPL41;RPS4X;GGTLC1;MRPL3;MRPL42;RPL7A;RPLP2;MRPL9;PABPC4;DHPS;MRPS21;RPL13A;RPS3A;MRPS7;MRPS6;DARS1;MRPL43;MRPS5;MRPL52;SARS1;MRPL51;RPL37A;MRRF;MRPS33;RPL12;RPL11;FURIN;RRBP1;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;TNIP1;RPS6KB2;FAU"
"Intracellular Protein Transport (GO:0006886)","213/325",1.26829300540082e-31,8.27561186024034e-29,0,0,3.78564914337828,269.320415382437,"VPS29;IPO11;PHB2;AKT2;FAM53C;AKT1;ARFIP2;FAM53B;ARFIP1;HOMER3;VPS35;SIL1;VPS36;NUP214;NUP93;CDC37;PREB;NUP98;VPS25;VPS28;SAR1A;STXBP3;SAR1B;STXBP2;VPS26C;VPS26A;PTTG1IP;VPS26B;GABARAP;SCFD1;SNX1;GRPEL1;POM121C;NUP85;GRPEL2;MYO6;SNX9;SEC31A;SNX6;CTSA;RANBP17;SURF4;SNF8;EHD1;GIPC1;CALR;ARF3;RPAIN;ARF4;ARF1;C2CD5;PPP1R10;CLTC;SNX13;AP2A1;RAB22A;XPO1;XPO6;KIF13A;XPO5;TMED3;TMED2;TMED7;TMED5;APPL1;TMED4;SEC13;TMED9;TIMM23;AP3B1;NUTF2;COPZ1;CTTN;PICK1;ARHGEF2;SLU7;ARF5;ARF6;RAB7A;NAPA;STX12;STX17;STX16;RPL11;USO1;TRAK1;NAPG;STX10;TRAK2;GGA2;ARFRP1;GGA1;LMAN1;GGA3;SNX27;STX6;STX5;STX4;STX3;CD74;NPM1;RANBP3;RIC1;STAT3;AP3D1;LAPTM5;XPO7;SEPTIN9;ARCN1;SEC23IP;SNX17;APEX1;RAB3GAP2;UBAP1;NUP188;CSE1L;PDCD6;HIKESHI;IPO7;IPO4;IPO5;IPO8;IPO9;LAMP2;KPNA6;CHP1;KPNA4;KPNA2;KPNA3;KPNA1;NSF;APLP2;STX8;PAM16;STX7;TSC2;FAM91A1;OXA1L;HGS;RAB35;ERP29;PHIP;TSNARE1;KPNB1;COPB2;COPA;RAB5B;RAB5C;TMED10;TSG101;COX18;ARL1;STK4;STK3;TIMM50;BAG3;TPR;TBC1D13;RAB6A;AP1M2;DNAJC19;HSPA9;AKIRIN2;NUP155;SEC16A;ASPSCR1;RABL2B;NUP153;DNAJC15;CAMSAP3;IFT22;BCL3;RAB5A;NXT1;PTPN23;MAIP1;PKD1;ARL5B;NUP62;TIMM17A;TIMM17B;TLK1;TNPO1;ARL5A;TNPO3;YWHAH;ATP6AP1;DESI1;NUP133;VPS37C;VPS37B;ARFGAP3;ARL4C;NUP50;RAB1A;UNC93B1;RAB1B;HDAC6;RAB21;RAB24;MVB12A;RAB29;E2F3;ROMO1;RAB28;CACNG4;SORL1;RAB14;RAB18;RAB19;RAB17;VPS45;RAN"
"Chromatin Organization (GO:0006325)","184/268",2.21899982051223e-31,1.28701989589709e-28,0,0,4.35045543641185,307.068549846214,"FOXA1;SMARCB1;HDAC11;EHMT1;HNRNPU;NUCKS1;NUDT5;YY1;HMGN4;TRIM28;MYC;RUVBL2;CHEK1;RUVBL1;DPF2;SMARCAD1;KAT7;BANF1;SOX9;ARID2;HMGN2;NFRKB;HMGN3;SKP1;HMGN1;DAXX;SMARCC1;SUPT16H;SMARCC2;KDM2B;PIH1D1;CHD1L;HCFC1;CFDP1;KAT6B;HAT1;PADI2;ASF1A;HDGFL3;ASF1B;NAA60;INO80B;ZNF274;INO80E;PAXIP1;INO80D;SUPT4H1;ZBTB1;BAZ2A;MACROH2A1;ZNHIT1;ZNF827;MIER1;H3C1;SUDS3;ZBTB7A;MORC2;BPTF;CHTOP;DR1;H4C9;PHC1;CBX5;PHF10;BICRAL;CBX3;CBX1;SMARCA5;SMARCA2;SMARCA4;H1-5;TADA2B;COPRS;NASP;YEATS2;C6ORF89;ANP32B;HNRNPC;EZH2;H2AX;KDM5A;KDM5B;USP36;KDM5C;PHF1;CHD8;SETD7;CHD7;CHD6;HMGB2;PSIP1;RSF1;CHD4;CTCF;CHD3;BMI1;CHD1;MYSM1;CABIN1;ING4;CHAF1B;CHAF1A;SART3;BCL7C;H2BC21;BCL7B;GATAD1;GET1;HMG20A;H3-3A;KDM6A;KDM6B;BRD2;SS18;PBRM1;RING1;ACTL6A;ATRX;BAZ1A;BAZ1B;ARID1A;SAFB;SIRT1;ARID1B;H2BC17;UCHL5;TTI1;H2BC13;H2BC14;SFPQ;H2BC15;H2BC11;WAC;DNAJC9;TOP1;SMARCD1;HDAC2;SMARCD2;HDAC3;HDAC1;DDX21;HDAC8;RNF2;BICRA;TFPT;PAK1;CHRAC1;MTA1;RBBP4;UBN1;PCGF1;BRD9;RBBP7;BRD7;MTA2;SF3B1;MTA3;H2BC9;MBD3;SMARCE1;KDM4A;NPM1;KDM4B;TCF7L1;H2BC8;KDM4C;H2BC3;PCGF2;MBD2;NAP1L1;DEK;SSRP1;NPM3;GATAD2B;GATAD2A;NAP1L4;PER2;REST;RYBP;H3-4;POLE3;PWWP3A;HDGF;FAM50A"
"Proteasomal Protein Catabolic Process (GO:0010498)","158/220",1.17713335084463e-30,6.14463609140896e-28,0,0,5.04990907057485,348.011810533967,"UBXN2B;UBXN2A;UBE2D3;PSMD8;PSMD6;PSMD7;MAEA;KAT5;PSMD4;PSMD2;PSMD3;PSMD1;FBXO7;FBXO9;SKP1;FBXW5;FBXW11;DNAJB12;UBE4B;ARMC8;KCTD5;RBX1;RNF126;CDC34;IFI27;KCTD10;TBL1XR1;DDIT3;PSME4;KCTD13;PLAA;RBCK1;ATF6;CLOCK;PSMD12;VCP;PSMD11;PSMD14;PSMD13;CUL3;SEL1L;CUL1;RHOBTB3;FBXO45;AGAP3;COP1;SHARPIN;RNF216;PCBP2;SOCS6;KLHDC2;KLHDC3;XBP1;SMURF2;UBE2B;SIAH2;RHBDD1;SIAH1;KLHL22;BFAR;NR1D1;UBE2A;KLHL20;NSFL1C;UBE2W;APPBP2;UBXN11;RCAN3;RNF185;UBE2K;NFE2L2;RNF187;GSK3B;GSK3A;UBXN1;FAF1;CCDC47;ZFAND2B;ARRB1;ARRB2;TNFAIP1;PRPF19;DDI2;ENC1;UBXN7;UBXN6;AXIN1;RAD23A;PPP2R5C;SIRT1;RAD23B;SIRT2;TOPORS;PJA2;DDB1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PELI1;SPOPL;BIRC2;WDR26;RNF34;DERL1;RNF4;RNF5;PSMA7;PCNP;PSMB6;RMND5B;PSMB7;ERLEC1;ZNRF1;PSMB4;SH3BGRL;ZNRF2;PSMB5;HECTD1;MTA1;RMND5A;PSMB2;RNF139;PSMB3;PSMB1;SPOP;ZSWIM8;FEM1C;TBL1X;DCAF11;RFFL;MARCHF6;ATE1;CRBN;CSNK1A1;FEM1B;FBXL19;SYVN1;FBXL17;WWP1;UBE2G1;WWP2;SPSB3;CUL4A;ITCH;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;GID8;PSMC2;CTNNB1;TRIP12;STUB1;CUL4B"
