"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Myc Targets V1","191/200",1.34345180850306e-77,6.7172590425153e-76,0,0,42.4347994411621,7511.12117267379,"EIF4A1;HDDC2;RPL34;HNRNPU;HNRNPR;PWP1;PHB2;RPL6;UBE2L3;PSMD8;CDC20;EEF1B2;FBL;PSMD7;SNRPD2;TRIM28;SNRPD1;MYC;RUVBL2;PSMD3;PSMD1;SNRPD3;TXNL4A;KPNA2;RPS10;DDX18;SMARCC1;STARD7;EIF1AX;RPS5;RPL22;IFRD1;RPS6;MRPS18B;UBE2E1;ILF2;TUFM;CLNS1A;VDAC3;SRSF2;SNRPG;NHP2;SRSF3;VDAC1;ERH;HPRT1;PPIA;SRSF7;SNRPA;KPNB1;SET;PSMD14;GLO1;CUL1;NOLC1;PHB;GSPT1;PRDX3;LDHA;PRDX4;PCBP1;G3BP1;PGK1;CYC1;XRCC6;CBX3;GOT2;PA2G4;EIF2S2;EIF2S1;SRPK1;LSM2;AIMP2;LSM7;COPS5;EPRS1;CDK4;CDK2;HNRNPD;UBA2;RNPS1;HNRNPC;EIF4G2;YWHAE;SLC25A3;HSP90AB1;MCM7;RPLP0;SYNCRIP;XPO1;YWHAQ;C1QBP;RACK1;DHX15;AP3S1;MRPL9;ACP1;CCT3;TOMM70;CCT2;NCBP1;VBP1;NCBP2;PABPC4;CAD;CTPS1;RAD23B;NME1;GNL3;CCNA2;PSMA6;PSMA4;TFDP1;PSMA1;PSMA2;CANX;TCP1;MCM4;SNRPA1;MCM5;ETF1;PABPC1;MCM6;MCM2;PRPS2;HDAC2;PCNA;SF3B3;KARS1;ODC1;SRSF1;DDX21;U2AF1;TYMS;COX5A;PSMA7;HSPD1;SRM;PPM1G;PSMB2;PSMB3;TRA2B;FAM120A;POLD2;RPS3;USP1;RPL14;EIF4H;SNRPB2;RPS2;BUB3;IARS1;RPL18;CCT7;HNRNPA1;EIF4E;CCT5;CCT4;H2AZ1;NOP56;RANBP1;NPM1;SF3A1;DUT;HNRNPA3;RRM1;SSB;PTGES3;CNBP;NAP1L1;DEK;HSPE1;RSL1D1;PSMC6;XPOT;PSMC4;APEX1;IMPDH2;HNRNPA2B1;SERBP1;NDUFAB1;EIF3J;POLE3;PRPF31;HDGF;SSBP1;TARDBP;ABCE1;EIF3D;RAN;EIF3B"
"Oxidative Phosphorylation","179/200",6.6231704674093e-61,1.65579261685232e-59,0,0,16.9973500968511,2355.27379097267,"ISCA1;MTRR;ECI1;COX6A1;PHB2;TOMM22;MPC1;PMPCA;ATP6V1E1;ACAA1;PDHX;ATP6V1G1;CPT1A;PHYH;ATP6V0E1;ECH1;SDHC;SDHD;SDHA;ATP1B1;SDHB;COX6B1;AFG3L2;OXA1L;COX7A2L;POR;FDX1;UQCRC1;VDAC3;VDAC2;SUCLG1;VDAC1;UQCRC2;ISCU;MAOB;RETSAT;UQCRB;ABCB7;COX15;MGST3;COX17;ATP5MC2;ATP5MC3;HTRA2;COX7A2;MRPL15;MRPL11;ATP5MC1;TIMM50;PRDX3;LDHB;LDHA;RHOT2;CYB5R3;RHOT1;GRPEL1;ATP6V1H;COX11;CYC1;NDUFV2;NDUFV1;ATP5MG;ATP6V1C1;ATP5MF;DECR1;ATP6V1F;ATP5ME;HSPA9;SURF1;PDHA1;IDH1;IDH2;GOT2;CS;GLUD1;ALDH6A1;UQCRQ;CYCS;ACO2;GPI;COX7B;MRPS15;SLC25A3;ACADVL;MRPS11;COX4I1;MRPS12;ETFA;ETFB;TCIRG1;MRPL34;COX7C;MRPL35;AIFM1;OPA1;NNT;IDH3B;TIMM17A;UQCRFS1;ACADM;DLAT;IDH3A;COX8A;TOMM70;BCKDHA;ATP6V0B;ATP6AP1;GPX4;MRPS22;NDUFC1;HADHB;HADHA;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;DLD;ATP6V0C;SLC25A11;SLC25A4;FXN;SLC25A6;FH;NDUFB8;ECHS1;OAT;NDUFB7;NDUFB6;NDUFB5;TIMM9;NDUFB4;NDUFB3;TIMM13;NDUFB2;DLST;NDUFB1;UQCR11;UQCR10;MRPS30;PDHB;COX5B;COX5A;HSD17B10;ATP5F1A;ATP5F1B;MFN2;POLR2F;NDUFA9;TIMM8B;ATP5PF;NDUFA8;CYB5A;NQO2;NDUFA7;ATP5PD;NDUFA6;MDH1;NDUFA5;ATP5PB;MTX2;MDH2;NDUFA4;IDH3G;NDUFA3;NDUFA2;NDUFA1;IMMT;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;LRPPRC;NDUFAB1;ATP5PO;BAX"
"mTORC1 Signaling","162/200",7.58364333123293e-43,1.26394055520549e-41,0,0,8.46844486782567,821.313525035202,"ERO1A;TES;TFRC;PITPNB;CCNF;UBE2D3;ARPC5L;PLOD2;TMEM97;ENO1;IFI30;FADS2;PNP;TBK1;NAMPT;FADS1;PSPH;PDK1;MAP2K3;G6PD;IGFBP5;IFRD1;ACSL3;TUBA4A;SYTL2;ACLY;DDX39A;MTHFD2;PPA1;DDIT3;PSME3;DDIT4;HPRT1;NUPR1;SQSTM1;PPIA;IDI1;NUP205;PSMD12;FKBP2;PSMD14;SHMT2;PSMD13;INSIG1;RPN1;GMPS;PIK3R3;AK4;SLC1A4;SLC1A5;ADIPOR2;ACACA;HSP90B1;ATP5MC1;SLC9A3R1;STIP1;LDHA;EBP;RDH11;PRDX1;SERPINH1;PGK1;SSR1;LTA4H;HSPA9;NIBAN1;XBP1;HSPA5;GOT1;PNO1;HSPA4;SRD5A1;EDEM1;IDH1;PLK1;M6PR;ASNS;DHCR24;EIF2S2;DHFR;CCT6A;QDPR;SQLE;GCLC;COPS5;EPRS1;P4HA1;BHLHE40;PSMG1;CALR;DHCR7;LGMN;GPI;GSK3B;CDKN1A;BTG2;SLC2A1;ATP2A2;HK2;SERP1;PHGDH;SLC37A4;PGM1;ACTR3;ACTR2;TPI1;HMGCS1;ELOVL5;SORD;CACYBP;TUBG1;UCHL5;SLC7A5;PSMA3;PSMA4;CANX;MCM4;ETF1;ALDOA;EEF1E1;MCM2;PPP1R15A;RAB1A;TOMM40;USO1;CXCR4;GLRX;HMGCR;ADD3;UNG;AURKA;HSPD1;GGA2;PSMB5;SC5D;ABCF2;YKT6;LDLR;SEC11A;CYB5B;EGLN3;RRM2;NFYC;TXNRD1;GSR;CYP51A1;RPA1;IMMT;PDAP1;GTF2H1;HSPE1;RIT1;UFM1;PFKL;PSMC6;PSMC4;PSAT1;SCD;PSMC2;CCNG1;TCEA1;CD9"
"G2-M Checkpoint","149/200",6.47703913427235e-32,8.09629891784044e-31,0,0,5.78640349712066,415.54743955754,"JPT1;CCNT1;CCNF;HNRNPU;MKI67;SMC4;CDC20;MT2A;PTTG1;CCND1;SNRPD1;MYC;KIF5B;CHEK1;STMN1;CDC27;NUSAP1;NEK2;KMT5A;KPNA2;HMGN2;TMPO;TLE3;SMARCC1;SLC38A1;HUS1;LIG3;PRPF4B;CDC25B;SAP30;ILF3;DDX39A;EWSR1;DKC1;NCL;SRSF2;NUP98;ATF5;KPNB1;NOTCH2;CUL5;YTHDC1;TROAP;CUL3;CUL1;NOLC1;PDS5B;RASAL2;HIF1A;GSPT1;CCNB2;RACGAP1;RAD21;G3BP1;ABL1;MAP3K20;BARD1;HSPA8;DR1;UBE2C;ODF2;PLK1;CBX1;HMGA1;FANCC;CDC6;FOXN3;TPX2;SQLE;STAG1;UCK2;POLA2;NASP;UBE2S;CDK4;BCL3;HNRNPD;CDK1;MNAT1;EZH2;TOP2A;H2AX;CDKN1B;NUMA1;AMD1;HMGB3;CTCF;TENT4A;HOXC10;LMNB1;CKS1B;SYNCRIP;CHAF1A;XPO1;EXO1;CHMP1A;MYBL2;LBR;POLE;UPF1;SS18;PRMT5;RBM14;ATRX;KIF23;KIF22;SMC1A;RAD23B;CCNA2;SLC7A5;SFPQ;DBF4;TFDP1;INCENP;NUP50;CKS2;MCM3;BIRC5;MCM5;MCM6;TOP1;PAFAH1B1;MCM2;DTYMK;ODC1;SRSF1;CENPA;AURKB;AURKA;TRA2B;NSD2;E2F1;E2F3;BUB3;E2F4;SRSF10;H2AZ1;SLC12A2;GINS2;CASP8AP2;H2AZ2;CDKN2C;MAPK14;CUL4A;CENPF;MARCKS;PRC1;TACC3;CDKN3"
"E2F Targets","148/200",3.69590591609613e-31,3.69590591609613e-30,0,0,5.63576158940397,394.914226949685,"JPT1;POP7;MRE11;TFRC;DSCC1;CSE1L;CCP110;BUB1B;MKI67;SMC3;SMC4;IPO7;CDC20;PNN;PTTG1;MYC;CHEK1;STMN1;NBN;KPNA2;TMPO;TIPIN;LIG1;HUS1;CDC25B;ILF3;DDX39A;MSH2;MTHFD2;SRSF2;TP53;ASF1A;ASF1B;SNRPB;SLBP;NUP205;DNMT1;CDCA3;PRKDC;AK2;NOLC1;PDS5B;GSPT1;CCNB2;PRDX4;RACGAP1;UBR7;RAD21;BARD1;XRCC6;CBX5;PLK1;HMGA1;NUP153;PA2G4;PAICS;EIF2S1;POLA2;STAG1;NASP;UBE2S;CDK4;UBE2T;ANP32E;HNRNPD;CDK1;CNOT9;EZH2;TOP2A;H2AX;CDKN1A;CDKN1B;MCM7;HMGB2;HMGB3;PSIP1;CTCF;CKS1B;LMNB1;SYNCRIP;XPO1;MYBL2;TK1;POLE;LBR;TCF19;HELLS;RFC3;RFC2;TUBB;CTPS1;KIF22;TUBG1;SMC1A;DCK;NME1;CIT;RAD51C;CKS2;DEPDC1;MCM3;MCM4;BIRC5;LUC7L3;MCM5;NAA38;MCM6;DCTPP1;MCM2;PRPS1;PCNA;SRSF1;AURKB;UNG;AURKA;TBRG4;POLD3;POLD1;TRA2B;PPP1R8;POLD2;USP1;RBBP7;GINS1;H2AZ1;NOP56;RANBP1;DUT;CDKN2C;RRM2;CDKN2A;ATAD2;RPA1;NAP1L1;DEK;SSRP1;MLH1;POLE4;NUDT21;RAD50;WEE1;RPA3;TACC3;NCAPD2;RAD1;SPC24;RAN;CDKN3"
"Unfolded Protein Response","91/113",2.77239432050388e-24,2.3103286004199e-23,0,0,8.1393957482601,441.499797579542,"EIF4A2;ERO1A;H2AX;EIF4A1;POP4;EIF4A3;IFIT1;HERPUD1;CKS1B;RPS14;TATDN2;SERP1;KHSRP;KIF5B;BANF1;TSPYL2;TTC37;WIPI1;PDIA6;YWHAZ;ARFGAP1;DNAJC3;SLC7A5;TUBB2A;MTHFD2;DKC1;DDIT4;NHP2;PREB;KDELR3;ATP6V0D1;ATF6;TARS1;DCP2;EXOC2;ATF4;CEBPB;SHC1;DCTN1;GOSR2;CEBPG;PARN;CXXC1;NOLC1;SLC1A4;SDAD1;HSP90B1;EXOSC4;EXOSC10;BAG3;EXOSC9;EIF4EBP1;SSR1;IARS1;EXOSC2;EIF4E;SEC11A;EXOSC1;SEC31A;PAIP1;HSPA9;NOP56;XBP1;NPM1;HSPA5;NFYA;WFS1;FUS;NFYB;EDEM1;EIF2AK3;LSM1;ASNS;EIF2S1;LSM4;YIF1A;VEGFA;CNOT4;SPCS3;CNOT6;SPCS1;XPOT;PSAT1;DNAJA4;CNOT2;SRPRA;SRPRB;HYOU1;CALR;ALDH18A1;EIF4G1"
"Protein Secretion","76/96",1.13531001210746e-19,8.10935722933899e-19,0,0,7.46194163192376,325.506392448111,"ARF1;CLTC;SNAP23;ICA1;CLTA;RAB22A;GOLGA4;SCRN1;AP1G1;LAMP2;TMED2;KIF1B;ARFIP1;AP3S1;DNM1L;AP2M1;RAB2A;TPD52;DST;STX7;COG2;ADAM10;OCRL;AP3B1;SCAMP1;ARFGAP3;TOM1L1;RER1;ERGIC3;SEC22B;VAMP3;ATP6V1B1;NAPA;COPB2;STX12;CD63;TMED10;TSG101;STX16;COPB1;VPS4B;GOSR2;USO1;ATP1A1;CLCN3;NAPG;LMAN1;SNX2;AP2S1;ATP6V1H;MAPK1;YKT6;SEC31A;ARFGEF1;ARFGEF2;MON2;BNIP3;GBF1;M6PR;AP2B1;IGF2R;ARCN1;SOD1;KRT18;RAB14;PPT1;GNAS;YIPF6;ANP32E;RAB9A;VPS45;SEC24D;PAM;RAB5A;COPE;BET1"
"DNA Repair","105/150",1.78589747529991e-19,1.11618592206244e-18,0,0,4.59304122426599,198.277895425917,"ARL6IP1;MPG;PNP;MPC2;LIG1;RBX1;BCAM;HPRT1;SRSF6;TP53;EIF1B;VPS28;TSG101;CSTF3;AK1;COX17;SUPT4H1;AK3;AAAS;SDCBP;DGUOK;SURF1;ALYREF;UPF3B;SUPT5H;SMAD5;ZWINT;POLA2;ITPA;FEN1;CETN2;POLB;SEC61A1;GUK1;SNAPC4;PDE4B;REV3L;ELOA;DGCR8;TMED2;NELFB;NELFCD;POLH;NELFE;RFC5;RFC3;GPX4;NCBP2;RFC2;NME3;NME4;EDF1;VPS37B;NME1;APRT;DDB1;RRM2B;DAD1;NFX1;POLR1C;POLR1D;UMPS;GTF2A2;RALA;PCNA;CANT1;GTF3C5;GMPR2;DCTN4;TAF9;TYMS;ADCY6;POLD3;NT5C;POLD4;POLR2A;POLR2C;POLD1;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;STX3;POLR2I;POLR2J;RAE1;POLR2K;SF3A3;BCAP31;DUT;TAF12;TAF13;TAF10;ADRM1;GTF2H1;SSRP1;POLE4;NUDT9;NUDT21;ERCC1;RPA3;IMPDH2;ERCC5;TAF6"
"Adipogenesis","126/200",3.61498012750918e-17,2.00832229306066e-16,0,0,3.35483007760235,127.010042978302,"SCARB1;MTCH2;ITSN1;ARAF;GHITM;COX6A1;LIPE;SCP2;PIM3;HADH;PHYH;DGAT1;APLP2;ECH1;TALDO1;ATP1B3;SDHC;CMBL;SDHB;SLC5A6;ACLY;POR;COL4A1;GPD2;RAB34;UQCRC1;CMPK1;SUCLG1;PREB;RTN3;CD151;PFKFB3;RETSAT;MGST3;AK2;BAZ2A;ABCB8;MRPL15;SLC1A5;ADIPOR2;C3;PRDX3;BCL2L13;GRPEL1;G3BP2;APOE;CYC1;RREB1;DECR1;GADD45A;IDH1;RMDN3;CHCHD10;COQ9;DNAJC15;CS;QDPR;REEP5;UQCRQ;ACO2;REEP6;DHCR7;SLC25A1;COX7B;RNF11;SOWAHC;ETFB;AIFM1;ALDH2;ACADM;DLAT;PGM1;YWHAG;IDH3A;COX8A;BCKDHA;JAGN1;GPX4;CHUK;IFNGR1;PPM1B;ACOX1;CAT;NDUFS3;SLC25A10;ALDOA;TKT;DLD;MGLL;PPP1R15B;ECHS1;SLC66A3;NDUFB7;ATL2;UQCR11;UQCR10;TOB1;ADCY6;AGPAT3;GPAT4;DDT;UCP2;UBQLN1;STOM;SNCG;DRAM2;MAP4K3;PTCD3;CDKN2C;NDUFA5;RIOK3;MDH2;IDH3G;VEGFB;IMMT;SORBS1;FAH;SOD1;DHRS7;PFKL;LPCAT3;CCNG2;NDUFAB1;ATP5PO;PDCD4;ESYT1"
"Mitotic Spindle","125/199",6.78656231711681e-17,3.3932811585584e-16,0,0,3.3277052363598,123.887145078458,"TRIO;ITSN1;SMC3;SMC4;UXT;PREX1;PPP4R2;KIF5B;ARHGDIA;CDC27;NUSAP1;ARFIP2;CEP250;NEK2;KNTC1;RALBP1;CSNK1D;ACTN4;TUBA4A;CD2AP;BCR;CLIP1;EZR;ARL8A;VCL;NOTCH2;TUBGCP2;PXN;RASAL2;KLC1;ABR;CCNB2;RHOT2;BCL2L11;RACGAP1;KIF3B;ABL1;STK38L;MARK4;ECT2;SPTBN1;PLK1;TBCD;ARHGAP29;ARHGAP27;HOOK3;SSH2;NET1;ANLN;TPX2;DLG1;NF1;CDK1;TUBGCP3;MAP3K11;TOP2A;CEP57;YWHAE;NUMA1;WASL;ARHGAP5;LMNB1;PCM1;CAPZB;NCK2;TLK1;KIF1B;SPTAN1;NCK1;ARHGEF11;SUN2;ARHGEF12;DST;KIF23;KIF22;SMC1A;DYNLL2;CKAP5;LATS1;CTTN;INCENP;PALLD;CDC42EP4;RASA1;CDC42EP1;MYH9;BIRC5;ATG4B;ARHGEF2;MAPRE1;ARHGEF7;SOS1;ARF6;PAFAH1B1;RABGAP1;STAU1;ROCK1;TUBD1;HDAC6;AURKA;CDC42;CYTH2;FGD6;FLNA;FLNB;PDLIM5;WASF2;CLASP1;ARFGEF1;FARP1;DYNC1H1;GSN;MID1IP1;RANBP9;MYO9B;SEPTIN9;CDC42BPA;LRPPRC;CENPF;MARCKS;PRC1;ALMS1;ABI1;RAB3GAP1;BCAR1"
